[H][C@@]12CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@]3([H])[C@]1([H])OC(C)(C)O2	topiramate
O=C1N(C=C(C=C1C1=C(C=CC=C1)C#N)C1=CC=CC=N1)C1=CC=CC=C1	perampanel	pIC50=5.19
CNC1(CCCCC1=O)C1=C(Cl)C=CC=C1	ketamine
CC(C)n1nnc(n1)c2onc(O)c2CC(N)C(=O)O	CHEMBL193087	pKi=5.0
NS(=O)(=O)C1=CC2=C(NC(NS2(=O)=O)C2CC3CC2C=C3)C=C1Cl	cyclothiazide	pEC50=5.0
C[C@@H](c1ccc2NC(=O)Sc2c1)c3ccn(n3)c4ccc(CCC(C)(C)O)cn4	CHEMBL3823817	pIC50=5.03
C[C@@H](c1ccc2NC(=O)Sc2c1)c3ccn(n3)c4ccccn4	CHEMBL3822825	pIC50=5.03
C[C@H](c1ccc2NC(=O)Sc2c1)c3ccn(n3)c4ccc(CCO)cn4	CHEMBL3824269	pIC50=5.03
C[C@H](c1ccc2NC(=O)Sc2c1)c3ccn(n3)c4ccc(OCCO)cn4	CHEMBL3824102	pIC50=5.03
C[C@H](c1ccc2NC(=O)Sc2c1)c3ccn(n3)c4ccccn4	CHEMBL3823247	pIC50=5.03
OC(=O)[C@@H]1C[C@H]2C[C@@H](CCc3nnn[nH]3)CC[C@H]2CN1	CHEMBL14935	pKi=5.04
CCCC(=O)NC(Cc1ccc(O)cc1)C(O)NCCCNCCCCCCCCN	CHEMBL154184	pKi=5.09
CCCC(=O)NC(Cc1ccc(O)cc1)C(=O)NCCCCCCCCNCCCN	CHEMBL147182	pKi=5.1
CC(=C)[C@H]1CN[C@@H]([C@H]1CC(=O)O)C(=O)O	CHEMBL275040	pKi=5.13
CCCC(=O)NC(Cc1ccc(O)cc1)C(=O)NCCCCCCCCCNCCN	CHEMBL434273	pKi=5.21
CC(C)S(=O)(=O)NCC(C)C1CCC(CC1)c2ccc(cc2)C#N	CHEMBL1097939	pEC50=5.25
CC(C)S(=O)(=O)NCC(C)c1ccc(cc1)c2ccc(cc2)C#N	CHEMBL435582	pEC50=5.25
CC(C)(C)c1snc(O)c1C[C@H](N)C(=O)O	CHEMBL29024	pEC50=5.28
CCCn1nnc(n1)c2onc(O)c2CC(N)C(=O)O	CHEMBL372643	pKi=5.29
N[C@@H](CC1=CCCCc2onc(O)c12)C(=O)O	CHEMBL28472	pEC50=5.35
N[C@@H](CCCNC(=N)N)C(=O)NCCCNCCCNCCCCCNC(=O)[C@H](CC(=O)N)NC(=O)Cc1ccc(O)cc1O	CHEMBL1098240	pIC50=5.47
CCCC(=O)NC(Cc1ccc(O)cc1)C(=O)NCCCCCCCNCCCCN	CHEMBL422515	pKi=5.52
CN(c1ccc(O)cc1)c2nc(cs2)c3ccccn3	CHEMBL3823441	pIC50=5.53
CC(C)S(=O)(=O)NCCCCCCCNS(=O)(=O)C(C)C	CHEMBL1276246	pEC50=5.54
NS(=O)(=O)c1cccc2c3nc(O)c(O)nc3cc(c12)[N+](=O)[O-]	CHEMBL222519	pKi=5.8
N[C@@H](CCC(=O)O)C(=O)O	CHEMBL575060	pKi=5.87
N[C@@H](CC(=C1CCCC1)C(=O)O)C(=O)O	CHEMBL51660	pKi=5.96
CCCCCC(=O)NC(Cc1ccc(O)cc1)C(=O)NCCCCCCCCNCCCN	CHEMBL152410	pKi=6.0
CC(C)S(=O)(=O)NCCCCCCCCNS(=O)(=O)C(C)C	CHEMBL1277094	pEC50=6.04
CC(C)\C=C(/C[C@H](N)C(=O)O)\C(=O)O	CHEMBL299180	pKi=6.16
CC(C)S(=O)(=O)NCCCCCCCCCNS(=O)(=O)C(C)C	CHEMBL1277095	pEC50=6.18
CCCC(=O)NC(Cc1ccc(O)cc1)C(=O)NCCCCCCNCCCCCN	CHEMBL152153	pKi=6.33
N[C@@H](CN1C=CC(=O)NC1=O)C(=O)O	CHEMBL122005	pKi=6.41
CN(c1ccc2[nH]ncc2c1)c3ccn(n3)c4ccccn4	CHEMBL3823956	pIC50=6.45
NCCCNCCCCCCCCNC(=O)C(Cc1ccc(O)cc1)NC(=O)c2ccncc2	CHEMBL153996	pKi=6.48
CC(=O)NC(Cc1ccc(O)cc1)C(=O)NCCCCCCCCNCCCN	CHEMBL422161	pKi=6.52
CCCC(=O)NC(Cc1ccc(O)cc1)C(=O)NCCCCCNCCCCCCN	CHEMBL153017	pKi=6.54
CCC(=O)NC(Cc1ccc(O)cc1)C(=O)NCCCCCCCCNCCCN	CHEMBL355977	pKi=6.55
N[C@@H](CN1C=C(C(=O)NC1=O)[N+](=O)[O-])C(=O)O	CHEMBL121191	pKi=6.55
NCCCNCCCCCCCCNC(=O)C(Cc1ccc(O)cc1)NC(=O)CCc2ccccc2	CHEMBL154012	pKi=6.6
NCCCNCCCCCCCCNC(=O)C(Cc1ccc(O)cc1)NC(=O)Cc2ccccc2	CHEMBL350228	pKi=6.6
NCCCNCCCCCCCCNC(=O)C(Cc1ccc(O)cc1)NC(=O)c2ccccc2	CHEMBL352030	pKi=6.6
CC1=NN(C[C@H](N)C(=O)O)C(=O)NC1=O	CHEMBL120808	pKi=6.62
NCCCNCCCCCCCCNC(=O)C(Cc1ccc(O)cc1)NC(=O)C2CCCCC2	CHEMBL153995	pKi=6.62
NCCCNCCCCCCCCNC(=O)C(Cc1ccc(O)cc1)NC(=O)c2cccnc2	CHEMBL152425	pKi=6.68
N[C@@H](Cc1nsnc1O)C(=O)O	CHEMBL429594	pKi=6.73
NC(Cc1onc(O)c1Br)C(=O)O	CHEMBL73698	pKi=6.77
NCCCNCCCCCCCCNC(=O)C(Cc1ccc(O)cc1)NC(=O)\C=C\c2ccccc2	CHEMBL152736	pKi=6.77
NCCCNCCCCCCCCNC(=O)C(Cc1ccc(O)cc1)NC(=O)c2ccccn2	CHEMBL345521	pKi=6.77
CCCC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)NCCCCCCCNCCCCN	CHEMBL213645	pKi=6.78
N[C@@H](CN1C=C(I)C(=O)NC1=O)C(=O)O	CHEMBL121915	pKi=6.79
N[C@@H](CN1N=CC(=O)NC1=O)C(=O)O	CHEMBL122656	pKi=6.79
N[C@H](Cc1nsnc1O)C(=O)O	CHEMBL402444	pKi=6.82
CN(c1ccc2[nH]ncc2c1)c3nc(cs3)c4ccccn4	CHEMBL3823274	pIC50=6.83
CCn1nnc(n1)c2onc(O)c2CC(N)C(=O)O	CHEMBL370941	pKi=6.84
CC(C)(C)C(=O)NC(Cc1ccc(O)cc1)C(=O)NCCCCCCCCNCCCN	CHEMBL269192	pKi=6.85
CCCC(=O)NC(Cc1ccc(O)cc1)C(=O)NCCCCNCCCCCCCN	CHEMBL152879	pKi=6.87
NC(Cc1onc(O)c1Cl)C(=O)O	CHEMBL72366	pKi=6.89
CC(c1ccc2NC(=O)Sc2c1)c3ccn(n3)c4ccccn4	CHEMBL3823222	pIC50=6.91
Cc1onc(O)c1C[C@H](N)C(=O)O	CHEMBL276815	pKi=6.99
N[C@@H](CN1C=C(Br)C(=O)NC1=O)C(=O)O	CHEMBL333964	pKi=7.04
N[C@@H](CN1N=C(I)C(=O)NC1=O)C(=O)O	CHEMBL121553	pKi=7.13
CN(c1ccc2NC(=O)Sc2c1)c3nc(cs3)c4ccccn4	CHEMBL3823131	pIC50=7.16
C[C@@H](c1ccc2NC(=O)Sc2c1)c3ccn(n3)c4ccc(OCCO)cn4	CHEMBL3823394	pIC50=7.19
N[C@@H](CN1C=C(Cl)C(=O)NC1=O)C(=O)O	CHEMBL121388	pKi=7.19
C[C@@H](c1ccc2NC(=O)Sc2c1)c3ccn(n3)c4ccc(CCO)cn4	CHEMBL3823351	pIC50=7.21
C[C@@H](c1ccc2NC(=O)Sc2c1)c3ccn(n3)c4ccc(F)cn4	CHEMBL3823445	pIC50=7.27
Cn1ccc(CN(c2ccc3[nH]ncc3c2)c4nc(cs4)c5ccccn5)n1	CHEMBL3822572	pIC50=7.27
NCCCNCCCCNCCC(=O)NCCCCCNC(=O)[C@H](CC(=O)N)NC(=O)Cc1ccc(O)cc1O	CHEMBL313747	pIC50=7.4
N[C@@H](CN1N=C(Br)C(=O)NC1=O)C(=O)O	CHEMBL331644	pKi=7.54
CCOCCN(c1ccc2NC(=O)Sc2c1)c3nc(cs3)c4ccccn4	CHEMBL3823961	pIC50=7.66
Cc1onc(O)c1CC(N)C(=O)O	CHEMBL13378	pKi=7.66
N[C@@H](CN1C=C(F)C(=O)NC1=O)C(=O)O	CHEMBL123132	pKi=7.83
N[C@@H](CN1N=C(Cl)C(=O)NC1=O)C(=O)O	CHEMBL331696	pKi=8.15
Cn1nnc(n1)c2onc(O)c2C[C@H](N)C(=O)O	CHEMBL370038	pKi=8.28
