NCCN1CCC(Cc2ccccc2)CC1	CHEMBL3780926	pIC50=6.0
N[C@@H](CCSC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n2cnc3c(N)ncnc23)C(=O)O	CHEMBL418052	pKi=6.07
C[C@H](N)C(=O)NCc1cccc(c1)n2nc(cc2NC(=O)OCc3ccccc3)C(F)(F)F	CHEMBL478195	pIC50=6.22
C[C@H](N)C(=O)NCc1cccc(c1)c2nn(C)cc2c3oc(nn3)c4ccccc4	CHEMBL466638	pIC50=6.4
C[C@H](N)C(=O)NCc1cccc(c1)c2ocnc2c3oc(nn3)c4ccccc4	CHEMBL512254	pIC50=6.44
C[C@H](N)C(=O)NCc1cccc(c1)n2nc(cc2c3oc(Cc4ccccc4)nn3)C(F)(F)F	CHEMBL468712	pIC50=6.51
CS(=O)(=O)c1cccc(NC(=O)c2cc(nn2c3cccc(CNC(=O)CN)c3)C(F)(F)F)c1	CHEMBL476332	pIC50=6.64
C[C@H](N)C(=O)NCc1cccc(c1)n2nc(cc2c3onc(n3)c4ccccc4)C(F)(F)F	CHEMBL468502	pIC50=6.68
CNCCN1CCC(C)CC1	CHEMBL3780701	pIC50=6.7
C[C@H](N)C(=O)NCc1cccc(c1)n2nc(cc2C(=O)N[C@H](C)c3ccccc3)C(F)(F)F	CHEMBL477142	pIC50=6.75
COc1cccc(c1)c2oc(nn2)c3cc(nn3c4cccc(CNC(=O)[C@H](C)N)c4)C(F)(F)F	CHEMBL468721	pIC50=6.8
C[C@H](N)C(=O)NCc1cccc(c1)n2nc(cc2C(=O)Nc3ccc(cc3F)c4ccccc4S(=O)(=O)C)C(F)(F)F	CHEMBL501950	pIC50=6.8
C[C@H](N)C(=O)NCc1cccc(c1)n2nc(C)cc2c3oc(nn3)c4ccccc4	CHEMBL511213	pIC50=6.89
C[C@H](N)C(=O)NCc1cccc(c1)n2nc(cc2C(=O)NCc3ccccc3)C(F)(F)F	CHEMBL466658	pIC50=7.1
C[C@H](N)C(=O)NCc1cccc(c1)n2nc(cc2c3oc(nn3)c4ccccc4)C(F)(F)F	CHEMBL511550	pIC50=7.22
COc1ccccc1Nc2oc(nn2)c3cc(nn3c4cccc(CNC(=O)[C@H](C)N)c4)C(F)(F)F	CHEMBL511896	pIC50=7.3
COc1ccccc1c2oc(nn2)c3cc(nn3c4cccc(CNC(=O)[C@H](C)N)c4)C(F)(F)F	CHEMBL466833	pIC50=7.3
C[C@H](N)C(=O)NCc1cccc(c1)n2nc(cc2c3oc(nn3)c4ccccc4Cl)C(F)(F)F	CHEMBL468926	pIC50=7.3
C[C@H](N)C(=O)NCc1cccc(c1)n2nc(cc2c3oc(nn3)c4cccc5ncsc45)C(F)(F)F	CHEMBL468927	pIC50=7.4
CNCCN1CCC(CC1)c2ccc3[nH]c(c(F)c3c2)c4ccccc4OC	CHEMBL1614812	pIC50=7.52
C[C@@H](N)C(=O)NCc1cccc(c1)n2nc(cc2c3oc(nn3)c4cccc5[nH]ccc45)C(F)(F)F	CHEMBL3781284	pIC50=7.57
C[C@H](N)C(=O)NCc1cccc(c1)n2nc(cc2c3oc(nn3)c4cccc5[nH]ccc45)C(F)(F)F	CHEMBL3347611	pIC50=7.57
COc1ncccc1c2nc3c(C)cc(cc3[nH]2)C4CCNCC4	CHEMBL577498	pIC50=7.77
CNCCN1CCC(CC1)c2cc(C)c3[nH]c(nc3c2)c4ccccc4	CHEMBL567298	pIC50=8.34
CNCCN1CCC(CC1)c2ccc3c(c2)nc(c4cccnc4OC)n3C	CHEMBL571640	pIC50=8.54
CNCCN1CCC(CC1)c2ccc3[nH]c(nc3c2)c4cccnc4OC	CHEMBL569225	pIC50=8.92
CNCCN1CCC(CC1)c2cc(C)c3nc([nH]c3c2)c4cccnc4OC	CHEMBL572102	pIC50=9.08
CNCCN1CCC(CC1)c2cnc3[nH]c(nc3c2)c4cccnc4OC	CHEMBL571431	pIC50=9.16
CNCCN1CCC(CC1)c2cc(C)c3nc([nH]c3c2)c4ccccc4OC	CHEMBL572103	pIC50=9.39
CNCCN1CCC(CC1)c2cc(C)c3[nH]c(nc3c2)c4ccc(F)cc4OC	CHEMBL571639	pIC50=9.59
CNCCN1CCC(CC1)c2cc(C)c3[nH]c(nc3c2)c4c(F)cccc4OC	CHEMBL571829	pIC50=9.92
CNCCN1CCC(CC1)c2cc(C)c3[nH]c(nc3c2)c4c(OC)cccc4OC	CHEMBL584335	pIC50=10.15
