CCOC1=CC2=C(C=C1)N=C(S2)S(N)(=O)=O	ethoxzolamide	pKi=8.6	pKi=8.6	pKi=8.6	pKi=7.6
NCCCCNCCCN	CHEMBL19612	pKi=6.0
COc1ccc2c(SCc3cnn(c4ccc(cc4)S(=O)(=O)N)c23)c1	CHEMBL2179308	pKi=6.03
OP(=O)(O)C(Nc1cccc(Br)c1)P(=O)(O)O	CHEMBL370662	pIC50=6.04
COC(=O)c1ccc(O)c(O)c1	CHEMBL486027	pKi=6.05
OP(=O)(O)C(NS(=O)(=O)c1ccc(Br)cc1)P(=O)(O)O	CHEMBL3291002	pIC50=6.05
CC(C)OC(=O)c1cc(O)cc(O)c1	CHEMBL2333590	pKi=6.07
CCCC(CCC)COS(=O)(=O)N	CHEMBL2335233	pKi=6.07
CCOC(=O)c1ccc(O)c(O)c1	CHEMBL486216	pKi=6.07
COC(=O)c1ccc(O)cc1O	CHEMBL486026	pKi=6.07
Cc1ccc2c(SCc3cnn(c4ccc(cc4)S(=O)(=O)N)c23)n1	CHEMBL2179304	pKi=6.07
NCCCNCCCCNCCCN	CHEMBL23194	pKi=6.07
NS(=O)(=O)OCCCCCCCCCCOS(=O)(=O)N	CHEMBL171476	pKi=6.07
CC(=O)NC1CCc2cc(ccc12)S(=O)(=O)N	CHEMBL359768	pKi=6.08
CC(C)OC(=O)c1c(O)cccc1O	CHEMBL2333588	pKi=6.08
CC(C)OC(=O)c1cc(O)ccc1O	CHEMBL2333585	pKi=6.08
CCOC(=O)c1cc(O)cc(O)c1	CHEMBL448695	pKi=6.08
COC(=O)\C=C\c1ccc(O)cc1	CHEMBL146816	pKi=6.08
NS(=O)(=O)NCc1ccccc1	CHEMBL168526	pKi=6.08
Oc1ccc(\C=C\c2cc(O)cc(O)c2)cc1	CHEMBL165	pKi=6.08
CC(=O)OC[C@H]1O[C@@H](NC(=S)NCc2ccc(cc2)S(=O)(=O)N)[C@H](OC(=O)C)[C@@H](OC(=O)C)[C@H]1OC(=O)C	CHEMBL1956748	pKi=6.09
CC(C)OC(=O)c1ccc(O)cc1	CHEMBL2333962	pKi=6.09
CCCCCCOS(=O)(=O)N	CHEMBL2335232	pKi=6.09
CCOC(=O)c1c(O)cccc1O	CHEMBL2333587	pKi=6.09
Cc1cc(C)[n+](CCc2ccccc2C)c(C)c1.[O-]Cl(=O)(=O)=O	CHEMBL2333957	pKi=6.09
Oc1ccc(\C=C\C(=O)OCc2ccccc2)cc1	CHEMBL1095574	pKi=6.09
CC1(C)O[C@@H]2CO[C@@]3(CNC(=S)Nc4ccc(cc4F)S(=O)(=O)NCc5ccc(cc5)S(=O)(=O)N)OC(C)(C)O[C@H]3[C@@H]2O1	CHEMBL395734	pKi=6.1
CCOC(=O)\C=C\c1ccc(O)cc1	CHEMBL2074640	pKi=6.1
COC(=O)c1cc(O)ccc1O	CHEMBL1978880	pKi=6.1
NS(=O)(=O)c1ccc(cc1)n2ncc3CSc4cc(Cl)ccc4c23	CHEMBL2179307	pKi=6.1
CC(C)OC(=O)c1ccc(O)c(O)c1	CHEMBL2333589	pKi=6.11
CCC(C(=O)Nc1ccc(cc1)S(=O)(=O)N)C(C)(C)C	CHEMBL1084856	pKi=6.11
CCOC(=O)c1cc(O)ccc1O	CHEMBL2333584	pKi=6.11
COC(=O)c1cc(O)cc(O)c1	CHEMBL486218	pKi=6.11
COc1cc(O)c(\C=C/C(=O)O)cc1[C@@H](O)CC(C)C	CHEMBL560175	pIC50=6.11
COc1cc(\C=C\C(=O)OCc2ccccc2)ccc1O	CHEMBL457076	pKi=6.11
NS(=O)(=O)c1ccc(cc1)C(=O)O	CHEMBL414	pKi=6.11
O=C1NS(=O)(=O)c2ccccc12	CHEMBL310671	pKi=6.11
COC(=O)c1c(O)cccc1O	CHEMBL2333586	pKi=6.12
NS(=O)(=O)Oc1ccc2C3=C(CCCCC3)C(=O)Oc2c1	CHEMBL286738	pKi=6.12
CCOC(=O)c1ccc(O)cc1O	CHEMBL466810	pKi=6.13
CN(C)CCN(C)CCN(C)CCN(C)C	CHEMBL1214194	pKi=6.13
COc1cc(\C=C\C(=O)OCCc2cccc(O)c2)ccc1O	CHEMBL3628210	pKi=6.13
COc1ccc(cc1OC)C(=O)O	CHEMBL118903	pKi=6.13
Cc1cc(C)[n+](CCc2ccccc2c3ccccc3)c(C)c1.[O-]Cl(=O)(=O)=O	CHEMBL2333958	pKi=6.13
Cc1cc(C)[n+](c(C)c1)c2cc(O)ccc2Cl.[O-]Cl(=O)(=O)=O	CHEMBL2333961	pKi=6.13
CC(C)(C)C(=O)Nc1ccc(cc1)S(=O)(=O)N	CHEMBL23285	pKi=6.14
CC(C)OC(=O)\C=C\c1ccc(O)cc1	CHEMBL1940391	pKi=6.14
COc1cc(\C=C\C(=O)OCCc2ccc(O)cc2)ccc1O	CHEMBL481245	pKi=6.14
OP(=O)(O)C(NS(=O)(=O)c1ccc(cc1)c2ccccc2)P(=O)(O)O	CHEMBL3291009	pIC50=6.14
CCCCCCCCCCOS(=O)(=O)N	CHEMBL153094	pKi=6.15
NS(=O)(=O)c1ccc(cc1)n2ncc3CSc4ncccc4c23	CHEMBL2179305	pKi=6.15
OC(=O)c1cc(ccc1NC(=S)NCCc2ccc(O)c(O)c2)C3=C4C=CC(=O)C=C4Oc5cc(O)ccc35	CHEMBL2333956	pKi=6.15
Cc1cc(C)[n+](c(C)c1)c2cccc(O)c2.[O-]Cl(=O)(=O)=O	CHEMBL2333960	pKi=6.16
Cc1ccc(cc1)c2cc(nn2c3ccc(cc3)S(=O)(=O)N)C(F)(F)F	CHEMBL118	pKi=6.16
OC(=O)c1ccc(O)c(O)c1	CHEMBL37537	pKi=6.16
CC(=O)NC1Cc2ccc(cc2C1)S(=O)(=O)N	CHEMBL184674	pKi=6.17
CCC(CC)C(=O)NCCc1ccc(cc1)S(=O)(=O)N	CHEMBL1082898	pKi=6.17
CCCC(C(C)C)C(=O)Nc1ccc(cc1)S(=O)(=O)N	CHEMBL1084064	pKi=6.17
Nc1cc(c(cc1S(=O)(=O)N)S(=O)(=O)N)C(F)(F)F	CHEMBL418	pKi=6.17
CC(C)C(C(C)C)C(=O)Nc1ccc(cc1)S(=O)(=O)N	CHEMBL1085092	pKi=6.18
CCCC(CCC)C(=O)NC1Cc2ccc(cc2C1)S(=O)(=O)N	CHEMBL381730	pKi=6.18
CCC(CC)C(=O)Nc1ccc(cc1)S(=O)(=O)N	CHEMBL1083756	pKi=6.19
CCCC(C)C(=O)Nc1ccc(cc1)S(=O)(=O)N	CHEMBL1085095	pKi=6.19
NCCCCCCN	CHEMBL303004	pKi=6.19
OC(=O)c1cc(O)cc(O)c1	CHEMBL95308	pKi=6.19
Oc1ccc(CCOc2ccc(CCOC(=O)\C=C\c3ccc(O)c(O)c3)cc2)cc1	CHEMBL3628131	pKi=6.19
CC1(C)O[C@@H]2CO[C@@]3(CNC(=S)Nc4ccc(cc4Cl)S(=O)(=O)N)OC(C)(C)O[C@H]3[C@@H]2O1	CHEMBL232816	pKi=6.2
COc1ccc(OC)c(OC)c1	CHEMBL1668605	pKi=6.2
CCCC(C(C)CC)C(=O)Nc1ccc(cc1)S(=O)(=O)N	CHEMBL1084702	pKi=6.22
NS(=O)(=O)OCCCCCCCCOS(=O)(=O)N	CHEMBL182455	pKi=6.22
Oc1cccc(CCOc2cccc(CCOC(=O)\C=C\c3ccc(O)c(O)c3)c2)c1	CHEMBL3628132	pKi=6.22
CC(C)(C)[Si](C)(C)OCCOc1nc(Cl)nc(Nc2ccc(cc2)S(=O)(=O)N)n1	CHEMBL1813212	pKi=6.23
NCCNc1cccc2ccccc12	CHEMBL1214195	pKi=6.23
OP(=O)(O)C(NS(=O)(=O)c1ccc(cc1)c2cccs2)P(=O)(O)O	CHEMBL3291010	pIC50=6.23
Nc1cc(Cl)c(cc1S(=O)(=O)N)S(=O)(=O)N	CHEMBL266240	pKi=6.24
COc1cccc(OC)c1C(=O)O	CHEMBL488609	pKi=6.26
NS(=O)(=O)c1ccc(cc1)n2ncc3CSc4cc(ccc4c23)C(F)(F)F	CHEMBL2179306	pKi=6.26
CC1(C)O[C@@H]2CO[C@@]3(CNC(=S)Nc4ccc(cc4F)S(=O)(=O)N)OC(C)(C)O[C@H]3[C@@H]2O1	CHEMBL233019	pKi=6.27
Cc1ccc(cc1)S(=O)(=O)NC(P(=O)(O)O)P(=O)(O)O	CHEMBL3291005	pIC50=6.27
COc1ccc(cc1)S(=O)(=O)NC(P(=O)(O)O)P(=O)(O)O	CHEMBL3291006	pIC50=6.29
NCCCCCN	CHEMBL119296	pKi=6.3
CN1CCN(CC2=CC=C(C=C2)C(=O)NC2=CC=C(C)C(NC3=NC=CC(=N3)C3=CN=CC=C3)=C2)CC1	imatinib	pKi=6.33
COC[C@@H](NC(=O)C)C(=O)NCc1ccccc1	CHEMBL58323	pKi=6.33
CC(C)CC(=O)OC[C@H]1O[C@H]([C@H](OC(=O)CC(C)C)[C@@H](OC(=O)CC(C)C)[C@@H]1OC(=O)CC(C)C)n2cc(nn2)c3cccc(c3)S(=O)(=O)N	CHEMBL3092934	pKi=6.35
NS(=O)(=O)c1ccc2[nH]c(nc2c1)c3cscn3	CHEMBL455271	pKi=6.37
CCCCCCCCOS(=O)(=O)N	CHEMBL24261	pKi=6.41
NS(=O)(=O)CCNC(=O)\C(=N\O)\Cc1ccc(O)c(Br)c1	CHEMBL3586274	pKi=6.42
Oc1ccc(CCOC(=O)\C=C\c2ccc(O)cc2)cc1	CHEMBL3628211	pKi=6.43
NS(=O)(=O)C1=CC(Cl)=C(Cl)C(=C1)S(N)(=O)=O	dichlorphenamide	pKi=6.46
NS(=O)(=O)c1ccc(CNC(=O)CCCNC(=O)NCc2ccccc2)cc1	CHEMBL3360588	pKi=6.46
Cc1ccc(cc1)S(=O)(=O)NC(=O)Nc2ccc(nc2)S(=O)(=O)N	CHEMBL3099282	pKi=6.47
NS(=O)(=O)c1ccc2C(CCc2c1)NC(=O)C3CCCCC3	CHEMBL206830	pKi=6.47
CC(C)OC(=O)c1ccc(O)cc1O	CHEMBL2333963	pKi=6.48
OP(=O)(O)C(Nc1cccc2ccccc12)P(=O)(O)O	CHEMBL2440429	pIC50=6.5
OP(=O)(O)C(Nc1cccc(c1)c2ccccc2)P(=O)(O)O	CHEMBL55371	pIC50=6.51
Oc1ccc(\C=C\C(=O)OCCc2cccc(O)c2)cc1	CHEMBL3628212	pKi=6.51
Nc1nnc(s1)S(=O)(=O)N	CHEMBL265674	pKi=6.55
CCC(=O)OC[C@H]1O[C@H]([C@H](OC(=O)CC)[C@@H](OC(=O)CC)[C@@H]1OC(=O)CC)n2cc(nn2)c3ccc(cc3)S(=O)(=O)N	CHEMBL3092943	pKi=6.59
CCCC(CCC)C(=O)NC1CCc2cc(ccc12)S(=O)(=O)N	CHEMBL204941	pKi=6.6
CN1N=C(SC1=N)S(=O)(=O)N	CHEMBL6753	pKi=6.61
NS(=O)(=O)c1ccc(CNC(=O)CCCNC(=O)Nc2ccccc2)cc1	CHEMBL3360586	pKi=6.62
CC(=O)Nc1nnc(s1)S(=O)(=O)N	acetazolamide	pIC50=6.65
CC1=CN(C=N1)C1=CC(=CC(NC(=O)C2=CC(NC3=NC=CC(=N3)C3=CN=CC=C3)=C(C)C=C2)=C1)C(F)(F)F	nilotinib	pKi=6.65
COc1cc(CCNS(=O)(=O)N)cc(OC)c1OC	CHEMBL2387066	pKi=6.66
NS(=O)(=O)c1ccc(Nc2nc(F)nc(NCCO)n2)cc1	CHEMBL2443315	pKi=6.66
COC(=O)CNc1nc(F)nc(NCCc2ccc(cc2)S(=O)(=O)N)n1	CHEMBL2443317	pKi=6.67
COc1cc2CCN(C(c3ccc(cc3)[N+](=O)[O-])c2cc1OC)S(=O)(=O)N	CHEMBL466647	pKi=6.68
CCCCC(=O)OC[C@H]1O[C@H]([C@H](OC(=O)CCCC)[C@@H](OC(=O)CCCC)[C@@H]1OC(=O)CCCC)n2cc(nn2)c3ccc(cc3)S(=O)(=O)N	CHEMBL3092941	pKi=6.75
COc1cccc(CCNS(=O)(=O)N)c1OC	CHEMBL2387067	pKi=6.75
Nc1ccc(cc1F)S(=O)(=O)N	CHEMBL6853	pKi=6.75
COc1ccccc1CCNS(=O)(=O)N	CHEMBL2387070	pKi=6.8
NS(=O)(=O)c1cnccc1Sc2ccncc2S(=O)(=O)N	CHEMBL1164504	pKi=6.8
COC(=O)[C@H]1O[C@H]([C@H](OC(=O)C)[C@@H](OC(=O)C)[C@@H]1OC(=O)C)n2cc(COC(=O)c3ccc(cc3)S(=O)(=O)N)nn2	CHEMBL216214	pKi=6.81
CC1CC=NN1c2ccncc2S(=O)(=O)N	CHEMBL1163382	pKi=6.82
[Cl-].NS(=O)(=O)c1cnccc1[n+]2ccccc2	CHEMBL1817901	pKi=6.82
CCCCC(=O)OC[C@H]1O[C@H]([C@H](OC(=O)CCCC)[C@@H](OC(=O)CCCC)[C@H]1OC(=O)CCCC)n2cc(nn2)c3cccc(c3)S(=O)(=O)N	CHEMBL3092811	pKi=6.83
NS(=O)(=O)c1ccc(CCNc2ccncc2S(=O)(=O)N)cc1	CHEMBL1165061	pKi=6.83
NC(=O)CSc1ccncc1S(=O)(=O)N	CHEMBL1163376	pKi=6.85
NS(=O)(=O)c1cnccc1NCC=C	CHEMBL1164966	pKi=6.85
NS(=O)(=O)c1cnccc1SCC#N	CHEMBL1164420	pKi=6.85
CCCCC(=O)OC[C@H]1O[C@H]([C@H](OC(=O)CCCC)[C@@H](OC(=O)CCCC)[C@@H]1OC(=O)CCCC)n2cc(nn2)c3cccc(c3)S(=O)(=O)N	CHEMBL3092935	pKi=6.86
NS(=O)(=O)c1ccc(Nc2nc(F)nc(F)n2)cc1	CHEMBL2443313	pKi=6.86
CC(=O)OC[C@H]1O[C@H](O[C@@H]2[C@@H](COC(=O)C)O[C@H]([C@H](OC(=O)C)[C@H]2OC(=O)C)n3cc(CNC(=O)c4ccc(cc4)S(=O)(=O)N)nn3)[C@H](OC(=O)C)[C@@H](OC(=O)C)[C@@H]1OC(=O)C	CHEMBL215105	pKi=6.87
NS(=O)(=O)c1ccc(CNC(=S)N[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)cc1	CHEMBL1956764	pKi=6.89
CC(=O)OC[C@H]1O[C@@H](NC(=S)Nc2ccc(cc2)S(=O)(=O)N)[C@H](OC(=O)C)[C@@H](OC(=O)C)[C@H]1OC(=O)C	CHEMBL1956747	pKi=6.9
NS(=O)(=O)c1ccc(CCNc2nc(F)nc(NCC(=O)O)n2)cc1	CHEMBL2443318	pKi=6.9
NS(=O)(=O)c1ccc(NC(=S)N[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)cc1	CHEMBL1956763	pKi=6.9
NS(=O)(=O)c1cnccc1Oc2ccncc2S(=O)(=O)N	CHEMBL1817908	pKi=6.9
CC(=O)OC[C@H]1O[C@H]([C@H](OC(=O)C)[C@@H](OC(=O)C)[C@@H]1OC(=O)C)n2cc(COC(=O)c3ccc(cc3)S(=O)(=O)N)nn2	CHEMBL383897	pKi=6.91
CCCC(=O)OC[C@H]1O[C@H]([C@H](OC(=O)CCC)[C@@H](OC(=O)CCC)[C@@H]1OC(=O)CCC)n2cc(nn2)c3ccc(cc3)S(=O)(=O)N	CHEMBL3092942	pKi=6.92
NS(=O)(=O)c1cccc(c1)C#C	CHEMBL1232090	pKi=6.93
COc1cc2CCNC(c3ccc(cc3)S(=O)(=O)N)c2cc1OC	CHEMBL2048919	pKi=6.95
[Cl-].Cc1cccc[n+]1c2ccncc2S(=O)(=O)N	CHEMBL1817902	pKi=6.95
Cc1onc(c2ccccc2)c1c3ccc(cc3)S(=O)(=O)N	CHEMBL865	pKi=6.97
NS(=O)(=O)c1ccc(CCNC(=S)N[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)cc1	CHEMBL1956765	pKi=6.97
CC(=O)OC[C@H]1O[C@H]([C@H](OC(=O)C)[C@@H](OC(=O)C)[C@@H]1OC(=O)C)n2cc(nn2)c3ccc(cc3)S(=O)(=O)N	CHEMBL269852	pKi=6.98
COC(=O)[C@H]1O[C@H]([C@H](O)[C@@H](O)[C@@H]1O)n2cc(CNC(=O)c3ccc(cc3)S(=O)(=O)N)nn2	CHEMBL217683	pKi=6.98
NS(=O)(=O)c1ccc(cc1)S(=O)(=O)Nc2cccc3c(Cl)c[nH]c23	CHEMBL77517	pKi=6.98
[Cl-].Cc1cc[n+](cc1)c2ccncc2S(=O)(=O)N	CHEMBL1817903	pKi=6.98
CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]1n2cc(CNC(=O)c3ccc(cc3)S(=O)(=O)N)nn2	CHEMBL217232	pKi=6.99
COc1cc2CCN=C(c3ccc(cc3)S(=O)(=O)N)c2cc1OC	CHEMBL2048918	pKi=6.99
NS(=O)(=O)c1ccc(cc1)C(=O)NCc2cn(nn2)[C@H]3OC[C@@H](O)[C@@H](O)[C@@H]3O	CHEMBL231896	pKi=7.0
CSc1ccncc1S(=O)(=O)N	CHEMBL1165117	pKi=7.01
NS(=O)(=O)c1cnccc1N2C=CC(=O)C=C2	CHEMBL1817905	pKi=7.01
CNNc1ccncc1S(=O)(=O)N	CHEMBL1164878	pKi=7.02
NS(=O)(=O)c1ccc(cc1)C(=O)OCc2cn(nn2)[C@@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O	CHEMBL214926	pKi=7.02
COC(=O)[C@H]1O[C@H]([C@H](OC(=O)C)[C@@H](OC(=O)C)[C@@H]1OC(=O)C)n2cc(CNC(=O)c3ccc(cc3)S(=O)(=O)N)nn2	CHEMBL216563	pKi=7.03
NNc1ccncc1S(=O)(=O)N	CHEMBL1164967	pKi=7.03
NS(=O)(=O)C1=CN(C=CC1=O)c2ccncc2S(=O)(=O)N	CHEMBL1242890	pKi=7.03
NS(=O)(=O)c1cnccc1NNC2=NS(=O)(=O)c3cc(C#N)c(Cl)cc3S2	CHEMBL1165062	pKi=7.04
OC(CN1C=CN=C1)(P(O)(O)=O)P(O)(O)=O	zoledronic acid	pIC50=7.04
OP(=O)(O)C(NS(=O)(=O)c1ccc(cc1)[N+](=O)[O-])P(=O)(O)O	CHEMBL3291007	pIC50=7.04
Nc1nccc(Nc2ccc(cc2)S(=O)(=O)N)n1	CHEMBL6633	pKi=7.05
CC(=O)OC[C@H]1O[C@H]([C@H](OC(=O)C)[C@@H](OC(=O)C)[C@H]1OC(=O)C)n2cc(CNC(=O)c3ccc(cc3)S(=O)(=O)N)nn2	CHEMBL386266	pKi=7.06
COc1cc2CCN(C(c3ccc(cc3)S(=O)(=O)N)c2cc1OC)S(=O)(=O)N	CHEMBL2048920	pKi=7.06
[Cl-].CN(C)c1cc[n+](cc1)c2ccncc2S(=O)(=O)N	CHEMBL1817904	pKi=7.06
COC1=C(C2NS(=O)(=O)c3cnccc3N2C=C1)S(=O)(=O)N	CHEMBL1817672	pKi=7.07
NS(=O)(=O)c1ccc(cc1)C(=O)OCC#C	CHEMBL217569	pKi=7.08
NS(=O)(=O)c1cnccc1NNC2=NS(=O)(=O)c3cnccc3S2	CHEMBL1165695	pKi=7.08
CCC(CC)C(=O)NCc1ccc(cc1)S(=O)(=O)N	CHEMBL73460	pKi=7.09
NC1Cc2ccc(cc2C1)S(=O)(=O)O	CHEMBL186263	pKi=7.09
NS(=O)(=O)c1cnccc1N2C=CC=CC2=O	CHEMBL1817907	pKi=7.09
OP(=O)(O)C(NS(=O)(=O)c1ccc(cc1)c2ccc(cc2)[N+](=O)[O-])P(=O)(O)O	CHEMBL3291013	pIC50=7.09
OP(=O)(O)C(Nc1cccc(F)c1)P(=O)(O)O	CHEMBL2440436	pIC50=7.09
Nc1ccc(cc1I)S(=O)(=O)N	CHEMBL268177	pKi=7.1
CC(=O)N[C@@H]1[C@@H](OC(=O)C)[C@H](OC(=O)C)[C@@H](COC(=O)C)O[C@H]1n2cc(CNC(=O)c3ccc(cc3)S(=O)(=O)N)nn2	CHEMBL216210	pKi=7.11
CCC(=O)OC[C@H]1O[C@H]([C@H](OC(=O)CC)[C@@H](OC(=O)CC)[C@@H]1OC(=O)CC)n2cc(nn2)c3cccc(c3)S(=O)(=O)N	CHEMBL3092938	pKi=7.11
CCC(C)C(=O)Nc1ccc(cc1)S(=O)(=O)N	CHEMBL1085467	pKi=7.11
CCC(C)CC(=O)Nc1ccc(cc1)S(=O)(=O)N	CHEMBL1085033	pKi=7.11
CO[C@H]1O[C@H](Cn2cc(CNC(=O)c3ccc(cc3)S(=O)(=O)N)nn2)[C@@H](O)[C@H](O)[C@H]1O	CHEMBL410510	pKi=7.11
NS(=O)(=O)c1ccc(CCNc2nc(Cl)nc(NC(Cc3ccc(O)c(O)c3)C(=O)O)n2)cc1	CHEMBL1813217	pKi=7.11
CCCC(=O)OC[C@H]1O[C@H]([C@H](OC(=O)CCC)[C@@H](OC(=O)CCC)[C@H]1OC(=O)CCC)n2cc(nn2)c3cccc(c3)S(=O)(=O)N	CHEMBL3092812	pKi=7.12
COC1=CC=CC2N1c3ccncc3S(=O)(=O)N2c4ccncc4S(=O)(=O)N	CHEMBL1817906	pKi=7.12
CO[C@H]1O[C@H](Cn2cc(CNC(=O)c3ccc(cc3)S(=O)(=O)N)nn2)[C@@H](OC(=O)C)[C@H](OC(=O)C)[C@H]1OC(=O)C	CHEMBL217304	pKi=7.12
Nc1ccc(cc1)S(=O)(=O)NCCc2ccc(cc2)S(=O)(=O)N	CHEMBL7146	pKi=7.12
CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]1n2cc(COC(=O)c3ccc(cc3)S(=O)(=O)N)nn2	CHEMBL217303	pKi=7.13
CO[C@H]1O[C@H](Cn2cc(COC(=O)c3ccc(cc3)S(=O)(=O)N)nn2)[C@@H](OC(=O)C)[C@H](OC(=O)C)[C@H]1OC(=O)C	CHEMBL217454	pKi=7.13
CC(=O)OC[C@H]1O[C@H](O[C@@H]2[C@@H](COC(=O)C)O[C@H]([C@H](OC(=O)C)[C@H]2OC(=O)C)n3cc(COC(=O)c4ccc(cc4)S(=O)(=O)N)nn3)[C@H](OC(=O)C)[C@@H](OC(=O)C)[C@@H]1OC(=O)C	CHEMBL215156	pKi=7.14
NS(=O)(=O)c1ccc(CNc2nc(Cl)nc(NC(Cc3ccc(O)c(O)c3)C(=O)O)n2)cc1	CHEMBL1813216	pKi=7.14
CC(=O)N[C@@H]1[C@@H](OC(=O)C)[C@H](OC(=O)C)[C@@H](COC(=O)C)O[C@H]1n2cc(COC(=O)c3ccc(cc3)S(=O)(=O)N)nn2	CHEMBL215182	pKi=7.15
CC(=O)O[C@@H]1CO[C@@H]([C@@H](OC(=O)C)[C@@H]1OC(=O)C)n2cc(CNC(=O)c3ccc(cc3)S(=O)(=O)N)nn2	CHEMBL394021	pKi=7.15
CC(C)(C)CC(=O)Nc1ccc(cc1)S(=O)(=O)N	CHEMBL1085094	pKi=7.15
NS(=O)(=O)c1ccc(CCNC(=O)CCCNC(=O)NCc2ccccc2)cc1	CHEMBL3360589	pKi=7.15
CCCC(C(=O)Nc1ccc(cc1)S(=O)(=O)N)C(C)(C)C	CHEMBL1083383	pKi=7.16
COc1ccc(cc1)c2ccc(cc2)S(=O)(=O)NC(P(=O)(O)O)P(=O)(O)O	CHEMBL3291012	pIC50=7.16
Cc1ccc2cccc(Oc3ccncc3S(=O)(=O)N)c2n1	CHEMBL1165071	pKi=7.16
CC(=O)NC1Cc2ccc(cc2C1)S(=O)(=O)O	CHEMBL454461	pKi=7.17
CC(=O)O[C@@H]1CO[C@@H]([C@@H](OC(=O)C)[C@@H]1OC(=O)C)n2cc(COC(=O)c3ccc(cc3)S(=O)(=O)N)nn2	CHEMBL231897	pKi=7.17
CCCC(=O)OC[C@H]1O[C@H]([C@H](OC(=O)CCC)[C@@H](OC(=O)CCC)[C@@H]1OC(=O)CCC)n2cc(nn2)c3cccc(c3)S(=O)(=O)N	CHEMBL3092936	pKi=7.17
CCCCC(=O)OC[C@H]1O[C@H]([C@H](OC(=O)CCCC)[C@@H](OC(=O)CCCC)[C@H]1OC(=O)CCCC)n2cc(nn2)c3ccc(cc3)S(=O)(=O)N	CHEMBL3092817	pKi=7.17
NS(=O)(=O)c1cnccc1SCc2ccccc2	CHEMBL1164472	pKi=7.17
CCC(C)C(C(C)C)C(=O)Nc1ccc(cc1)S(=O)(=O)N	CHEMBL1083382	pKi=7.18
NS(=O)(=O)c1ccc(CCNC(=O)CCCNC(=O)Nc2ccccc2)cc1	CHEMBL3360587	pKi=7.18
