O=C1NCc2c1c3c4ccccc4sc3c5[nH]c6ccccc6c25	CHEMBL221536	pIC50=7.59
CCSCc1ccc2c(c1)c3c4CNC(=O)c4c5c6cc(CSCC)ccc6n7[C@H]8C[C@](O)(C(=O)OC)[C@](C)(O8)n2c3c57	CHEMBL290352	pIC50=7.64
O=C1NCc2c1c3c4ccccc4[nH]c3c5CCc6ccccc6c25	CHEMBL374581	pIC50=7.66
CCSCc1ccc2c(c1)c3c4CNC(=O)c4c5c6ccccc6n7[C@H]8C[C@](O)(C(=O)OC)[C@](C)(O8)n2c3c57	CHEMBL288229	pIC50=7.68
CN1CCN(Cc2ccc(cc2)c3cnc4[nH]cc(c5cnc6[nH]ccc6c5)c4c3)CC1	CHEMBL2436977	pIC50=7.68
CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n3c4ccccc4c5c6CNC(=O)c6c7c8ccccc8n2c7c35	CHEMBL388978	pKd=7.7
Nc1ccc(cn1)c2cnc3[nH]cc(c4ccc5[nH]ccc5c4)c3c2	CHEMBL2436981	pIC50=7.72
C[C@]12O[C@H](C[C@]1(O)CO)n3c4ccccc4c5c6C(=O)NCc6c7c8ccccc8n2c7c35	CHEMBL603469	pKd=7.75
CO[C@@H]1[C@@H](C[C@H]2O[C@]1(C)n3c4ccccc4c5c6CNC(=O)c6c7c8ccccc8n2c7c35)N(C)C(=O)c9ccccc9	CHEMBL608533	pKd=7.77
CN1CCN(Cc2ccc(cc2)c3cnc4[nH]cc(c5ccc6[nH]ccc6c5)c4c3)CC1	CHEMBL2436978	pIC50=7.85
COC(=O)[C@]1(O)C[C@@H]2O[C@@]1(C)n3c4ccccc4c5c6CNC(=O)c6c7c8ccccc8n2c7c35	CHEMBL416056	pIC50=7.89
O=C1NC(=O)c2c1c3c(CCc4ccccc34)c5[nH]c6ccccc6c25	CHEMBL386636	pIC50=7.92
CCOCc1ccc2c(c1)c3c4CNC(=O)c4c5c6cc(COCC)ccc6n7[C@H]8C[C@](O)(C(=O)OC)[C@](C)(O8)n2c3c57	CHEMBL277817	pIC50=7.96
COC(=O)[C@@]1(O)C[C@H]2O[C@]1(C)n3c4ccc(CO)cc4c5c6CNC(=O)c6c7c8cc(CO)ccc8n2c7c35	CHEMBL289772	pIC50=7.96
COCc1ccc2c(c1)c3c4CNC(=O)c4c5c6cc(COC)ccc6n7[C@H]8C[C@](O)(C(=O)OC)[C@](C)(O8)n2c3c57	CHEMBL288817	pIC50=7.96
COc1cc(Nc2ncc(F)c(Nc3ccc4OC(C)(C)C(=O)Nc4n3)n2)cc(OC)c1OC	CHEMBL475251	pKd=7.96
COc1cc(cc(OC)c1OC)c2cnc3[nH]cc(c4cnc(N)nc4)c3c2	CHEMBL2436976	pIC50=8.05
COc1cc(cc(OC)c1OC)c2cnc3[nH]cc(c4ccc(N)nc4)c3c2	CHEMBL2436982	pIC50=8.16
COc1cc(cc(OC)c1OC)c2cnc3[nH]cc(c4ccc5[nH]ccc5c4)c3c2	CHEMBL2436980	pIC50=8.52
