NS(=O)(=O)C1=CC(Cl)=C(Cl)C(=C1)S(N)(=O)=O	dichlorphenamide	pKi=7.301	pKi=7.301	pKi=7.301	pKi=7.25
CC(=O)Nc1nnc(s1)S(=O)(=O)N	acetazolamide	pKi=8.6	pKi=8.6	pKi=8.6	pKd=6.48
CCOC1=CC2=C(C=C1)N=C(S2)S(N)(=O)=O	ethoxzolamide	pKi=7.66	pKi=7.66	pKi=7.66	pKi=7.25
CC(C)CSc1cc2NCNS(=O)(=O)c2cc1S(=O)(=O)N	CHEMBL385451	pKi=6.0
CCc1cnc(SCC(=O)c2ccc(cc2)S(=O)(=O)N)nc1	CHEMBL2011000	pKd=6.0
CN1CCN(CC2=CC=C(C=C2)C(=O)NC2=CC=C(C)C(NC3=NC=CC(=N3)C3=CN=CC=C3)=C2)CC1	imatinib	pKi=6.01
[O-][N+](=O)c1ccccc1C(=O)CN2C(=O)c3ccccc3S2(=O)=O	CHEMBL3125551	pKi=6.01
CCCN(CCC)S(=O)(=O)c1ccc(cc1)C(=O)NCC	CHEMBL3586211	pKi=6.02
CCCN(CCC)S(=O)(=O)c1ccc(cc1)C(=O)N[C@@H](CC(C)C)C(=O)O	CHEMBL3604406	pKi=6.02
COC(=O)c1ccc(O)c(O)c1	CHEMBL486027	pKi=6.02
COC(=O)c1ccc(O)cc1O	CHEMBL486026	pKi=6.02
COc1c2C=CC(=O)Oc2cc3OC(C)(C)C=Cc13	CHEMBL501358	pKi=6.02
NS(=O)(=O)c1ccc(NCC=C)cc1	CHEMBL2333964	pKi=6.02
Oc1ccc(\C=C\c2cc(O)cc(O)c2)cc1	CHEMBL165	pKi=6.02
Oc1ccccc1\C=N\CCC\N=C\c2ccccc2O	CHEMBL593165	pKi=6.02
NS(=O)(=O)NCc1ccccc1	CHEMBL168526	pKi=6.03
CC(=O)Nc1ccc2C(=CC(=O)Oc2c1)C	CHEMBL1951641	pKi=6.04
CCCN(CCC)S(=O)(=O)NC(=O)OC(C)(C)C	CHEMBL375030	pKi=6.04
COc1ccc(cc1)S(=O)(=O)Nc2ccc(cc2)C3C4=C(CC(C)(C)CC4=O)N(C5=C3C(=O)CC(C)(C)C5)c6ccc(cc6)S(=O)(=O)N	CHEMBL3623637	pKi=6.04
COc1ccc(cc1)S(=O)(=O)Nc2cccc(c2)C3C4=C(CC(C)(C)CC4=O)N(C5=C3C(=O)CC(C)(C)C5)c6ccc(cc6)S(=O)(=O)N	CHEMBL3623643	pKi=6.04
Cc1cc(C)nc(SCC(=O)c2ccc(c(Cl)c2)S(=O)(=O)N)n1	CHEMBL2443204	pKd=6.04
Cc1cc(C)nc(SCC(=O)c2ccc(cc2)S(=O)(=O)N)n1	CHEMBL2010998	pKd=6.04
CC(C)(C)OC(=O)NS(=O)(=O)NCc1ccccc1	CHEMBL229904	pKi=6.05
CC(C)OC(=O)c1cc(O)cc(O)c1	CHEMBL2333590	pKi=6.05
CCCC(CCC)COS(=O)(=O)N	CHEMBL2335233	pKi=6.05
Cc1ccc(cc1)S(=O)(=O)OCCOc2ccc3C=CC(=O)Oc3c2	CHEMBL1957185	pKi=6.05
NS(=O)(=O)c1cc(ccc1Cl)C(=O)Cn2cnc3ccccc23	CHEMBL1272187	pKd=6.05
C=CCOC1=CC(=O)Oc2ccccc12	CHEMBL1957180	pKi=6.06
CC(C)OC(=O)c1c(O)cccc1O	CHEMBL2333588	pKi=6.06
COc1ccc(cc1)c2cn(nn2)c3ccc4C(=O)NS(=O)(=O)c4c3	CHEMBL3233391	pKi=6.06
Oc1ccccc1\C=N\CCCC\N=C\c2ccccc2O	CHEMBL593618	pKi=6.06
CC(C)OC(=O)c1ccc(O)c(O)c1	CHEMBL2333589	pKi=6.07
CC1(C)CC(=O)C2=C(C1)N(C3=C(C2c4ccc(NS(=O)(=O)c5ccc(Br)cc5)cc4)C(=O)CC(C)(C)C3)c6ccc(cc6)S(=O)(=O)N	CHEMBL3623638	pKi=6.07
CCCN(CCC)S(=O)(=O)c1ccc(cc1)C(=O)N[C@@H](C)C(=O)O	CHEMBL3604405	pKi=6.07
CCOC(=O)c1cc(O)cc(O)c1	CHEMBL448695	pKi=6.07
NS(=O)(=O)c1ccc(cc1Cl)C(=O)CSc2ncccn2	CHEMBL2443188	pKd=6.07
OP(=O)(O)C(NS(=O)(=O)c1ccccc1)P(=O)(O)O	CHEMBL3291000	pIC50=6.07
CC(C)(C)[Si](C)(C)Oc1ccc2C=CC(=O)Oc2c1	CHEMBL1957178	pKi=6.08
CC1(C)CC(=O)C2=C(C1)N(C3=C(C2c4cccc(NS(=O)(=O)c5ccc6ccccc6c5)c4)C(=O)CC(C)(C)C3)c7ccc(cc7)S(=O)(=O)N	CHEMBL3623646	pKi=6.08
CCCSc1c(F)c(F)c(c(NC2CCCCCCC2)c1F)S(=O)(=O)N	CHEMBL3797835	pKd=6.08
CCOC(=O)c1c(O)cccc1O	CHEMBL2333587	pKi=6.08
CCOC(=O)c1ccc(O)c(O)c1	CHEMBL486216	pKi=6.08
COC(=O)c1cc(O)cc(O)c1	CHEMBL486218	pKi=6.08
COC(=O)c1cc(O)ccc1O	CHEMBL1978880	pKi=6.08
