CCOC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC	icosapent ethyl
CNC(=O)c1cccc(NC(=O)Nc2ccc(cc2)c3ccc(cc3)C(=O)[C@@H]4CCC[C@H]4C(=O)O)c1	CHEMBL253610	pIC50=6.0
OC(=O)C[C@@H]1CC[C@H](CC1)c2ccc(cc2)C(=O)Nc3nnc(s3)C45CC6CC(CC(C6)C4)C5	CHEMBL2012603	pIC50=6.01
CC([C@@H]1CC[C@H](CC1)c2ccc(cc2)c3ccc4N(CCOc4c3)C(=O)Nc5ccccc5)C(=O)O	CHEMBL3287885	pIC50=6.02
CCOC(=O)N1CCN(CC1)c2ccc(NC(=O)c3oc(nc3C(F)(F)F)N4CCCCC4C)cn2	CHEMBL2441023	pIC50=6.03
CCN(CC)c1ccc(NC(=O)c2nc(oc2C(F)(F)F)c3ccccc3)cn1	CHEMBL1922686	pEC50=6.04
CCC1CN(C(=O)Nc2ccccc2)c3ccc(cc3O1)c4ccc(OC[C@H]5C[C@@H]5C(=O)O)nc4	CHEMBL3287891	pIC50=6.07
CCCc1c(C(=O)OCC)c(C(=O)OCC)c2c(cc(nn12)N(C)C)c3ccccc3	CHEMBL1257442	pIC50=6.08
COc1ccc(cc1)c2nnc(NC(=O)c3ccc(cc3)[C@@H]4CC[C@@H](CC(=O)O)CC4)s2	CHEMBL2012621	pIC50=6.08
FC(F)(F)c1oc(nc1C(=O)Nc2ccc(nc2)N3CCOCC3)c4ccccc4	CHEMBL1922677	pEC50=6.08
Fc1ccc(Nc2oc(nn2)C(=O)Nc3ccc(nc3)N4CCOCC4)cc1	CHEMBL2036589	pIC50=6.08
Nc1ncnc2OCCN(C(=O)c12)c3ccc(cc3)C4CCN(CC4)C(=O)c5ccon5	CHEMBL2414666	pIC50=6.08
Cc1nc(N)c2N=C(COc2n1)c3ccc(Br)cc3	CHEMBL3235282	pIC50=6.09
Cc1oc(c(n1)C(=O)Nc2ccc(cc2)c3ccc(cc3)C4CCC(CC(=O)O)OC4)C(F)(F)F	CHEMBL3701234	pIC50=6.09
CCOc1ccc(cc1)C(=O)NCCNC(=O)c2cn(Cc3ccccc3)nc2C(F)(F)F	CHEMBL1092008	pIC50=6.1
C[C@@H](C(=O)O)c1ccc(cc1)c2ccc(cc2)c3nc(C(=O)N)c(C)nc3C	CHEMBL3133090	pIC50=6.1
FC(F)(F)c1nc(oc1C(=O)Nc2ccc(nc2)N3CCN(CC3)C(=O)NC4CCCC4)N5CCCCC5	CHEMBL2441207	pIC50=6.1
Cc1c(oc2ccc(cc12)c3ccccc3)C(=O)Nc4ccc(cc4)N5CCC(COc6cccc(c6)C(=O)O)CC5	CHEMBL2334073	pIC50=6.11
Nc1ncnc2OCCN(C(=O)c12)c3ccc(cc3)[C@@H]4CC[C@@H](Cc5nn[nH]n5)CC4	CHEMBL2414698	pIC50=6.11
OC(=O)[C@@H]1CC[C@@H](CC1)Oc2ccc(cn2)c3ccc(cn3)c4nc5cc(OC(F)(F)F)ccc5[nH]4	CHEMBL2408623	pIC50=6.11
CC(C)(NC(=O)C1(CC1)C(F)(F)F)C(=O)Nc2nc(c3ccc(F)cc3)n(n2)c4ccc(F)cc4	CHEMBL3759584	pIC50=6.12
OC(=O)CC1CCC(OC1)c2ccc(cc2)c3ccc(Nc4oc(nn4)C5CCC5)cc3	CHEMBL3701236	pIC50=6.12
CC1(COc2ncnc(N)c2O1)c3ccc(cc3)[C@@H]4CC[C@@H](CC(=O)O)CC4	CHEMBL1834558	pIC50=6.13
CC(C)NC(=O)N1CCN(CC1)c2ccc(NC(=O)c3oc(nc3C(F)(F)F)N4CCCCC4)cn2	CHEMBL2441206	pIC50=6.14
COc1ccc(Cc2nnc(NC(=O)c3ccc(cc3)[C@@H]4CC[C@@H](CC(=O)O)CC4)s2)cc1	CHEMBL2012626	pIC50=6.14
COc1cccc(Nc2oc(nn2)C(=O)Nc3ccc(nc3)N4CCOCC4)c1	CHEMBL2036594	pIC50=6.14
CCOc1ccc(cc1)C(=O)NCCNC(=O)c2nc(c(Cc3ccccc3)s2)c4ccccc4	CHEMBL1089097	pIC50=6.16
CCc1oc(nc1C(=O)Nc2ccc(nc2)N3CCOCC3)c4ccccc4	CHEMBL1922681	pIC50=6.16
COCC(=O)N(C)c1ccc(NC(=O)c2nc(oc2C(F)(F)F)c3ccccc3)cn1	CHEMBL1922690	pIC50=6.16
Cc1nc(C)c(nc1C(=O)N)c2ccc(cc2)[C@@H]3CC[C@@H](CCO)CC3	CHEMBL2178933	pIC50=6.16
Cc1ccc(cc1)N2CCOc3ncnc(N)c3C2=O	CHEMBL2414690	pIC50=6.17
COCCN(C)c1ccc(NC(=O)c2nc(oc2C(F)(F)F)c3ccccc3)cn1	CHEMBL1766813	pEC50=6.18
Cc1nc(sc1C(=O)Nc2ccc(nc2)N3CCOCC3)c4ccccc4	CHEMBL1922683	pIC50=6.18
CCC1CN(C(=O)Nc2ccccc2)c3ccc(cc3O1)c4cnc(OCC(C)(C)C(=O)O)nc4	CHEMBL3287895	pIC50=6.19
CCN(CCOC)c1ccc(NC(=O)c2nc(oc2C(F)(F)F)c3ccccc3)cn1	CHEMBL1922689	pIC50=6.19
CCOc1ccc(cc1)C(=O)NCCNC(=O)c2cn(nc2C)c3ccccc3	CHEMBL1089875	pIC50=6.19
CCOC(=O)c1c(C(=O)OCC)c2c(cc(nn2c1c3ccc(N)cc3)N4CCOCC4)c5ccccc5	CHEMBL1257207	pIC50=6.2
C[C@H]1CN(C(=O)c2c(N)ncnc2O1)c3ccc(cc3)[C@@H]4CC[C@@H](CC(=O)O)CC4	CHEMBL2414686	pIC50=6.2
Cc1nc(C)c(nc1C(=O)N)c2ccc(cc2)c3ccc(CC(=O)O)cc3	CHEMBL3133100	pIC50=6.2
FC(F)(F)c1nc(oc1C(=O)Nc2ccc(nc2)N3CCN(CC3)C(=O)Oc4ccccc4Cl)N5CCCCC5	CHEMBL2441202	pIC50=6.2
OC(=O)[C@@H]1CCC[C@H]1C(=O)c2ccc(cc2)c3ccc4N(CCOc4c3)C(=O)Nc5ccccc5	CHEMBL3287889	pIC50=6.2
CCCCc1ccc(NC(=O)c2oc(Nc3ccccc3F)nn2)cc1	CHEMBL2036578	pIC50=6.21
CCOC(=O)c1c(C(=O)OCC)c2c(cc(nn2c1C3CC3)N4CCOCC4)c5ccccc5	CHEMBL1258027	pIC50=6.21
O=C(Nc1ccc(nc1)N2CCOCC2)c3oc(Nc4ccccc4)nn3	CHEMBL2036587	pIC50=6.21
CC(=O)N1CCC(CC1)c2ccc(cc2)N3CCOc4ncnc(N)c4C3=O	CHEMBL2414658	pIC50=6.22
CC(C)C(=O)N1CCC(CC1)c2ccc(cc2)N3CCOc4ncnc(N)c4C3=O	CHEMBL2414659	pIC50=6.22
CC1(C)Oc2ncnc(N)c2N=C1c3ccc(cc3)N4CCOCC4	CHEMBL3235308	pIC50=6.22
Clc1oc(nc1C(=O)Nc2ccc(nc2)N3CCOCC3)c4ccccc4	CHEMBL1922680	pIC50=6.22
OC(=O)CC1CCC(CC1)c2ccc(cc2)c3oc(Nc4ccc(cc4Cl)C(F)(F)F)nc3	CHEMBL3653963	pIC50=6.22
OC(=O)C[C@@H]1CC[C@H](CC1)c2ccc(cc2)C(=O)Nc3nnc(Cc4ccc(F)cc4)s3	CHEMBL2012627	pIC50=6.22
Cc1ncc(nc1C(=O)N)c2ccc(cc2)[C@@H]3CC[C@@H](CC(=O)O)CC3	CHEMBL2178954	pIC50=6.23
OC(=O)C[C@@H]1CC[C@H](CC1)c2ccc(cc2)C(=O)Nc3nnc(CCc4ccccc4)s3	CHEMBL2012608	pIC50=6.23
OC(=O)C[C@@H]1CC[C@H](CC1)c2ccc(cc2)C(=O)Nc3nnc(s3)c4ccccc4	CHEMBL2012601	pIC50=6.23
CCCc1c(C(=O)OCC)c(C(=O)OCC)c2c(cc(nn12)N3CCOCC3)c4ccccc4F	CHEMBL1257558	pIC50=6.24
CCOC(=O)c1c(C(=O)OCC)c2c(cc(nn2c1c3ccc(O)cc3)N4CCOCC4)c5ccccc5	CHEMBL1258828	pIC50=6.24
COc1ccc(cc1)C2=Nc3c(N)ncnc3OC2(C)C	CHEMBL3235306	pIC50=6.24
Nc1ncnc2OCC(=Nc12)c3ccc(Br)cc3	CHEMBL3235281	pIC50=6.24
Nc1ncnc2OCCN(C(=O)c12)c3ccc(cc3)C4CCN(CC4)C(=O)[C@@H]5CC[C@H](O)CC5	CHEMBL2413095	pIC50=6.24
OC(=O)C[C@@H]1CC[C@@H](CC1)c2ccc(cc2)C(=O)Nc3nnc(Cc4ccccc4)s3	CHEMBL2012623	pIC50=6.24
OC(=O)C[C@@H]1CC[C@H](CC1)c2ccc(cc2)c3ccc4N(CCOc4c3)C(=O)Cc5ccccc5	CHEMBL3287869	pIC50=6.24
OC(=O)C[C@@H]1CC[C@H](CC1)c2ccc(cc2)c3ccc4N(CCOc4c3)C(=O)NCc5ccccc5	CHEMBL3287881	pIC50=6.24
CC(C)C1CN(C(=O)Nc2ccccc2)c3ccc(cc3O1)c4ccc(cc4)[C@@H]5CC[C@@H](CC(=O)O)CC5	CHEMBL3286412	pIC50=6.25
CN(CCO)c1ccc(NC(=O)c2nc(oc2C(F)(F)F)c3ccccc3)cn1	CHEMBL1922688	pIC50=6.26
CC(=O)N1CCN(CC1)c2ccc(NC(=O)c3oc(Nc4ccccc4F)nn3)cc2	CHEMBL2036577	pIC50=6.27
