CC(C)(C)C1=NC(=C(S1)C1=NC(N)=NC=C1)C1=C(F)C(NS(=O)(=O)C2=C(F)C=CC=C2F)=CC=C1	dabrafenib	pIC50=9.1549015	pIC50=9.1549015	pIC50=9.1549015	pIC50=7.96
CNC(=O)C1=CC(OC2=CC=C(NC(=O)NC3=CC=C(Cl)C(=C3)C(F)(F)F)C=C2)=CC=N1	sorafenib	pKi=7.66	pKi=7.66	pKi=7.66	pIC50=7.58
CCCS(=O)(=O)NC1=CC=C(F)C(C(=O)C2=CNC3=NC=C(C=C23)C2=CC=C(Cl)C=C2)=C1F	vemurafenib	pIC50=7.68	pIC50=7.68	pIC50=7.68	pIC50=7.64
CNC(=O)C1=CC(OC2=CC(F)=C(NC(=O)NC3=CC(=C(Cl)C=C3)C(F)(F)F)C=C2)=CC=N1	regorafenib	pIC50=7.55	pIC50=7.55	pIC50=7.55	pIC50=7.55
Cc1ccc(cc1Nc2ncccc2c3ncnc4[nH]cnc34)C(=O)Nc5cccc(c5)C#N	CHEMBL3352837	pIC50=7.53
CCCS(=O)(=O)Nc1ccc(F)c(c1F)n2cc(c3cncnc3)c4nc(ncc24)N(C)C5CCN(CC5)C6CC6	CHEMBL3702563	pIC50=7.54
CN(C)CCN(C)c1ncc2ncnc(Nc3cc(ccc3C)C(=O)Nc4ccc(F)c(c4)C(F)(F)F)c2n1	CHEMBL3697777	pIC50=7.54
Cc1ccc(cc1Nc2ncnc3cnc(nc23)N4CCCCC4)C(=O)NCc5ccc(cc5)C(F)(F)F	CHEMBL3697792	pIC50=7.54
CN(c1cc(ccc1C)C(=O)Nc2cc(on2)C(C)(C)C)c3ncnc4cnc(nc34)N5CCOCC5	CHEMBL3641188	pIC50=7.55
CNc1cc2nc(C)c(cc2cn1)c3cc(NC(=O)NCCC(C)(C)C)c(F)cc3C	CHEMBL3577121	pIC50=7.55
C[C@H](O)CNc1nccc(n1)c2nc([nH]c2c3cccc(NS(=O)(=O)C)c3F)C4CC4	CHEMBL3651694	pIC50=7.55
Fc1ccc(NS(=O)(=O)c2ccccc2)c(F)c1Nc3ncccc3c4ncnc5[nH]cnc45	CHEMBL3798308	pIC50=7.55
Oc1cccc(Nc2ncnc3ccc(cc23)c4cccc(O)c4)c1	CHEMBL3661242	pIC50=7.56
CCC(C)S(=O)(=O)Nc1ccc(F)c(Nc2ncccc2c3ncnc4[nH]cnc34)c1F	CHEMBL3800227	pIC50=7.57
CNc1cc2nc(C)c(cc2cn1)c3cc(NC(=O)NCCC(C)(C)C)ccc3C	CHEMBL3577118	pIC50=7.57
CNc1ncc2cc(cnc2n1)c3cc(NC(=O)NCCC(C)(C)C)c(F)cc3C	CHEMBL3577123	pIC50=7.57
COc1c(NC(=O)c2ccc(C)c(Nc3ncnc4cnc(nc34)N5CCN(C)CC5)c2)cc(cc1NS(=O)(=O)C)C(F)(F)F	CHEMBL3697857	pIC50=7.57
COc1cc(ccc1O)c2ccc3ncnc(Nc4ccc(Cl)c(O)c4)c3c2	CHEMBL3665858	pIC50=7.57
COc1ccc(NC(=O)c2ccc(C)c(c2)N(C)c3ncnc4cnc(NC5CCOC5)nc34)cc1C(F)(F)F	CHEMBL3641193	pIC50=7.57
O\N=C\c1ccc(cc1O)c2[nH]c(nc2c3ccncc3)c4ccccc4	CHEMBL200942	pKd=7.57
CCn1cc(c2ccnc3[nH]ccc23)c(n1)c4cccc(NC(=O)Nc5c(F)cccc5F)c4	CHEMBL496275	pIC50=7.59
CN(C)CCc1ccc(cc1)c2cnn3c(ccnc23)c4cccc(NC(=O)c5cccc(c5)C(F)(F)F)c4	CHEMBL1087892	pIC50=7.59
CN1CCN(CC1)c2nc(N)c3ncnc(Nc4cc(NC(=O)c5cccc(c5)C(F)(F)F)ccc4C)c3n2	CHEMBL3694046	pIC50=7.59
CN1CCN(CC1)c2ncc3ncnc(Nc4cc(ccc4C)C(=O)Nc5ccc6N(CCN7CCCC7)C(=O)C(C)(C)c6c5)c3n2	CHEMBL3697732	pIC50=7.59
CNc1nccc(CNc2ccccc2C(=O)Nc3ccc4OC(F)(F)Oc4c3)n1	CHEMBL246424	pIC50=7.59
COc1ccc(NC(=O)c2ccc(C)c(Nc3ncnc4c(N)nc(nc34)N5CCN(C)CC5)c2)cc1C(F)(F)F	CHEMBL3689901	pIC50=7.59
COc1ccc(NC(=O)c2ccc(C)c(Nc3ncnc4ccc(nc34)N5CCN(CC6CCN(C)CC6)CC5)c2)cc1C(F)(F)F	CHEMBL3659922	pIC50=7.59
Fc1ccc(NS(=O)(=O)C2CCOC2)c(F)c1Nc3ncccc3c4ncnc5[nH]cnc45	CHEMBL3798235	pIC50=7.59
Fc1ccc(NS(=O)(=O)CC2CC2)c(F)c1Nc3ncccc3c4ncnc5[nH]cnc45	CHEMBL3798570	pIC50=7.59
CC(C)Nc1nccc(n1)c2nc([nH]c2c3cc(F)cc(NS(=O)(=O)C)c3Cl)C4CC4	CHEMBL3651650	pIC50=7.6
CCN1CCN(CC1)c2cc(NC(=O)c3ccc(C)c(Nc4ncnc5cnc(nc45)N(C)CC6CCCCO6)c3)cc(c2)C(F)(F)F	CHEMBL3641035	pIC50=7.6
COCCN1CCN(CC1)c2ncc3ncnc(Nc4cc(ccc4C)C(=O)Nc5cc(N6CCN(C)CC6)c(F)c(c5)C(F)(F)F)c3n2	CHEMBL3641116	pIC50=7.6
COc1c(NC(=O)c2ccc(C)c(Nc3ncnc4ccc(nc34)N5CC[C@@H](F)C5)c2)cc(cc1NS(=O)(=O)C)C(C)(C)C	CHEMBL3659929	pIC50=7.6
Cc1ccc(NC(=O)c2cccc(c2)C(F)(F)F)cc1Nc3ncnc4c(N)nc(nc34)N5CCCN(CC5)C6CC6	CHEMBL3694055	pIC50=7.6
Cc1n[nH]c2ncc(cc12)C#Cc3c(F)ccc(NS(=O)(=O)c4cccnc4)c3F	CHEMBL3582393	pIC50=7.6
FC(F)(F)c1cccc(NC(=O)Nc2cccc(c2)c3ccnc4cc(nn34)c5ccncc5)c1	CHEMBL1091843	pIC50=7.6
NC(=O)c1sc2nc(NC3CC3)nc(c4cc(O)cc(Cl)c4)c2c1N	CHEMBL1934513	pIC50=7.6
Nc1ncc(c2cccnc2)c3scc(c4cccc(NC(=O)Nc5ccc(cc5)C(F)(F)F)c4)c13	CHEMBL2315060	pIC50=7.6
CCCS(=O)(=O)Nc1ccc(F)c(Nc2ncccc2c3ncnc4[nH]cnc34)c1F	CHEMBL3798357	pIC50=7.62
CN(C)CCCNC(=O)c1nc(c2ccc(Cl)c(O)c2)c([nH]1)c3ccncc3	CHEMBL426476	pKd=7.62
CN(C)Cc1ccc(cc1)c2cnn3c(ccnc23)c4cccc(NC(=O)c5cccc(c5)C(F)(F)F)c4	CHEMBL1087397	pIC50=7.62
CNC(=O)Nc1cc(CNc2ccccc2C(=O)Nc3ccc4OC(F)(F)Oc4c3)ccn1	CHEMBL394503	pIC50=7.62
COc1c(NC(=O)c2ccc(C)c(Nc3ncnc4ccc(nc34)N(C)C5CCOC5)c2)cc(cc1NS(=O)(=O)C)C(C)(C)C	CHEMBL3659927	pIC50=7.62
COc1ccc(cc1Nc2ncnc3cnc(nc23)N4CCCC4)C(=O)Nc5ccc(OC)c(c5)C(F)(F)F	CHEMBL3694089	pIC50=7.62
Cc1ccc(NC(=O)c2cccc(c2)C(F)(F)F)cc1Nc3ncnc4c(N)nc(nc34)N5CCN(CC5)C6CCCC6	CHEMBL3694054	pIC50=7.62
COc1cc(ccc1O)c2ccc3ncnc(Nc4ccc(F)c(O)c4)c3c2	CHEMBL3665862	pIC50=7.63
COc1c(NC(=O)c2ccc(C)c(Nc3ncnc4cnc(nc34)N(C)CCN(C)C)c2)cc(cc1NS(=O)(=O)C)C(C)(C)C	CHEMBL3697745	pIC50=7.64
COc1c(NC(=O)c2ccc(C)c(Nc3ncnc4cnc(nc34)N5CCCC5)c2)cc(cc1NS(=O)(=O)C)C(C)(C)C	CHEMBL3639966	pIC50=7.64
COc1cc(ccc1O)c2ccc3nccc(Nc4cccc(O)c4)c3c2	CHEMBL3661276	pIC50=7.64
