CCOC(=O)C1=CC=C(N)C=C1	benzocaine
CCCN1CCCC[C@H]1C(=O)NC1=C(C)C=CC=C1C	ropivacaine
CN(C)CCOC(C1=CC=CC=C1)C1=C(C)C=CC=C1	orphenadrine	pIC50=5.2007	pIC50=5.2007	pIC50=5.2007
CCCCOC1=C(N)C=CC(=C1)C(=O)OCCN(CC)CC	oxybuprocaine
CCCOC1=C(N)C=C(C=C1)C(=O)OCCN(CC)CC	proparacaine
CCN(CC)CCOC(=O)C1=CC=C(N)C=C1	procaine
CCCCOC1=CC=C(C=C1)C(=O)CCN1CCCCC1	dyclonine
CCCCOC1=NC2=CC=CC=C2C(=C1)C(=O)NCCN(CC)CC	cinchocaine
CCN(CC)CCOC(=O)C1=C(Cl)C=C(N)C=C1	chloroprocaine
CCN(CC)CC(=O)NC1=C(C)C=CC=C1C	lidocaine	pIC50=4.0	pIC50=4.0	pIC50=4.0
CC(N)COC1=C(C)C=CC=C1C	mexiletine	pIC50=4.25	pIC50=4.25	pIC50=4.25
CCN1C(=O)NC(C1=O)C1=CC=CC=C1	ethotoin
NC1=NC(N)=C(C=C1)\N=N\C1=CC=CC=C1	phenazopyridine
CCC1(NC(=O)N(C)C1=O)C1=CC=CC=C1	mephenytoin
NC(=O)C1=CN(CC2=C(F)C=CC=C2F)N=N1	rufinamide
NC1=NN=C(C(N)=N1)C1=C(Cl)C(Cl)=CC=C1	lamotrigine	pIC50=4.02	pIC50=4.02	pIC50=4.02
CC(=O)O[C@H]1CC2=C(C=CC=C2)N(C(N)=O)C2=CC=CC=C12	eslicarbazepine acetate
CCN(CC)CCNC(=O)C1=CC=C(N)C=C1	procainamide
CC(N)C(=O)NC1=C(C)C=CC=C1C	tocainide
CC(C)CCC[C@@](C)(O)[C@H]1CC[C@H]2[C@@H]3C[C@H](O[C@@H]4O[C@H](C)[C@@H](O)[C@H](O[C@@H]5OC[C@@H](O[C@@H]6O[C@H](C)[C@@H](O[C@@H]7OC[C@H](O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O[C@@H]8O[C@H](C)[C@H](O)[C@H](O)[C@H]8O)[C@H](O)[C@H]5O[C@@H]9O[C@H](C)[C@@H](O)[C@H](O)[C@H]9O)[C@H]4O)[C@H]%10C[C@H](CC[C@]%10(C)C3=CC[C@]12C)OS(=O)(=O)O	CHEMBL1162028	pIC50=5.05
COc1ccc(Cl)cc1c2ccc(NC(=O)c3ccnn3C)nc2N	CHEMBL3589905	pIC50=5.13
Cn1nncc1C(=O)Nc2ccc(c(N)n2)c3ccccc3OC(F)(F)F	CHEMBL3589909	pIC50=5.16
FC(F)(F)Oc1cccc(c1)C(=O)NCc2noc(n2)c3c4ccccc4nn3CCn5ccnc5	CHEMBL3236329	pIC50=5.2
Cn1nccc1C(=O)Nc2ccc(c(N)n2)c3ccccc3Cl	CHEMBL3589906	pIC50=5.31
COc1ccc(Cl)c(c1)c2ccc(NC(=O)C(C)C)nc2N	CHEMBL3589907	pIC50=5.4
Nc1nc2cc(ccc2[nH]1)c3cc(Cl)ccc3Oc4cc(F)c(cc4F)S(=O)(=O)Nc5ncns5	CHEMBL3617063	pIC50=5.42
Nc1nc(NC(=O)c2ccccc2)ccc1c3ccccc3OC(F)(F)F	CHEMBL3589910	pIC50=5.5
CC1(CC1)C(=O)N[C@H](Cc2ccccc2C(F)(F)F)C(=O)NCc3nc4cccnc4n3C5(CC5)c6ccccc6	CHEMBL400129	pIC50=5.53
CNC(=O)c1ccc(c(N)n1)c2cc(Cl)cc(Cl)c2Cl	CHEMBL3589894	pIC50=5.59
Cn1nccc1C(=O)Nc2ccc(c(N)n2)c3ccccc3OC(F)(F)F	CHEMBL3589908	pIC50=5.62
Fc1cccc(F)c1C[C@@H](NC(=O)C2(CC2)C(F)(F)F)C(=O)NCc3nc4cccnc4n3C5(CC5)c6ccccc6	CHEMBL404229	pIC50=5.73
FC(F)(F)c1ccccc1C[C@@H](NC(=O)C2(CC2)C(F)(F)F)C(=O)NCc3nc4cccnc4n3C5(CC5)c6ccccc6	CHEMBL400261	pIC50=5.75
CC(C)(C)C(=O)N[C@H](Cc1ccccc1C(F)(F)F)C(=O)NCc2nc3cccnc3n2Cc4ccccc4	CHEMBL252037	pIC50=5.84
CC(C)(C)OC(=O)N[C@H](Cc1ccc(F)cc1C(F)(F)F)C(=O)NCc2nc3cccnc3n2C4(CC4)c5ccccc5	CHEMBL404623	pIC50=5.91
C[C@@H](NC(=O)c1oc(cc1)c2ccc(Cl)cc2)C(=O)N3CCN(CCCOc4ccc(cc4)C(=O)C5CC5)CC3	CHEMBL251241	pIC50=6.0
CC(C)(C)OC(=O)N[C@H](Cc1ccccc1OC(F)(F)F)C(=O)NCc2nc3cccnc3n2C4(CC4)c5ccccc5	CHEMBL253660	pIC50=6.01
Cn1nccc1C(=O)Nc2ccc(c(N)n2)c3cc(Cl)ccc3Cl	CHEMBL3589902	pIC50=6.04
NC(=O)c1cc(C(=O)N)n(n1)c2cccc(c2)c3ccccc3C(F)(F)F	CHEMBL1631093	pIC50=6.04
CC(C)(C)OC(=O)N[C@H](Cc1ccccc1F)C(=O)NCc2nc3cccnc3n2C4(CC4)c5ccccc5	CHEMBL252437	pIC50=6.06
FC(F)(F)Oc1ccccc1C(=O)N[C@H](Cc2ccccc2C(F)(F)F)C(=O)NCc3nc4cccnc4n3C5(CC5)c6ccccc6	CHEMBL400262	pIC50=6.08
CC(C)(C)OC(=O)N[C@H](Cc1cccc(F)c1C(F)(F)F)C(=O)NCc2nc3cccnc3n2C4(CC4)c5ccccc5	CHEMBL252240	pIC50=6.09
CC(C)(C)OC(=O)N[C@H](Cc1ccccc1C(F)(F)F)C(=O)NCc2nc3cccnc3n2C4(CC4)c5ccccc5	CHEMBL254918	pIC50=6.1
NC(=O)c1cc(C(=O)N)n(n1)c2cccc(c2)c3c(F)cccc3OC(F)(F)F	CHEMBL1631098	pIC50=6.1
Cc1cc(C)cc(NC(=O)c2ccnc(c2)c3ccc(OC(F)(F)F)cc3)c1	CHEMBL1271308	pIC50=6.11
Cn1nccc1C(=O)Nc2ccc(c(N)n2)c3cc(Cl)cc(Cl)c3Cl	CHEMBL3589900	pIC50=6.13
CC(C)(C)OC(=O)N[C@H](Cc1c(F)cccc1F)C(=O)NCc2nc3cccnc3n2C4(CC4)c5ccccc5	CHEMBL400642	pIC50=6.16
COc1ccc(Cl)c(c1)c2ccc(NC(=O)c3ccnn3C)nc2N	CHEMBL3589904	pIC50=6.16
CC(C)(C)C(=O)ON[C@H](Cc1ccccc1)C(=O)N[C@@H]2CCc3ccccc3N(CC(F)(F)F)C2=O	CHEMBL2324352	pIC50=6.17
Cc1nocc1C(=O)Nc2ccc(c(N)n2)c3cc(Cl)cc(Cl)c3Cl	CHEMBL3589901	pIC50=6.17
NC(=O)c1cc(C(=O)N)n(n1)c2cccc(c2)c3ccccc3OC(F)(F)F	CHEMBL1631088	pIC50=6.26
Cc1nocc1C(=O)Nc2ccc(c(N)n2)c3ccccc3OC(F)(F)F	CHEMBL2324355	pIC50=6.28
CC(C)(C)OC(=O)N[C@H](Cc1ccccc1Cl)C(=O)NCc2nc3cccnc3n2C4(CC4)c5ccccc5	CHEMBL404621	pIC50=6.3
COc1ccc(Cl)c(c1)c2ccc(NC(=O)c3conc3C)nc2N	CHEMBL3589903	pIC50=6.3
Cc1cc(C)cc(NC(=O)c2onc(n2)c3ccc(OC(F)(F)F)cc3)c1	CHEMBL1270998	pIC50=6.33
CC(C)(C)OC(=O)N[C@H](Cc1c(F)ccc(F)c1F)C(=O)NCc2nc3cccnc3n2C4(CC4)c5ccccc5	CHEMBL252836	pIC50=6.35
Fc1ccc(F)c(C[C@@H](NC(=O)C2(CC2)C(F)(F)F)C(=O)NCc3nc4cccnc4n3C5(CC5)c6ccccc6)c1F	CHEMBL403809	pIC50=6.35
Cc1nocc1C(=O)Nc2cnc(c(N)n2)c3cc(Cl)cc(Cl)c3Cl	CHEMBL3617058	pIC50=6.38
CC(C)(C)CC(=O)N[C@H](Cc1ccccc1C(F)(F)F)C(=O)NCc2nc3cccnc3n2Cc4ccccc4	CHEMBL252038	pIC50=6.44
FC(F)(F)c1ccccc1C[C@@H](NC(=O)c2ccccc2C(F)(F)F)C(=O)NCc3nc4cccnc4n3Cc5ccccc5	CHEMBL400260	pIC50=6.44
Clc1ccc(cc1)c2cncc(n2)C(=O)NCc3ccncc3N4CCOCC4	CHEMBL1277792	pIC50=6.5
Clc1ccc(cc1)c2oc(cc2)C(=O)N3CCN(CC3)C4CCCCC4	CHEMBL482676	pIC50=6.52
NC(=O)c1cc(C(=O)N)n(n1)c2cccc(c2)c3cccc(c3OCC(F)(F)C(F)(F)F)C(F)(F)F	CHEMBL1631104	pIC50=6.52
CC(C)(C)OC(=O)N[C@H](Cc1cc(F)ccc1Cl)C(=O)NCc2nc3cccnc3n2C4(CC4)c5ccccc5	CHEMBL252837	pIC50=6.53
Cc1cc(C)cc(NC(=O)c2oc(nc2)c3ccc(OC(F)(F)F)cc3)c1	CHEMBL1270898	pIC50=6.55
Clc1ccc(cc1)c2oc(cc2)C(=O)N3CCNCC3	CHEMBL521211	pIC50=6.55
CC(C)(C)OC(=O)N[C@H](Cc1ccccc1C(F)(F)F)C(=O)NCc2nc3cccnc3n2Cc4ccccc4	CHEMBL254497	pIC50=6.57
FC(F)(F)Oc1ccccc1C(=O)N[C@H](Cc2ccccc2C(F)(F)F)C(=O)NCc3nc4cccnc4n3Cc5ccccc5	CHEMBL253659	pIC50=6.64
NC(=O)c1cc(C(=O)N)n(n1)c2cccc(c2)c3cccc(OC(F)(F)F)c3OCC(F)(F)C(F)(F)F	CHEMBL1631103	pIC50=6.69
NC1(Cc2nc(c[nH]2)c3ccc(OC(F)(F)F)cc3)CCCOC1	CHEMBL3341975	pIC50=6.72
CN(Cc1ccc(cc1)c2ccccc2S(=O)(=O)N)C(=O)[C@@H]3CCC[C@H]3C(=O)NCc4ccc(OC(F)(F)F)cc4	CHEMBL205412	pKi=6.75
Cc1cc(C)cc(NC(=O)c2coc(n2)c3ccc(OC(F)(F)F)cc3)c1	CHEMBL1270899	pIC50=6.75
