ON1C(=O)Nc2ncccc12	CHEMBL2152718	pIC50=6.0
OC1=CC(=CNC1=O)Cl	CHEMBL2338783	pIC50=6.03
OC1=Cc2ccccc2OC1=O	CHEMBL150372	pIC50=6.03
Cc1cc(n[nH]1)C(=O)O	CHEMBL391574	pIC50=6.04
OC1=COC(=CC1=O)COc2cccc3ccccc23	CHEMBL2397744	pIC50=6.05
OC1=COC(=CC1=O)COc2ccccc2	CHEMBL2397739	pIC50=6.05
ON1C(=O)Nc2cc(F)ccc12	CHEMBL2152735	pIC50=6.05
OC1=NN(CC(=O)c2ccccc2)C(=O)NC1=O	CHEMBL3613949	pIC50=6.07
OC1=COC(=CC1=O)COc2ccc(F)cc2	CHEMBL2397740	pIC50=6.1
OC1=COC(=CC1=O)COc2ccc3ccccc3c2	CHEMBL2397745	pIC50=6.1
ON1C(=O)Nc2c3OCCc3ccc12	CHEMBL2152732	pIC50=6.1
OC1=Cc2ccncc2NC1=O	CHEMBL510126	pIC50=6.11
OC1=NN(CCc2ccccn2)C(=O)NC1=O	CHEMBL3613923	pIC50=6.12
OC(=O)c1cc2ccccc2[nH]1	CHEMBL278390	pIC50=6.13
OC(=O)c1cc(CCc2ccc(Cl)cc2)c[nH]1	CHEMBL453239	pKd=6.16
OC1=COC(=CC1=O)COc2ccc(Cl)cc2	CHEMBL2397741	pIC50=6.16
OC1=NC(=NNC1=O)SCc2cccc(c2)c3ccccc3	CHEMBL3787629	pIC50=6.16
CC(C)(C)CCC1=NNC(=O)C(=C1)O	CHEMBL2338793	pIC50=6.17
OC1=NC(=NNC1=O)SCC2CCCCC2	CHEMBL3787311	pIC50=6.22
ON1C(=O)Nc2ccccc12	CHEMBL2152720	pIC50=6.22
OC1=CC(=NNC1=O)\C=C\c2ccc(Cl)cc2	CHEMBL2338791	pIC50=6.24
OC(=O)c1cc2scnc2[nH]1	CHEMBL496304	pIC50=6.29
OC1=COC(=CC1=O)CCc2ccccc2	CHEMBL2397822	pIC50=6.3
OC1=COC(=CC1=O)COc2ccc(Cl)c(Cl)c2	CHEMBL2397742	pIC50=6.3
Oc1noc2cc(Cl)ccc12	CHEMBL445990	pIC50=6.3
OC(CN1N=C(O)C(=O)NC1=O)c2ccccc2	CHEMBL3613950	pIC50=6.33
OC1=NN(CCn2cnc3ccccc23)C(=O)NC1=O	CHEMBL3613925	pIC50=6.36
OC1=NN(CC(F)(F)c2ccccc2)C(=O)NC1=O	CHEMBL3613948	pIC50=6.4
ON1C(=O)Nc2ccc(F)cc12	CHEMBL2152740	pIC50=6.4
Cc1c(F)cnc2NC(=O)C(=O)Nc12	CHEMBL3805642	pIC50=6.47
OC(=O)c1oc(Cl)c(Cl)c1	CHEMBL511101	pIC50=6.47
OC1=NN(CCn2cccn2)C(=O)NC1=O	CHEMBL3613924	pIC50=6.48
OC1=NN(CCn2ccc3cccnc23)C(=O)NC1=O	CHEMBL3613926	pIC50=6.51
CC(C)(C)c1ccc(CSC2=NNC(=O)C(=N2)O)cc1	CHEMBL3787187	pIC50=6.52
OC1=CC(=NNC1=O)C2CCCCC2	CHEMBL2338792	pIC50=6.52
OC1=COC(=CC1=O)CSc2ccc(F)cc2	CHEMBL2158321	pIC50=6.52
COc1ccccc1CCN2N=C(O)C(=O)NC2=O	CHEMBL3613938	pIC50=6.57
OC(=O)c1cc2ccsc2[nH]1	CHEMBL496305	pIC50=6.57
CC(C)CCN1N=C(O)C(=O)NC1=O	CHEMBL3613914	pIC50=6.59
OC1=CC(=NNC1=O)CCc2cc(cc(c2)C(F)(F)F)C(F)(F)F	CHEMBL2338804	pIC50=6.6
OC(=O)c1cc2sccc2[nH]1	CHEMBL507614	pIC50=6.61
