COC1=CC2=C(C=C1C(N)=O)C(OC1=CC=C(NC(=O)NC3CC3)C(Cl)=C1)=CC=N2	lenvatinib	pIC50=7.65757751	pIC50=7.65757751	pIC50=7.65757751
COC(=O)c1ccc2\C(=C(\Nc3ccc(cc3)N(C)C(=O)CN4CCN(C)CC4)/c5ccccc5)\C(=O)Nc2c1	nintedanib	pIC50=6.98296642	pIC50=6.98296642	pIC50=6.98296642
CCN(CC)CCNC(=O)c1c(C)[nH]c(\C=C\2/C(=O)Nc3ccc(F)cc23)c1C	sunitinib	pIC50=7.22914791	pIC50=7.22914791	pIC50=7.22914791	pKi=8.7
CN(C1=CC2=NN(C)C(C)=C2C=C1)C1=NC(NC2=CC(=C(C)C=C2)S(N)(=O)=O)=NC=C1	pazopanib	pKd=7.85	pKd=7.85	pKd=7.85	pKd=7.85
CNC(=O)C1=CC(OC2=CC=C(NC(=O)NC3=CC=C(Cl)C(=C3)C(F)(F)F)C=C2)=CC=N1	sorafenib	pKd=7.51	pKd=7.51	pKd=7.51	pIC50=7.75
CNC(=O)C1=C(SC2=CC=C3C(NN=C3\C=C\C3=CC=CC=N3)=C2)C=CC=C1	axitinib	pKd=8.24	pKd=8.24	pKd=8.24	pKd=8.24
CCN1CCC(CC1)Nc2ccc3NC(=O)C(=C(c4ccccc4F)c5nc(C)c[nH]5)c3c2	CHEMBL2087169	pIC50=7.54
C1CCN(CC1)C2CCN(CC2)c3ccc4[nH]c(nc4c3)c5[nH]nc6ccc(Oc7ccccc7)cc56	CHEMBL211662	pIC50=7.55
C1CCN(CC1)C2CCN(CC2)c3ccc4[nH]c(nc4c3)c5[nH]nc6ccccc56	CHEMBL378299	pIC50=7.55
CCCCn1c2ccc(cc2c3c4CNC(=O)c4c5c(CCc6nn(C)cc56)c13)C7CCCCO7	CHEMBL1082829	pIC50=7.55
COC(=O)c1ccc2\C(=C(\Nc3ccc(cc3)N(CCCN(C)C)C(=O)C)/c4ccccc4)\C(=O)Nc2c1	CHEMBL525909	pIC50=7.55
Cc1[nH]c(\C=C\2/C(=O)Nc3ccccc23)c(C)c1CCC(=O)O	CHEMBL274654	pIC50=7.55
NC1=C(C(=O)Nc2ccccc12)c3nc4ccccc4[nH]3	CHEMBL383417	pIC50=7.55
CC(C)(CO)NCc1ccc(cc1)c2cc3ncnc(Nc4ccc5[nH]ccc5c4)c3s2	CHEMBL308498	pIC50=7.6
CCN1CCC(CC1)Nc2ccc3NC(=O)C(=C(c4cccc(F)c4)c5ncc[nH]5)c3c2	CHEMBL2086759	pIC50=7.6
CN(Cc1ccc(s1)c2[nH]nc3c2Cc4ccc(CN5CCN(C)CC5)cc34)C(=O)Nc6ccc(OC(F)(F)F)cc6	CHEMBL212932	pIC50=7.6
Cl.COc1cc2c(Nc3cc(O)c(C)cc3F)ncnc2cc1OCC4CCN(C)CC4	CHEMBL1202473	pIC50=7.6
CC(=O)NCCNCc1ccc(cc1)c2cc3nccc(Nc4ccc5[nH]ccc5c4)c3s2	CHEMBL418909	pIC50=7.62
COc1ccc(c2ccc(NC(=O)Nc3cc(C)ccc3F)cc2)c4c(N)noc14	CHEMBL270084	pIC50=7.62
Nc1ncnc2occ(c3ccc(NC(=O)Nc4ccc5ccccc5c4)cc3)c12	CHEMBL436806	pIC50=7.62
CSc1cccc(Nc2ncc3C=C(C(=O)N(C)c3n2)c4c(Cl)cccc4Cl)c1	CHEMBL386051	pKd=7.64
