COC1=C(C)C2=C(C(=O)OC2)C(O)=C1C\C=C(/C)CCC(=O)OCCN1CCOCC1	mycophenolate mofetil	pKi=8.1549015	pKi=8.1549015	pKi=8.1549015
NC1=NC2=C(NC=N2)C(=S)N1	thioguanine
COC1=C(C\C=C(/C)CCC(O)=O)C(O)=C2C(=O)OCC2=C1C	mycophenolic acid	pIC50=4.7	pIC50=4.7	pIC50=4.7	pIC50=6.2
O[C@H]1[C@H](COP(=O)(O)O)OC([C@H]1O)n2cnc3c(O)nc(C=C)nc23	CHEMBL607644	pIC50=6.0
COc1c(Br)c2COC(=O)c2c(O)c1C\C=C(/C)\CCC(=O)O	CHEMBL134011	pIC50=6.01
COc1cc(NC(=O)Cc2ccccc2)ccc1c3ocnc3	CHEMBL419143	pIC50=6.01
COC(=O)[C@@H](NC(=O)CC\C(=C\Cc1c(O)c2C(=O)OCc2c(C)c1OC)\C)C(C)C	CHEMBL2437261	pKi=6.02
COC(=O)[C@@H]1C[C@@]2(CN1C(=O)OC(C)(C)C)Nc3cc(OC)c(cc3C(=O)N2C)c4ocnc4	CHEMBL197532	pIC50=6.02
COc1c(C)c(C)c(C)c(O)c1C\C=C(/C)\CCC(=O)O	CHEMBL132428	pIC50=6.02
COc1ccccc1\C=C/C(=O)Nc2ccc(c(OC)c2)c3ocnc3	CHEMBL99233	pIC50=6.02
NC(=O)c1cccc(c1)C2OC(COP(=O)(O)CP(=O)(O)OC[C@@H]3OC([C@@H](O)[C@H]3O)n4cnc5c(N)ncnc45)[C@@H](O)[C@H]2O	CHEMBL608194	pKi=6.02
COc1cc(NC(=O)c2cccn2C)ccc1c3ocnc3	CHEMBL95382	pIC50=6.05
COc1cc(NC(=O)c2ccc(s2)c3ccccn3)ccc1c4ocnc4	CHEMBL95976	pIC50=6.06
COc1cc(NC(=O)c2cccs2)ccc1c3ocnc3	CHEMBL97096	pIC50=6.09
COc1cc2NC(=S)N(CC(C)(C)C)C(=O)c2cc1c3ocnc3	CHEMBL178520	pIC50=6.09
Nc1ccc2cnccc2c1C=C	CHEMBL26155	pIC50=6.09
COc1c(C)c(C)c(Br)cc1C\C=C(/C)\CCC(=O)O	CHEMBL134156	pIC50=6.1
COc1c(C)c2COC(=O)c2c(O)c1C\C=C(/C)\CCCO	CHEMBL157617	pIC50=6.1
COc1cc(NC(=N)NC(=O)c2ccccc2)ccc1c3ocnc3	CHEMBL329714	pIC50=6.1
NC(=O)c1cccc(c1)[C@@H]2O[C@H](COP(=O)(O)CP(=O)(O)OC[C@@H]3O[C@@H]([C@@H](O)[C@H]3O)n4cnc5c(N)ncnc45)[C@@H](O)[C@H]2O	CHEMBL3144007	pIC50=6.1
NC(=O)c1csc(n1)[C@@H]2O[C@H](COP(=O)(O)C(F)(F)P(=O)(O)OC[C@@H]3O[C@@H]([C@H](F)[C@H]3O)n4cnc5c(N)ncnc45)[C@@H](O)[C@H]2O	CHEMBL3144061	pIC50=6.1
COc1c(C)c2COC(=O)c2c(O)c1CCOP(=O)(O)CCP(=O)(O)OCCc3c(O)c4C(=O)OCc4c(C)c3OC	CHEMBL1683747	pKi=6.11
