CCC(=O)NS(=O)(=O)C1=CC=C(C=C1)C1=C(C)ON=C1C1=CC=CC=C1	parecoxib	pIC50=8.30103016	pIC50=8.30103016	pIC50=8.30103016
OC(=O)COC(=O)CC1=C(NC2=C(Cl)C=CC=C2Cl)C=CC=C1	aceclofenac
NC1=CC(O)=C(C=C1)C(O)=O	aminosalicylic acid
Nc1ccc(O)c(c1)C(=O)O	mesalazine
COC1=CC=C2C=C(CCC(C)=O)C=CC2=C1	nabumetone
COC1=CC=C2C=C(C=CC2=C1)[C@H](C)C(O)=O	naproxen	pIC50=5.6	pIC50=5.6	pIC50=5.6
CC(C(O)=O)C1=CC=C(CC2CCCC2=O)C=C1	loxoprofen	pIC50=5.0	pIC50=5.0	pIC50=5.0
C[C@H](C(O)=O)C1=CC=CC(=C1)C(=O)C1=CC=CC=C1	dexketoprofen	pIC50=7.57	pIC50=7.57	pIC50=7.57	pIC50=6.64
CC(C(O)=O)C1=CC2=C(C=C1)C1=CC(Cl)=CC=C1N2	carprofen	pIC50=7.0	pIC50=7.0	pIC50=7.0	pIC50=6.99
CCC1=CC=CC2=C1NC1=C2CCOC1(CC)CC(O)=O	etodolac	pIC50=5.7	pIC50=5.7	pIC50=5.7	pIC50=6.25
Cc1ccc(Nc2c(F)cccc2Cl)c(CC(=O)O)c1	lumiracoxib	pKi=6.49	pKi=6.49	pKi=6.49	pKi=6.5
OC(=O)C1=CC(=CC=C1O)N=NC1=CC(C(O)=O)=C(O)C=C1	olsalazine
CCCCC1C(=O)N(N(C1=O)C1=CC=C(O)C=C1)C1=CC=CC=C1	oxyphenbutazone
Cc1onc(c2ccccc2)c1c3ccc(cc3)S(=O)(=O)N	valdecoxib	pIC50=8.3	pIC50=8.3	pIC50=8.3	pIC50=6.18
CN1C(CC(O)=O)=CC=C1C(=O)C1=CC=C(C)C=C1	tolmetin	pIC50=6.84	pIC50=6.84	pIC50=6.84
CC(C(O)=O)C1=CC=C(C=C1)C(=O)C1=CC=CS1	suprofen	pIC50=5.06	pIC50=5.06	pIC50=5.06
C[S+]([O-])c1ccc(\C=C/2\C(=C(CC(=O)O)c3cc(F)ccc23)C)cc1	sulindac	pIC50=4.25	pIC50=4.25	pIC50=4.25
CS(=O)(=O)C1=CC=C(C=C1)C1=C(C(=O)OC1)C1=CC=CC=C1	rofecoxib	pIC50=6.51	pIC50=6.51	pIC50=6.51	pIC50=6.12
CN1C(C(=O)NC2=CC=CC=N2)=C(O)C2=CC=CC=C2S1(=O)=O	piroxicam	pIC50=4.7	pIC50=4.7	pIC50=4.7
OC(=O)CCC1=NC(=C(O1)C1=CC=CC=C1)C1=CC=CC=C1	oxaprozin	pIC50=4.44000006	pIC50=4.44000006	pIC50=4.44000006
Cc1cccc(Nc2ccccc2C(=O)O)c1C	mefenamic acid	pIC50=6.83	pIC50=6.83	pIC50=6.83	pIC50=6.22
Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl	meclofenamic acid	pIC50=6.7	pIC50=6.7	pIC50=6.7	pIC50=6.16
OC(=O)C1CCN2C1=CC=C2C(=O)C1=CC=CC=C1	ketorolac	pIC50=6.9	pIC50=6.9	pIC50=6.9	pIC50=6.37
CC(C(O)=O)C1=CC=CC(=C1)C(=O)C1=CC=CC=C1	ketoprofen	pIC50=6.62	pIC50=6.62	pIC50=6.62	pIC50=6.11
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c3ccc(Cl)cc3	indomethacin	pIC50=6.33	pIC50=6.33	pIC50=6.33	pIC50=6.02
CC(C)CC1=CC=C(C=C1)C(C)C(O)=O	ibuprofen	pIC50=5.14	pIC50=5.14	pIC50=5.14	pIC50=7.0
CC(C(O)=O)C1=CC(F)=C(C=C1)C1=CC=CC=C1	flurbiprofen	pIC50=8.39	pIC50=8.39	pIC50=8.39	pIC50=6.45
CC(C(O)=O)C1=CC=CC(OC2=CC=CC=C2)=C1	fenoprofen	pIC50=5.23	pIC50=5.23	pIC50=5.23
CC1=NC=C(C=C1)C1=C(C=C(Cl)C=N1)C1=CC=C(C=C1)S(C)(=O)=O	etoricoxib	pIC50=6.1	pIC50=6.1	pIC50=6.1	pIC50=6.09
OC(=O)c1cc(ccc1O)c2ccc(F)cc2F	diflunisal	pIC50=5.09	pIC50=5.09	pIC50=5.09
OC(=O)CC1=C(NC2=C(Cl)C=CC=C2Cl)C=CC=C1	diclofenac	pIC50=7.7	pIC50=7.7	pIC50=7.7	pIC50=6.2
Cc1ccc(cc1)c2cc(nn2c3ccc(cc3)S(=O)(=O)N)C(F)(F)F	celecoxib	pIC50=7.24	pIC50=7.24	pIC50=7.24	pIC50=6.0
NC1=C(C=CC=C1CC(O)=O)C(=O)C1=CC=C(Br)C=C1	bromfenac	pIC50=8.4	pIC50=8.4	pIC50=8.4
OC(=O)CCNC(=O)C1=CC=C(C=C1)\N=N\C1=CC=C(O)C(=C1)C(O)=O	balsalazide
NC(=O)CC1=C(N)C(=CC=C1)C(=O)C1=CC=CC=C1	nepafenac	pIC50=6.82	pIC50=6.82	pIC50=6.82
CC(=O)OC1=CC=CC=C1C(O)=O	acetylsalicylic acid	pIC50=5.12	pIC50=5.12	pIC50=5.12
CC(=O)NC1=CC=C(O)C=C1	paracetamol	pIC50=4.31	pIC50=4.31	pIC50=4.31
CC(C(O)=O)C1=CC=C(S1)C(=O)C1=CC=CC=C1	tiaprofenic acid	pIC50=7.1	pIC50=7.1	pIC50=7.1
OC(=O)c1ccccc1Nc2cccc(c2)C(F)(F)F	flufenamic acid	pIC50=6.93	pIC50=6.93	pIC50=6.93	pIC50=7.7
OC(=O)CCC(=O)C1=CC=C(C=C1)C1=CC=CC=C1	fenbufen
CN1C(C(=O)NC2=NC=C(C)S2)=C(O)C2=CC=CC=C2S1(=O)=O	meloxicam	pIC50=6.8	pIC50=6.8	pIC50=6.8	pIC50=6.03
OC(=O)C1=CC(=CC=C1O)\N=N\C1=CC=C(C=C1)S(=O)(=O)NC1=CC=CC=N1	sulfasalazine
O[Bi]1OC(=O)C2=CC=CC=C2O1	bismuth subsalicylate
COC1=CC2=C(C=C1)N(C(=O)C1=CC=C(Cl)C=C1)C(C)=C2CC(=O)OCC(O)=O	acemetacin
OC(=O)CC1=CC=C(C=C1)C1=CC=CC=C1	felbinac
OCC(O)COC(=O)C1=C(NC2=CC=NC3=C(C=CC=C23)C(F)(F)F)C=CC=C1	floctafenine	pIC50=5.9586072	pIC50=5.9586072	pIC50=5.9586072
CC(C(=O)NC1=CC(C)=CC=N1)C1=CC=CC(=C1)C(=O)C1=CC=CC=C1	piketoprofen
CC(C)(O)COc1ncc(cc1c2ccc(cc2)S(=O)(=O)C)C(F)(F)F	CHEMBL49319	pIC50=6.0
CC(C)C1=C(CNC2=C(C)N(C)N(C2=O)c3ccccc3)N(C)N(C1=O)c4ccccc4	CHEMBL2105528	pIC50=6.0
CC1(C)OC(=O)C(=C1c2ccc(cc2)S(=O)(=O)C)Oc3ccncc3	CHEMBL106255	pIC50=6.0
CC1=CC(=O)C(=C(O1)c2ccc(cc2)S(=O)(=O)C)Oc3ccccc3	CHEMBL127125	pIC50=6.0
CCCCCCCCCCCCCCCc1cccc(O)c1CSc2nc3cc(OC)ccc3[nH]2	CHEMBL347705	pIC50=6.0
CCCC\C(=C(/c1ccccc1)\c2ccc(cc2)N=[N+]=[N-])\c3ccccc3	CHEMBL2283181	pIC50=6.0
CCc1csc(Sc2cc3C(=O)OCc3cc2NS(=O)(=O)C)n1	CHEMBL43461	pIC50=6.0
CN(C1CC1)C(=O)c2cc(c3OCC(C)(C)c3c2)C(C)(C)C	CHEMBL119433	pIC50=6.0
COC(=O)CNC(=O)CNC(=O)OCc1ccccc1	CHEMBL3809154	pIC50=6.0
COC(=O)c1cc(\C=C\c2cc(O)cc(O)c2)ccc1O	CHEMBL3765737	pIC50=6.0
COc1ccc(cc1)C2=C(C(=O)SS2)c3ccc(OC)cc3	CHEMBL490292	pIC50=6.0
COc1ccc2c(c1)c(CC(=O)N[C@H](CO)CCSC)c(C)n2C(=O)c3ccc(Cl)cc3	CHEMBL281379	pIC50=6.0
COc1ccc2c(c1)c(CC(=O)OCCC3CCCCC3)c(C)n2C(=O)c4ccc(Cl)cc4	CHEMBL95479	pIC50=6.0
CS(=O)(=O)Nc1cc2CCC(=O)c2cc1Nc3ccc(F)cc3F	CHEMBL146773	pIC50=6.0
CS(=O)(=O)Nc1cc2CCC(=O)c2cc1Sc3ccc(F)cc3	CHEMBL356940	pIC50=6.0
CS(=O)(=O)Nc1cc2CCC(=O)c2cc1Sc3cccs3	CHEMBL144100	pIC50=6.0
CS(=O)(=O)Nc1cc2CCC(=O)c2cc1Sc3ccncc3	CHEMBL344351	pIC50=6.0
CS(=O)(=O)Nc1ccc(cc1OC2CCCCC2)[N+](=O)[O-]	CHEMBL7162	pIC50=6.0
CS(=O)(=O)c1ccc(cc1)C2=C(C(=O)N(C2)c3cccc(Cl)c3)c4ccccc4	CHEMBL49114	pIC50=6.0
CS(=O)(=O)c1ccc(cc1)C2=C(C(=O)N(C2)c3ccccc3)c4ccc(F)c(F)c4	CHEMBL299765	pIC50=6.0
CS(=O)(=O)c1ccc(cc1)c2cc3OCOc3cc2C(=O)c4cccc(F)c4	CHEMBL153767	pIC50=6.0
CS(=O)(=O)c1ccc(cc1)c2noc(c2c3ccccc3)C(F)(F)F	CHEMBL97943	pIC50=6.0
CS(=O)(=O)c1ccc2c(Sc3ccc(F)cc3)c(C#N)[nH]c2c1	CHEMBL433585	pIC50=6.0
Cc1ccc(Cl)c(Nc2ccccc2C(=O)NCCO)c1Cl	CHEMBL146854	pIC50=6.0
Cc1ccc(Sc2cc3C(=O)CCc3cc2NS(=O)(=O)C)nc1	CHEMBL37371	pIC50=6.0
Cc1ccc(cc1)N2CC(=C(C2=O)c3ccccc3)c4ccc(cc4)S(=O)(=O)C	CHEMBL48758	pIC50=6.0
Cc1ccc(cc1)S(=O)(=O)n2cc(C(=O)C(=O)N[C@H](Cc3c[nH]c4ccccc34)C(=O)NCC(=O)O)c5ccccc25	CHEMBL3576978	pIC50=6.0
Cc1csc2nc(c3ccc(cc3)S(=O)(=O)C)c(c4ccccc4)n12	CHEMBL149167	pIC50=6.0
Clc1ccc2oc(nc2c1)N3CCC(CC3)C(=O)NC4CCCC4	CHEMBL2315877	pIC50=6.0
NS(=O)(=O)c1ccc(CCn2cc(nn2)c3ccc(F)cc3)cc1	CHEMBL2398540	pIC50=6.0
NS(=O)(=O)c1ccc(cc1)n2nc(CCNC(=O)Nc3cccc(c3)C(F)(F)F)cc2c4ccccc4	CHEMBL1766298	pIC50=6.0
NS(=O)(=O)c1ccc(cc1)n2nc(CNC(=O)Nc3cccc(c3)C(F)(F)F)cc2c4ccccc4	CHEMBL1766295	pIC50=6.0
Oc1ccc(\C=C\c2cc(O)cc(O)c2)cc1	CHEMBL165	pIC50=6.0
Oc1ccc(c2cccnc12)[N+](=O)[O-]	nitroxoline	pKi=6.0
CC1=CC(=O)C(=C(O1)c2ccc(cc2)S(=O)(=O)C)Oc3ccc(F)cc3	CHEMBL127084	pIC50=6.01
COC(=O)CC[C@H](NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)C(=O)c2cn(c3ccccc23)S(=O)(=O)c4ccc(C)cc4)C(=O)OC	CHEMBL3576983	pKi=6.01
CS(=O)(=O)c1ccc(\C=C(/c2ccccc2)\c3ccc(F)c(F)c3)cc1	CHEMBL2283173	pIC50=6.01
CS(=O)(=O)c1ccc(cc1)C2=C(C(=O)N(C2)c3ccc(cc3)C(F)(F)F)c4ccccc4	CHEMBL297177	pIC50=6.01
CS(=O)(=O)c1ccc(cc1)C2=C(Oc3ccccc3)C(=O)CC2	CHEMBL23649	pIC50=6.01
CS(=O)(=O)c1ccc(cc1)C2=NN(C(C2)c3ccccc3)c4ccc(cc4)C(=O)O	CHEMBL3734939	pIC50=6.01
CSc1ccc(cc1)C2=C3C(CCc4ccc(C)cc34)OC2=O	CHEMBL44142	pIC50=6.01
Cc1ccc(cc1)S(=O)(=O)n2cc(C(=O)C(=O)N[C@@H](Cc3cnc[nH]3)C(=O)O)c4ccccc24	CHEMBL3576984	pIC50=6.01
Cc1ccc(cc1)c2cc(CCl)nn2c3ccc(cc3)S(=O)(=O)N	CHEMBL3601278	pIC50=6.01
NS(=O)(=O)c1ccc(cc1)N2N=C(CC2c3ccc(cc3)C(F)(F)F)c4cccs4	CHEMBL3746265	pIC50=6.01
OC(=O)c1cc(ccc1O)C2=CC(=O)N(C=C2)C(F)F	CHEMBL578389	pIC50=6.01
CCCNC(=O)c1cc(c2OCC(C)(C)c2c1)C(C)(C)C	CHEMBL122065	pIC50=6.02
COc1cc(F)cc(c1)c2nc(cn2c3ccc(cc3)S(=O)(=O)C)C(F)(F)F	CHEMBL295752	pIC50=6.02
COc1ccc(cc1)n2nc(cc2c3ccc(NS(=O)(=O)C)cc3)C(F)(F)F	CHEMBL298031	pIC50=6.02
CS(=O)(=O)c1ccc(cc1)C2=C(C(=O)N(C2)c3ccc(cc3)C(F)(F)F)c4ccc(F)cc4	CHEMBL49011	pIC50=6.02
CS(=O)(=O)c1ccc(cc1)n2cc(nc2c3cncc(Br)c3)C(F)(F)F	CHEMBL320330	pIC50=6.02
CC1=C(N(C(=O)O1)c2cccc(C)c2)c3ccc(cc3)S(=O)(=O)N	CHEMBL303023	pIC50=6.03
