Nc1ccc(CC(C(=O)O)c2cn(CC#C)cn2)cn1	CHEMBL3694280	pIC50=6.06
CC(C)(CN)CCC(C(=O)O)c1c[nH]cn1	CHEMBL69883	pIC50=6.22
Nc1ccc(CC(C(=O)O)c2cn(cn2)C3CCN(C3=O)c4ccccc4)cn1	CHEMBL3694269	pIC50=6.36
CCCCn1cnc(CC(OCCN)C(=O)O)c1	CHEMBL590859	pKi=6.44
NC(=N)NCC\C=C(\CC(=O)O)/C(=O)O	CHEMBL253846	pIC50=6.44
C[C@H](CN)O[C@@H](Cc1cn(cn1)c2ccccn2)C(=O)O	CHEMBL590857	pKi=6.58
CCCn1cnc(C[C@H](OCCN)C(=O)O)c1	CHEMBL609577	pKi=6.62
C[C@H](CN)O[C@@H](Cc1cn(cn1)c2ccccc2)C(=O)O	CHEMBL601926	pKi=6.62
CCCn1cnc(C[C@H](CCCN)C(=O)O)c1	CHEMBL398110	pKi=6.69
CC(C)CCNC(=O)[C@@H](CCCCNC(=O)OCc1ccccc1)NC(=O)N[C@@H](CCCCN)C(=O)O	CHEMBL3577333	pIC50=6.72
CC(C)CCn1cnc(c1)C(CCCCN)C(=O)O	CHEMBL66508	pIC50=6.8
CCn1cnc(c1)C(C[C@H]2CC[C@H](N)C2)C(=O)O	CHEMBL302817	pIC50=6.82
Nc1ccc(CC(C(=O)O)c2c[nH]cn2)cn1	CHEMBL302067	pIC50=7.16
CC(C)(C)c1ccc(cc1)n2cnc(C[C@H](OCCN)C(=O)O)c2	CHEMBL589646	pKi=7.31
CCCNC(=O)Nc1ccc(cc1)n2cnc(c2)C(Cc3ccc(N)nc3)C(=O)O	CHEMBL3694282	pIC50=7.31
Nc1ccc(CC(C(=O)O)c2cn(CCC3CCCN(C3)C(=O)CCc4ccccc4)cn2)cn1	CHEMBL3694274	pIC50=7.42
Nc1ccc(CC(C(=O)O)c2cn(cn2)C3CCCCC3)cn1	CHEMBL3694266	pIC50=7.52
NCCO[C@@H](Cc1cn(CCC2CCCCC2)cn1)C(=O)O	CHEMBL594359	pKi=7.57
NCCO[C@@H](Cc1cn(cn1)c2ccccc2)C(=O)O	CHEMBL589645	pKi=7.57
Nc1ccc(CC(C(=O)O)c2cn(CC(=O)NC(c3ccccc3)c4ccccc4)cn2)cn1	CHEMBL3694270	pIC50=7.64
Nc1ccc(CC(C(=O)O)c2cn(CCC3CCN(CC3)C(=O)CCc4ccccc4)cn2)cn1	CHEMBL3694276	pIC50=7.68
Cc1cc(CC(C(=O)O)c2c[nH]cn2)cnc1N	CHEMBL303664	pIC50=7.7
Nc1ccc(CC(C(=O)O)c2cn(cn2)C3CCCC3)cn1	CHEMBL3694267	pIC50=7.8
Nc1ccc(CC(C(=O)O)c2cn(cn2)c3ccc(NC(=O)Nc4ccccc4)cc3)cn1	CHEMBL3694271	pIC50=7.82
Nc1ccc(CC(C(=O)O)c2cn(CC3CCCCN3C(=O)c4ccccc4)cn2)cn1	CHEMBL3694273	pIC50=7.92
Nc1ccc(CC(C(=O)O)c2cn(CCC3CCN(CC3)C(=O)C(c4ccccc4)c5ccccc5)cn2)cn1	CHEMBL3694272	pIC50=7.92
Nc1ccc(CC(C(=O)O)c2cn(CC3CCCN(C3)C(=O)C(c4ccccc4)c5ccccc5)cn2)cn1	CHEMBL3694275	pIC50=7.96
CC(C)CCCn1cnc(c1)C(Cc2ccc(N)nc2)C(=O)O	CHEMBL70177	pIC50=8.4
CC(C)CCn1cnc(c1)C(Cc2ccc(N)nc2)C(=O)O	CHEMBL68399	pIC50=8.4
CC1(C)CCC(CC1)n2cnc(c2)C(Cc3ccc(N)nc3)C(=O)O	CHEMBL3694281	pIC50=8.52
CC(C)(C)CCn1cnc(c1)C(C[C@H]2CC[C@H](N)C2)C(=O)O	CHEMBL308195	pIC50=9.0
CC(C)CCCn1cnc(c1)C(Cc2cnc(N)c(C)c2)C(=O)O	CHEMBL302054	pIC50=9.0
CC(C)CCn1cnc(c1)C(Cc2cnc(N)c(C)c2)C(=O)O	CHEMBL66512	pIC50=9.0
CC1(C)C2CCC1(C)CC2NC(=O)[C@@H](CC3CCCCC3)NC(=O)N[C@@H](CCCCN)C(=O)O	CHEMBL3577425	pIC50=9.0
