COc1ccc(cc1OC)C(=O)CSC#N	CHEMBL1527610	pIC50=6.0
CC(C)CCn1c(CN2CCC(C)CC2)nc3N(C)C(=O)N(C)C(=O)c13	CHEMBL3416555	pIC50=6.04
Cc1cc(Br)c2NC(=O)C(=O)c2c1	CHEMBL3128208	pKi=6.05
CC(C)CCn1c(CN2CCN(CC2)C(=O)c3occc3)nc4N(C)C(=O)N(C)C(=O)c14	CHEMBL1469703	pKi=6.1
Cc1cc(c(C)n1c2ccc(Cl)c(Cl)c2)c3nnc4CCCCCn34	CHEMBL3102994	pIC50=6.22
Brc1ccc2N(Cc3ccccc3)C(=O)C(=O)c2c1	CHEMBL3128210	pIC50=6.24
Clc1ccc2N(C\C=C\c3ccccc3)C(=O)C(=O)c2c1	CHEMBL3128203	pIC50=6.24
CCN(CC)c1ccc(C=O)cc1	CHEMBL3416563	pIC50=6.28
CN1C(=O)N(C)c2nc(CN3CCC(CC3)C(=O)N)n(CCCc4ccccc4)c2C1=O	CHEMBL1382328	pKi=6.62
CN1C(=O)N(C)c2nc(CN3CCN(CC3)C(=O)c4occc4)n(Cc5cccc(C)c5)c2C1=O	CHEMBL3416557	pIC50=6.62
CCOC(=O)CSC1=Nc2c(sc3ccccc23)C(=O)N1CCCN4CCCC4	CHEMBL3416562	pKi=6.64
CC(C)CCn1c(CN2CCC(CC2)C(=O)N)nc3N(C)C(=O)N(C)C(=O)c13	CHEMBL3416554	pIC50=6.68
Clc1ccc2N(CCc3ccccc3)C(=O)C(=O)c2c1	CHEMBL3128206	pIC50=7.05
O=C1N(CCc2ccccc2)c3ccccc3C1=O	CHEMBL3128205	pIC50=7.16
O=C1N(C\C=C\c2ccccc2)c3ccccc3C1=O	CHEMBL1453099	pIC50=7.16
Clc1ccc2N(Cc3ccccc3)C(=O)C(=O)c2c1	CHEMBL336693	pIC50=7.22
O=C1N(CCCc2ccccc2)c3ccccc3C1=O	CHEMBL1328547	pIC50=7.3
CCCCCN1C(=O)C(=O)c2ccccc12	CHEMBL3128209	pIC50=7.4
O=C1N(Cc2ccccc2)c3ccccc3C1=O	CHEMBL115581	pIC50=7.7
