O=C1N(c2ccccc2)c3ccccc3C1=O	CHEMBL117447	pKi=6.02
ClC1=C(Cl)C(=O)C(=O)C(=C1Cl)Cl	CHEMBL364729	pKi=6.06
Fc1cccc(F)c1C(=O)C(=O)c2c(F)cccc2F	CHEMBL242288	pKi=6.08
CCOC(=O)[C@@]1(C)CC[C@]2(C)CC[C@]3(C)C(=CC(=O)[C@@H]4[C@@]5(C)CC[C@H](OC(=O)CCC(=O)O)C(C)(C)[C@@H]5CC[C@@]34C)[C@@H]2C1	CHEMBL2151605	pIC50=6.18
OC(C(=O)c1cccc(F)c1)c2cccc(F)c2	CHEMBL396977	pKi=6.19
Brc1csc(c1)C(=O)C(=O)c2cc(Br)cs2	CHEMBL190672	pKi=6.24
FC(F)(F)c1cc(cc(c1)C(F)(F)F)C(=O)C(=O)c2cc(cc(c2)C(F)(F)F)C(F)(F)F	CHEMBL242506	pKi=6.26
CCCC(=O)C(=O)c1ccccc1	CHEMBL1812861	pKi=6.31
OC(C(=O)c1ccc(cc1)C(F)(F)F)c2ccc(cc2)C(F)(F)F	CHEMBL394807	pKi=6.4
[O-][N+](=O)c1cccc(c1)C(=O)C(=O)c2cccc(c2)[N+](=O)[O-]	CHEMBL191796	pKi=6.4
OC(C(=O)c1ccc(F)cc1F)c2ccc(F)cc2F	CHEMBL244425	pKi=6.41
Fc1c(F)c(F)c(C(=O)C(=O)c2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(F)c1F	CHEMBL195713	pKi=6.42
Fc1cc(cc(F)c1F)C(=O)C(=O)c2cc(F)c(F)c(F)c2	CHEMBL193180	pKi=6.44
Clc1ccccc1C(=O)C(=O)c2ccccc2Cl	CHEMBL365392	pKi=6.45
BrC(C(=O)C(=O)C(Br)c1ccccc1)c2ccccc2	CHEMBL1812851	pKi=6.48
CCCCCC[S+]([O-])CC(=O)C(F)(F)F	CHEMBL155396	pIC50=6.51
C[C@H]1COC2=C1C(=O)C(=O)c3c4CCCC(C)(C)c4ccc23	CHEMBL187460	pKi=6.54
BrC(C(=O)C(=O)Cc1ccccc1)c2ccccc2	CHEMBL1812852	pKi=6.57
CCCCCCC(=O)C(=O)CCCCCC	CHEMBL1812857	pKi=6.57
Fc1ccc(C(=O)C(=O)c2ccc(F)cc2F)c(F)c1	CHEMBL242287	pKi=6.57
OC(C(=O)c1cccc(F)c1F)c2cccc(F)c2F	CHEMBL244427	pKi=6.59
FC(F)(F)c1cccc(c1)C(=O)C(=O)c2cccc(c2)C(F)(F)F	CHEMBL395019	pKi=6.6
OC(C(=O)c1ccccc1F)c2ccccc2F	CHEMBL242768	pKi=6.6
Brc1ccc(s1)C(=O)C(=O)c2ccc(Br)s2	CHEMBL192592	pKi=6.63
OC(C(=O)c1cccc(c1)C(F)(F)F)c2cccc(c2)C(F)(F)F	CHEMBL244632	pKi=6.66
[O-][N+](=O)c1ccc(C(=O)C(=O)c2ccccc2)c(c1)[N+](=O)[O-]	CHEMBL365517	pKi=6.68
CCCCCC(=O)C(=O)CCCCC	CHEMBL1812856	pKi=6.71
CCCCC(=O)C(=O)CCCC	CHEMBL1812855	pKi=6.72
FC(F)(F)c1ccc(cc1)C(=O)C(=O)c2ccc(cc2)C(F)(F)F	CHEMBL242932	pKi=6.75
O=C(C(=O)c1ccccc1)c2ccccc2	CHEMBL189886	pKi=6.76
Clc1ccc(cc1)C(=O)C(=O)c2ccccc2	CHEMBL192180	pKi=6.77
Fc1ccc(cc1)C(=O)C(=O)c2ccc(F)cc2	CHEMBL192410	pKi=6.77
O=C1C(=O)c2cccc3cccc1c23	CHEMBL395653	pKi=6.77
CCCCC(=O)C(=O)c1ccccc1	CHEMBL1812862	pKi=6.78
Fc1ccc(cc1F)C(=O)C(=O)c2ccc(F)c(F)c2	CHEMBL397739	pKi=6.82
O=C(C(=O)c1ccccn1)c2ccccn2	CHEMBL373345	pKi=6.82
OC(C(=O)c1ccc(F)c(F)c1)c2ccc(F)c(F)c2	CHEMBL394557	pKi=6.82
COc1cccc(c1)C(=O)C(=O)c2cccc(OC)c2	CHEMBL435109	pKi=6.86
CCCCCCC(=O)C(=O)c1ccccc1	CHEMBL1812864	pKi=6.89
OC(C(=O)c1c(F)cccc1F)c2c(F)cccc2F	CHEMBL244426	pKi=6.92
C[C@H]1COC2=C1C(=O)C(=O)c3c2ccc4c(C)cccc34	CHEMBL227075	pKi=6.93
Clc1ccc(cc1)C(=O)C(=O)c2ccc(Cl)cc2	CHEMBL192139	pKi=6.98
CCCCCC[Se]CC(=O)C(F)(F)F	CHEMBL153177	pIC50=7.0
OC(C(=O)c1cc(F)cc(F)c1F)c2cc(F)cc(F)c2F	CHEMBL244630	pKi=7.0
CCCCCC(=O)C(=O)c1ccccc1	CHEMBL1812863	pKi=7.01
Cc1ccc(cc1C)C(=O)C(=O)c2ccccc2	CHEMBL193140	pKi=7.04
O=C(C(=O)c1ccc2ccccc2c1)c3ccc4ccccc4c3	CHEMBL189162	pKi=7.07
CC(C)C1=Cc2ccc3c(CCCC3(C)C)c2C(=O)C1=O	CHEMBL45830	pKi=7.08
O=C(C1CCCCC1)C(=O)C2CCCCC2	CHEMBL235287	pKi=7.14
Oc1ccc(Br)cc1C(=O)C(=O)c2cc(Br)ccc2O	CHEMBL366205	pKi=7.14
COc1ccc(cc1)C(=O)C(=O)c2ccc(OC)cc2	CHEMBL191513	pKi=7.15
OC(=O)c1ccc(cc1)C(=O)C(=O)c2ccccc2	CHEMBL370059	pKi=7.15
OC(C(=O)c1cc(F)cc(F)c1)c2cc(F)cc(F)c2	CHEMBL437373	pKi=7.15
Cc1coc2c3ccc4c(CCCC4(C)C)c3C(=O)C(=O)c12	CHEMBL187266	pKi=7.16
CCCCCCCC(=O)C(=O)CCCCCCC	CHEMBL1812858	pKi=7.18
Fc1ccc(F)c(c1)C(=O)C(=O)c2cc(F)ccc2F	CHEMBL242721	pKi=7.21
Cc1ccc(cc1)C(=O)C(=O)c2ccc(C)cc2	CHEMBL192625	pKi=7.22
ClC1=C(Cl)C(=O)C(=C(Cl)C1=O)Cl	CHEMBL192627	pKi=7.24
Fc1ccccc1C(=O)C(=O)c2ccccc2F	CHEMBL244633	pKi=7.25
OC(C(=O)c1cc(F)ccc1F)c2cc(F)ccc2F	CHEMBL244428	pKi=7.26
O=C1C(=O)c2ccccc2c3ccccc13	CHEMBL51931	pKi=7.28
CCCCCCOCC(=O)C(F)(F)F	CHEMBL421992	pIC50=7.32
CCCCCCS(=O)(=O)CC(=O)C(F)(F)F	CHEMBL155621	pIC50=7.33
CCOC(=O)[C@@]1(C)CC[C@]2(C)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](OC(=O)CCC(=O)O)C(C)(C)[C@@H]5CC[C@@]34C)[C@@H]2C1	CHEMBL3774603	pKi=7.38
Fc1cc(F)c(F)c(c1)C(=O)C(=O)c2c(F)ccc(F)c2F	CHEMBL242722	pKi=7.39
O=C(C(=O)c1ccc(cc1)C(=O)C(=O)c2ccccc2)c3ccccc3	CHEMBL362996	pKi=7.41
CCCCCCCCCCC(=O)C(F)(F)F	CHEMBL86668	pIC50=7.44
Cc1ccc(cc1[N+](=O)[O-])C(=O)C(=O)c2ccccc2	CHEMBL191847	pKi=7.47
Cc1ccc(cc1)C(=O)C(=O)c2ccccc2	CHEMBL371858	pKi=7.48
CCCCCCCC(F)(F)C(=O)C(F)(F)F	CHEMBL153015	pIC50=7.49
Clc1ccc(CN2C(=O)C(=O)c3ccccc23)cc1	CHEMBL376291	pKi=7.5
Fc1cc(F)c(F)c(c1)C(=O)C(=O)c2cc(F)cc(F)c2F	CHEMBL242930	pKi=7.5
Fc1cc(F)cc(c1)C(=O)C(=O)c2cc(F)cc(F)c2	CHEMBL193229	pKi=7.51
[O-][N+](=O)c1ccc(cc1)C(=O)C(=O)c2ccccc2	CHEMBL192589	pKi=7.51
CCCCCCCCS(=O)(=O)CC(=O)C(F)(F)F	CHEMBL273139	pIC50=7.59
Fc1cccc(c1)C(=O)C(=O)c2cccc(F)c2	CHEMBL242067	pKi=7.59
OC(C(=O)c1ccc(F)c(F)c1F)c2ccc(F)c(F)c2F	CHEMBL244631	pKi=7.59
CCCCCCCCC(=O)C(=O)CCCCCCCC	CHEMBL1812859	pKi=7.61
Cc1ccc(cc1)C(=O)C(=O)c2ccc(Cl)cc2	CHEMBL192252	pKi=7.64
BrCc1ccc(cc1)C(=O)C(=O)c2ccccc2	CHEMBL192241	pKi=7.67
Brc1ccc(cc1)C(=O)C(=O)c2ccc(Br)cc2	CHEMBL193228	pKi=7.73
Fc1ccc(C(=O)C(=O)c2ccc(F)c(F)c2F)c(F)c1F	CHEMBL242931	pKi=7.87
CCCCCCCC[S+]([O-])CC(=O)C(F)(F)F	CHEMBL270373	pIC50=7.96
COc1ccc(cc1)C(=O)C(=O)c2ccccc2	CHEMBL192474	pKi=7.99
COc1ccc(cc1OC)C(=O)C(=O)c2ccccc2Cl	CHEMBL191822	pKi=8.05
CCCCCCCCSCC(=O)C(F)(F)F	CHEMBL89506	pIC50=8.07
CCCCCCSCC(=O)C(F)(F)F	CHEMBL440542	pIC50=8.16
CCCCCCNCC(=O)C(F)(F)F	CHEMBL153080	pIC50=8.26
Fc1cccc(C(=O)C(=O)c2cccc(F)c2F)c1F	CHEMBL395018	pKi=8.3
CCCCCC[Se](=O)(=O)CC(=O)C(F)(F)F	CHEMBL155513	pIC50=8.47
CCCCCC[Se](=O)CC(=O)C(F)(F)F	CHEMBL155514	pIC50=9.75
