COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc4cc(F)ccc4[C@@H]1C(C)C	mibefradil	pIC50=6.6021	pIC50=6.6021	pIC50=6.6021	pIC50=6.0
CC(C)COCC(CN(CC1=CC=CC=C1)C1=CC=CC=C1)N1CCCC1	bepridil	pKi=5.1487	pKi=5.1487	pKi=5.1487
CCC1(C)OC(=O)N(C)C1=O	paramethadione
CN1C(=O)CC(C1=O)C1=CC=CC=C1	phensuximide
CN1C(=O)CC(C)(C1=O)C1=CC=CC=C1	methsuximide
COC1=C(OC)C=C(CCN(C)CCCC(C#N)(C(C)C)C2=CC(OC)=C(OC)C=C2)C=C1	verapamil	pKi=4.4854
Fc1ccc(cc1)C(N2CCN(C\C=C\c3ccccc3)CC2)c4ccc(F)cc4	flunarizine	pKd=5.44	pKd=5.44	pKd=5.44	pKd=5.44
CC1Cc2ccccc2N1S(=O)(=O)c3cccc(c3)C(=O)NCC4CCCCC4	CHEMBL3589094	pIC50=5.3
CC(C)(C)NCCN1CCN(CC(=O)NC23CC4CC(CC(C4)C2)C3)CC1	CHEMBL2337983	pIC50=5.31
Fc1cc(F)cc(NC(=O)N2CCC3(CC2)C(N(C3=O)c4cccc(Cl)c4)c5ccccn5)c1	CHEMBL1210766	pIC50=5.46
Fc1cccc(c1)N2CC3(CCN(CC3)C(=O)Nc4cc(F)cc(F)c4)C2c5ccc(Cl)cc5	CHEMBL1210444	pIC50=5.46
CC(C)(C)NC(=O)NCCN1CCOC(CNC(=O)c2cc(Cl)cc(Cl)c2)C1	CHEMBL2338408	pIC50=5.48
COC(=O)[C@H](CO)NC(=O)N1CCC2(CC1)C(N(C2=O)c3cccc(F)c3)c4ccc(Cl)cc4	CHEMBL1210441	pIC50=5.48
CC[C@H](C)[C@H](NC(=O)N1CCC2(CC1)CN(C(C)C)C2c3ccc(Cl)cc3)C(=O)OC	CHEMBL1210027	pIC50=5.5
CC[C@H](C)[C@H](NC(=O)N1CCC2(CC1)CN(C2c3ccc(Cl)cc3)c4cccc(F)c4)C(=O)OC	CHEMBL1210266	pIC50=5.5
CC(C)(C)C(=O)NCCN1CCN(CC(=O)NC23CC4CC(CC(C4)C2)C3)CC1	CHEMBL2338398	pIC50=5.52
CC1CC(C)CN(C1)C(=O)c2cccc(c2)S(=O)(=O)N3C(C)Cc4ccccc34	CHEMBL1486348	pIC50=5.52
CC(C)(C)S(=O)(=O)CCCN1CCN(CC(=O)NC23CC4CC(CC(C4)C2)C3)CC1	CHEMBL2338403	pIC50=5.62
Fc1cc(F)cc(NC(=O)N2CCC3(CC2)C(N(C3=O)c4cccc(c4)C#N)c5ccccn5)c1	CHEMBL1209968	pIC50=5.62
Cl.Fc1ccccc1NS(=O)(=O)c2cc(C(=O)N3CCN4CCC[C@@H]4C3)c(Cl)cc2F	CHEMBL3589557	pIC50=5.64
Fc1cc(F)cc(NC(=O)N2CCC3(CC2)C(N(C4CC4)C3=O)c5ccc(Cl)cc5)c1	CHEMBL1210265	pIC50=5.65
CC(C)C(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)C[C@@H]4CC[C@H]1c5nccnc45	CHEMBL3609821	pIC50=5.69
[O-][n+]1ccccc1C2N(C(=O)C23CCN(CC3)C(=O)Nc4ccc(F)c(F)c4)c5cccc(Cl)c5	CHEMBL1210767	pIC50=5.82
CC(C)(C)C(=O)NCCCN1CCN(CC(=O)NC23CC4CC(CC(C4)C2)C3)CC1	CHEMBL2338399	pIC50=5.89
CCC(C)NC(=O)N1CCC2(CC1)C(N(C2=O)c3cccc(F)c3)c4ccc(Cl)cc4	CHEMBL1210443	pIC50=5.9
CC(C)(C)NC(=O)NCCCN1CCN(CC(=O)NC23CC4CC(CC(C4)C2)C3)CC1	CHEMBL2338402	pIC50=5.92
CC(C)(C)NC(=O)NCCN1CCC(CO)(CNC(=O)c2cc(Cl)cc(Cl)c2)CC1	CHEMBL2337981	pIC50=5.92
CC(C)(C)OC(=O)NCCN1CCN(CC(=O)NC23CC4CC(CC(C4)C2)C3)CC1	CHEMBL2338401	pIC50=5.92
