NC(N)=N	guanidine
CC(C)NCC(O)C1=CC=C(NS(C)(=O)=O)C=C1	sotalol	pKi=4.0	pKi=4.0	pKi=4.0
CCCCc1oc2ccccc2c1C(=O)c3cc(I)c(OCCN(CC)CC)c(I)c3	amiodarone	pIC50=5.0	pIC50=5.0	pIC50=5.0	pIC50=5.0
CN(CCOC1=CC=C(NS(C)(=O)=O)C=C1)CCC1=CC=C(NS(C)(=O)=O)C=C1	dofetilide	pKi=8.19	pKi=8.19	pKi=8.19	pIC50=7.31
NC1=CC=NC=C1	fampridine
NC1=CC=NC=C1N	amifampridine
C(COc1ccc(cc1)C2=NCCO2)CN3CCCCC3	CHEMBL1822852	pKi=5.0
C(COc1ccc(cc1)c2ncc[nH]2)CN3CCCCC3	CHEMBL1822849	pKi=5.0
CC#CCn1c(N2CCCNCC2)c(C#N)c3N(C)C(=O)N(Cc4nccc5ccccc45)C(=O)c13	CHEMBL1951612	pIC50=5.0
CC(=O)N1CC2(CCN(CC2)c3ccc(cn3)C(=O)Nc4cc(ccc4N)c5cccs5)C1	CHEMBL472443	pEC50=5.0
CC(=O)N1CCC2(CCCN(C2)c3ccc(cn3)C(=O)Nc4cc(ccc4N)c5cccs5)C1	CHEMBL471399	pEC50=5.0
CC(=O)N1CCC2(CCN(CC2)c3ccc(cn3)C(=O)Nc4cc(ccc4N)c5cccs5)C1	CHEMBL471414	pEC50=5.0
CC(=O)N1CCOc2cc3CCN(CCCSc4nnc(c5cccc6nc(C)ccc56)n4C)CCc3cc12	CHEMBL272702	pIC50=5.0
CC(=O)c1cn(c2ccc(F)cc2)c3ccc(Cl)cc13	CHEMBL301992	pIC50=5.0
CC(=O)n1ccc2cc(ccc12)N3CCN(CCN4Cc5ccccc5C4)C3=O	CHEMBL549759	pIC50=5.0
CC(C(O)c1ccc2NC(=O)CCc2c1)N3CCC(O)(CC3)c4cccc(F)c4	CHEMBL404852	pIC50=5.0
CC(C)(C)c1[nH]c2ccccc2c1C3CCCN(Cc4ccc(\C=C\C(=O)NO)cc4Cl)C3	CHEMBL1093351	pIC50=5.0
CC(C)(C)c1ccc2c(ccn2c3ccc(F)cc3)c1	CHEMBL299590	pIC50=5.0
CC(C)(CN1CCC(=C2c3ccc(F)cc3COc4ccccc24)CC1)C(=O)O	CHEMBL1671901	pIC50=5.0
CC(C)(O)C(=O)N1CCC(CCN2CCC(CC2)N(C(=O)NCc3ccc(cc3)C#N)c4cccc(F)c4)(CC1)c5cccc(F)c5	CHEMBL1288689	pIC50=5.0
CC(C)N(CCc1c(C)nn2ccccc12)Cc3ccc(\C=C\C(=O)NO)cc3	CHEMBL1819273	pIC50=5.0
