C(C1=NCCN1)C1=CC=CC=C1	tolazoline	pKi=5.43	pKi=5.43	pKi=5.43
ClC1=C(NC2=NCCN2)C2=NSN=C2C=C1	tizanidine
CNCC(O)C1=CC(OC(=O)C(C)(C)C)=C(OC(=O)C(C)(C)C)C=C1	dipivefrine
ClC1=CC=CC(Cl)=C1NC1=NCCN1	clonidine	pEC50=6.7	pEC50=6.7	pEC50=6.7	pKi=7.25
BrC1=C(NC2=NCCN2)C=CC2=NC=CN=C12	brimonidine	pEC50=8.4685	pEC50=8.4685	pEC50=8.4685	pKi=7.08
C(C1=NCCN1)C1=CC=CC2=CC=CC=C12	naphazoline	pKi=6.38999987	pKi=6.38999987	pKi=6.38999987	pEC50=7.26
NC[C@H](O)c1ccc(O)c(O)c1	norepinephrine	pKi=7.2	pKi=7.2	pKi=7.2	pKi=7.2
C[C@H](c1c[nH]cn1)c2cccc(C)c2C	dexmedetomidine	pKi=8.15	pKi=8.15	pKi=8.15	pKi=7.51
CNC[C@H](O)C1=CC=C(O)C(O)=C1	epinephrine	pKi=6.44855	pKi=6.44855	pKi=6.44855
NC(=N)N\N=C\c1c(Cl)cccc1Cl	guanabenz	pKi=6.79317412	pKi=6.79317412	pKi=6.79317412
[H]C1(CCCC2=CC=CC=C12)C1=NCCN1	tetryzoline
N[C@@H]([C@H](O)C1=CC(O)=C(O)C=C1)C(O)=O	droxidopa
NC1=CC(Cl)=C(NC2=NCCN2)C(Cl)=C1	apraclonidine	pKi=7.52	pKi=7.52	pKi=7.52	pKi=7.52
Cc1ccc(cc1)N(CC2=NCCN2)c3cccc(O)c3	phentolamine	pKi=8.08	pKi=8.08	pKi=8.08	pKi=7.1
[H][C@@]12CC[C@H](O)[C@H](C(=O)OC)[C@@]1([H])C[C@]1([H])N(CCC3=C1NC1=C3C=CC=C1)C2	yohimbine	pKi=9.3	pKi=9.3	pKi=9.3	pIC50=7.44
CCOC(=O)[C@@](C)(N)CC1=CC(O)=C(O)C=C1	methyldopate
C[C@H](N)[C@H](O)c1ccc(O)c(O)c1	corbadrine
CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24	clozapine	pKi=7.0
CN1CCN(CC1)C2=Nc3ccccc3Nc4sc(C)cc24	olanzapine	pKi=7.0
Cc1nc2ccccc2c(Nc3ccc(NCCN4CCCC4)cc3)c1C	CHEMBL440594	pKi=7.0
Clc1cccc(N2CCN(CCCCOc3ccc4CCC(=O)Nc4c3)CC2)c1Cl	aripiprazole	pKi=7.0
OCCOCCN1CCN(CC1)C2=Nc3ccccc3Sc4ccccc24	quetiapine	pKi=7.0
[O-][N+](=O)c1ccccc1S(=O)(=O)NC[C@@H]2CC[C@@H](CNCC3CCc4ccccc4C3)CC2	CHEMBL299879	pKi=7.0
Brc1ccccc1OCC2=NCCN2	CHEMBL2431279	pEC50=7.01
C(\C=C\c1ccccc1)N2CCN(CC2)C(c3ccccc3)c4ccccc4	CHEMBL43064	pKi=7.02
CN1CCC[C@@H]1CCO[C@](C)(c2ccccc2)c3ccc(Cl)cc3	clemastine	pIC50=7.02
COc1cc2nc(nc(N)c2cc1OC)N3CCN(CC3)C(=O)c4occc4	prazosin	pKi=7.02
CN(C)C[C@H]1C[C@H]2[C@H](O1)c3cc(F)ccc3Sc4ccccc24	CHEMBL366164	pKi=7.03
OC1(CCN(CCCC(=O)c2ccc(F)cc2)C1)c3ccc(Cl)cc3	CHEMBL150161	pKi=7.03
CC(C)O[C@H]1c2ccccc2[C@H]3C[C@@]13c4c[nH]cn4	CHEMBL1256608	pKi=7.05
COc1cc2OCC3C(CN4CCN(CCc5ccccc5)CC4)ON=C3c2cc1OC	CHEMBL92496	pKi=7.05
COc1cc2OCC3C(CN4CCN(Cc5cc6ccccc6s5)CC4)ON=C3c2cc1OC	CHEMBL94435	pKi=7.05
COc1cc2OCC3C(CN4CCN(Cc5cccc6ccccc56)CC4)ON=C3c2cc1OC	CHEMBL91297	pKi=7.05
COc1cc2OCC3C(CN4CCN(Cc5ccccc5)CC4)ON=C3c2cc1OC	CHEMBL90843	pKi=7.05
COc1ccccc1OCCNCC(O)COc2cccc3[nH]c4ccccc4c23	carvedilol	pIC50=7.05
CC1CN(CCN1C)c2ccc(Nc3c(C)c(C)nc4cccc(C)c34)cc2	CHEMBL217452	pKi=7.06
COc1c(C)c(Nc2ncc[nH]2)c(C)cc1C(C)(C)C	CHEMBL75257	pKi=7.06
C(\C=C\c1ccccc1)[C@H]2C3CCC(C3)[C@H]2NC4=NCCO4	CHEMBL297827	pKi=7.07
C1COC(=NC1)NC2CCCc3ccccc23	CHEMBL306377	pKi=7.07
CC(OC1=NCCN1)c2ccccc2CC=C	CHEMBL570973	pKi=7.07
CC(Oc1ccccc1CC=C)C2=NCCN2	CHEMBL495095	pKi=7.07
C[C@H]1CN(CCN1C)c2ccc(Nc3c(C)c(C)nc4c(C)c(C)ccc34)cc2	CHEMBL216674	pKi=7.08
Oc1cc2CCNCC(c3ccccc3)c2cc1O	CHEMBL286080	pKi=7.08
CCN(CC)CCNc1ccc(Nc2c(CC)c(C)nc3c(C)cccc23)cc1	CHEMBL216197	pKi=7.09
CN1CCN(CCCN2c3ccccc3Sc4ccc(Cl)cc24)CC1	prochlorperazine	pIC50=7.09
CO\C(=C/1\C(C(=C(C)N=C1C)C(=O)NCCCN2CCC(CC2)c3ccccc3)c4ccc(cc4)[N+](=O)[O-])\O	CHEMBL91022	pKi=7.09
COc1ccccc1N2CCN(CCN3C(=O)Nc4scc(c5cccc(C)c5)c4C3=O)CC2	CHEMBL13856	pKi=7.09
C([C@H]1C2CCC(C2)[C@H]1NC3=NCCO3)c4ccccc4	CHEMBL295186	pKi=7.1
CC(OC1=NCCN1)c2ccccc2C3CC3	CHEMBL576623	pKi=7.1
CC(Oc1ccccc1C2CC2)C3=NCCN3	CHEMBL1276218	pKi=7.1
Fc1ccc(cc1)C(=O)CCCN2CCN(CC2)c3ncccn3	CHEMBL140872	pKi=7.1
CC(Oc1ccccc1C2CCCCC2)C3=NCCN3	CHEMBL451229	pKi=7.11
CN(C)C[C@@H]1CC2[C@H](O1)c3cc(F)ccc3Sc4ccccc24	CHEMBL363581	pKi=7.11
CN[C@H](C(C)C)C(=O)N(C)[C@H]1CC[C@]2(C)[C@H]3CC[C@]45CN(C)[C@@H](C)[C@H]4CC[C@H]5[C@@H]3CC=C2C1	CHEMBL451821	pKi=7.11
COC1=CC2=C(C=C1OC)C(N)=NC(=N2)N1CCN(CC1)C(=O)C1CCCO1	terazosin	pKi=7.11
CC(C)C[C@@H]1N2C(=O)[C@](NC(=O)[C@H]3CN(C)[C@@H]4Cc5c(Br)[nH]c6cccc(C4=C3)c56)(O[C@@]2(O)[C@@H]7CCCN7C1=O)C(C)C	bromocriptine	pKi=7.12
C[C@H]1CN(CCN1C)c2ccc(Nc3c(C)c(C)nc4cc(C)ccc34)cc2	CHEMBL217278	pKi=7.12
COc1ccccc1N2CCN(CCN3C(=O)Nc4scc(c5ccccc5)c4C3=O)CC2	CHEMBL268758	pKi=7.13
CC(Oc1ccccc1c2cccs2)C3=NCCN3	CHEMBL223829	pKi=7.14
CN(C)C[C@H]1CC2[C@H](O1)c3cc(F)ccc3Sc4ccccc24	CHEMBL193639	pKi=7.14
COc1cc2OCC3C(CN4CCN(C\C=C\c5ccc(F)cc5)CC4)ON=C3c2cc1OC	CHEMBL226636	pKi=7.14
Cc1ccccc1NCc2cnc[nH]2	CHEMBL3588902	pKi=7.14
C=CCc1ccccc1OCC2=NCCN2	CHEMBL14107	pKi=7.15
