CCO[C@@H]1C[C@@]2(CC[C@H]1O)CCN(C2=O)c3ccc(OCC(F)(F)F)cc3	CHEMBL3643712	pIC50=6.0
CC(C)CS(=O)(=O)N1C[C@@H]2CCN(C(=O)[C@@H]2C1)c3ccc(OC(F)(F)F)cc3	CHEMBL3640186	pIC50=6.02
FC(F)(F)COc1ccc(cc1)N2CC[C@@H]3CN(C[C@@H]3C2=O)S(=O)(=O)c4ccccc4	CHEMBL3640192	pIC50=6.02
CC(C)C1=C(C)N(OC1=O)C(=O)N2CCCCCCC2	CHEMBL106892	pIC50=6.05
CC(C)CS(=O)(=O)N[C@H]1C[C@H]2CN(C(=O)N2C1)c3ccc(OC(F)(F)F)cc3	CHEMBL3674467	pIC50=6.05
CCCNC(=O)O[C@@H]1C[C@H]2CN(C(=O)N2C1)c3ccc(OC(F)(F)F)cc3	CHEMBL3674445	pIC50=6.05
COc1ccc(cc1)c2nc(SC)n(n2)C(=O)N(C)C	CHEMBL336538	pIC50=6.05
FC(F)(F)Oc1ccc(NC(=O)N2C[C@@H]3CN(C(=O)[C@@H]3C2)c4ccc(OC(F)(F)F)cc4)cc1	CHEMBL3640204	pIC50=6.05
FC(F)(F)COc1ccc(cc1)N2C[C@H]3C[C@H](CN3C2=O)NS(=O)(=O)c4ccccc4Cl	CHEMBL3674474	pIC50=6.06
FC(F)(F)Oc1ccc(cc1)N2C[C@@H]3C[C@@H](CN3C2=O)NS(=O)(=O)c4cccnc4Cl	CHEMBL3674462	pIC50=6.06
Fc1ccc(CC(=O)N2C[C@H]3CCN(C(=O)[C@H]3C2)c4ccc(OCC(F)(F)F)cc4)cc1	CHEMBL3640195	pIC50=6.06
Fc1ccc(cc1)S(=O)(=O)[C@@H]2C[C@H]3CN(C(=O)N3C2)c4ccc(OC(F)(F)F)cc4	CHEMBL3674443	pIC50=6.06
Cc1ccc(cc1)S(=O)(=O)[C@@H]2C[C@H]3CN(C(=O)N3C2)c4ccc(OC(F)(F)F)cc4	CHEMBL3674441	pIC50=6.07
Fc1ccc(NC(=O)N2C[C@@H]3CCN(C(=O)[C@@H]3C2)c4ccc(OC(F)(F)F)cc4)cc1	CHEMBL3640190	pIC50=6.07
CC(C)CCS(=O)(=O)[C@@H]1C[C@H]2CN(C(=O)N2C1)c3ccc(OC(F)(F)F)cc3	CHEMBL3674442	pIC50=6.08
CC(C)CO[C@H]1C[C@@H]2CN(C(=O)N2C1)c3ccc(OCC(F)(F)F)cc3	CHEMBL3674471	pIC50=6.08
CCCCOC[C@]1(O)C[C@H]2CN(C(=O)N2C1)c3ccc(OCC(F)(F)F)cc3	CHEMBL3674475	pIC50=6.08
CCCN(C)C(=O)O[C@@H]1C[C@H]2CN(C(=O)N2C1)c3ccc(OC(F)(F)F)cc3	CHEMBL3674455	pIC50=6.08
COCCOC(=O)C1CC2(COCc3ccccc3)N(C1c4occc4)C(=O)CN(CCCCc5ccccc5)C2=O	CHEMBL269200	pIC50=6.11
FC(F)(F)COc1ccc(cc1)N2CC[C@@H]3CN(C[C@@H]3C2=O)S(=O)(=O)c4cccnc4Cl	CHEMBL3640191	pIC50=6.14
CC(C)(C)CC(=O)N1C[C@H]2CCN(C(=O)[C@H]2C1)c3ccc(OCC(F)(F)F)cc3	CHEMBL3640198	pIC50=6.15
