CCCCC\C=C/C\C=C/CCCCCCCC(O)=O	linoleic acid	pKd=9.7	pKd=9.7	pKd=9.7
CC\C=C/C\C=C/C\C=C/CCCCCCCC(O)=O	linolenic acid	pKd=8.56	pKd=8.56	pKd=8.56
CCCCC\C=C/C\C=C/CCCCCCCC(=O)O	CHEMBL267476	pIC50=6.0
CC(C)c1ccc(cc1)n2nc(cc2c3ccccc3)c4ccccc4OCCCC(=O)O	CHEMBL2334257	pIC50=6.1
OC(=O)CCCOc1ccccc1c2cc(c3ccccc3)n(n2)c4ccc(Br)cc4	CHEMBL2334255	pIC50=6.14
OC(=O)CCCOc1ccccc1c2cc(c3ccccc3)n(n2)c4ccc(Cl)cc4	CHEMBL2334256	pIC50=6.14
OC(=O)CCCOc1ccccc1c2cc(c3ccccc3)n(n2)c4cccc(Cl)c4	CHEMBL2334261	pIC50=6.16
OC(=O)c1cccc2c3CCCCc3n(Cc4ccccc4F)c12	CHEMBL474743	pIC50=6.17
CC(C)c1cc(C(C)C)c(c(c1)C(C)C)S(=O)(=O)O	CHEMBL3400157	pIC50=6.35
[K+].CCCCCCCCCCC\C=C/CCCCC(=O)[O-]	CHEMBL3122152	pKd=6.4
CCc1c(c2ccccc2)c(nn1c3ccccc3c4cccc(c4)C(O)C(=O)O)c5ccccc5	CHEMBL248120	pKi=6.44
CCc1c(c2ccccc2)c(nn1c3ccccc3c4cccc(OCC(=O)O)c4)c5ccccc5	CHEMBL247920	pKi=6.6
CC(C)c1cc(C(C)C)c(C(=O)O)c(c1)C(C)C	CHEMBL3400905	pIC50=6.64
CCc1c(oc(c2ccccc2)c1c3ccccc3)c4ccccc4c5cccc(OCC(=O)O)c5	CHEMBL247529	pKi=6.66
[K+].CCCCCCCC\C=C/CCCCCCCC(=O)[O-]	CHEMBL3122151	pKd=6.8
CCc1c(c2ccccc2)c(nn1c3ccccc3c4cccc(c4)C(=O)O)c5ccccc5	CHEMBL394440	pKi=6.96
[K+].CCCCCCCC\C=C\CCCCCCCC(=O)[O-]	CHEMBL3122153	pKd=7.13
OC(=O)c1cccc2c3CCCCCc3n(Cc4ccccc4C(F)(F)F)c12	CHEMBL460750	pIC50=7.47
OC(=O)CCCCOc1ccccc1c2oc(c3ccccc3)c(n2)c4ccccc4	CHEMBL116533	pKi=7.5
[3H]c1c(Cl)ccc(COc2cccc(C(=O)O)c2OCc3ccc(Cl)c([3H])c3Cl)c1Cl	CHEMBL247298	pKi=8.4
CCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCC	CHEMBL1235508	pKd=8.44
[K+].CC\C=C/C\C=C/C\C=C/CCCCCCCC(=O)[O-]	CHEMBL3122087	pKd=8.56
[K+].CCCCC\C=C/C\C=C/CCCCCCCC(=O)[O-]	CHEMBL3122088	pKd=9.7
