CCOc1ccc(O)c(c1)C(=O)Nc2cccc(Cl)c2	CHEMBL3608698	pIC50=6.03
CC(C)c1cccc(NC(=O)c2ccccc2N)c1	CHEMBL3608694	pIC50=6.07
Nc1ccccc1C(=O)Nc2cccc(F)c2	CHEMBL3608693	pIC50=6.29
Clc1cccc(Nc2nccc3occc23)c1	CHEMBL3608701	pIC50=6.43
Clc1cccc(Nc2ncnc3sccc23)c1	CHEMBL3608703	pIC50=6.59
FC(F)(F)c1ccc2[nH]nc(Nc3cccc(Cl)c3)c2c1	CHEMBL3608799	pIC50=6.6
Nc1ccccc1C(=O)Nc2cc(Cl)cc(Cl)c2	CHEMBL3608803	pIC50=6.61
Clc1cccc(NC2CCc3ccccc23)c1	CHEMBL3608704	pIC50=6.76
Oc1ccccc1C(=O)Nc2cccc(Cl)c2	CHEMBL460481	pIC50=6.76
Nc1ccccc1C(=O)Nc2ccc(F)c(Cl)c2	CHEMBL2263369	pIC50=6.81
Clc1cccc(Nc2n[nH]c3ccccc23)c1	CHEMBL3608793	pIC50=7.08
Nc1ccc(F)cc1C(=O)Nc2cccc(Cl)c2	CHEMBL3608695	pIC50=7.17
Fc1cccc(Nc2n[nH]c3ccccc23)c1	CHEMBL3608794	pIC50=7.23
Fc1ccc2[nH]nc(Nc3cccc(Cl)c3)c2c1	CHEMBL3608795	pIC50=7.24
Nc1ccccc1C(=O)Nc2cccc(Cl)c2	CHEMBL2263368	pIC50=7.24
Clc1cccc(Nc2ncnc3ccsc23)c1	CHEMBL3608702	pIC50=7.3
Nc1ccc(Cl)cc1C(=O)Nc2cccc(Cl)c2	CHEMBL3608696	pIC50=7.47
Clc1cccc(Nc2n[nH]c3ccc(Br)cc23)c1	CHEMBL3608797	pIC50=7.68
Clc1cccc(Nc2ccnc3ccccc23)c1	CHEMBL3608699	pIC50=7.75
Clc1cccc(Nc2cccc3ccccc23)c1	CHEMBL3608700	pIC50=7.77
COc1ccc(O)c(c1)C(=O)Nc2cccc(Cl)c2	CHEMBL3608697	pIC50=7.82
Clc1cccc(Nc2ncnc3ccccc23)c1	CHEMBL329672	pIC50=7.96
COc1ccc2[nH]nc(Nc3cccc(Cl)c3)c2c1	CHEMBL3608800	pIC50=8.1
Cc1ccc2[nH]nc(Nc3cccc(Cl)c3)c2c1	CHEMBL3608798	pIC50=8.22
Clc1cccc(Nc2n[nH]c3ccc(Cl)cc23)c1	CHEMBL3608796	pIC50=8.3
