ClC1=CC2=C(OC(=O)N2)C=C1	chlorzoxazone	pEC50=4.52287865	pEC50=4.52287865	pEC50=4.52287865
Cc1ccc(O)c(NC(=O)c2ccccc2)c1	CHEMBL443975	pIC50=5.03
NC(=O)c1nn[nH]c1n2nnc3cc(ccc23)c4ccccc4	CHEMBL480414	pIC50=5.06
N#Cc1c([nH]c2cccnc12)N3CCCC3	CHEMBL64276	pEC50=5.09
Oc1ccc(cc1NC(=O)c2ccccc2O)[N+](=O)[O-]	CHEMBL481781	pIC50=5.09
Oc1ccc(Cl)cc1Cn2cc(Cc3ccccc3)nn2	CHEMBL482378	pIC50=5.11
CCN(CC)c1[nH]c2cccnc2c1C#N	CHEMBL64640	pEC50=5.16
Oc1ccccc1C(=O)Nc2ccc(Cl)cc2[N+](=O)[O-]	CHEMBL482377	pIC50=5.16
CN(C)CCN(C)c1[nH]c2cccnc2c1C#N	CHEMBL303736	pEC50=5.17
N#Cc1c([nH]c2cccnc12)n3ccnc3	CHEMBL294334	pEC50=5.23
Oc1ccc(cc1N2C(=O)Nc3cc(ccc23)C(F)(F)F)C(F)(F)F	CHEMBL384903	pIC50=5.23
Oc1ccccc1C(=O)Nc2ccc(cc2[N+](=O)[O-])c3ccccc3	CHEMBL482376	pIC50=5.23
Oc1ccc(NC(=O)c2cc(Cl)ccc2O)c(c1)[N+](=O)[O-]	CHEMBL297914	pIC50=5.28
CN(C)c1[nH]c2cccnc2c1C#N	CHEMBL303056	pEC50=5.29
O[C@H]1CCCN(C1)c2[nH]c3cccnc3c2C#N	CHEMBL59388	pEC50=5.3
N#Cc1c([nH]c2cccnc12)N3CC4CCC(CC4)C3	CHEMBL303805	pEC50=5.35
Cc1ccc(NC(=O)c2cc(Cl)ccc2O)c(c1)[N+](=O)[O-]	CHEMBL480795	pIC50=5.39
N#Cc1c([nH]c2cccnc12)N3CCOCC3	CHEMBL60343	pEC50=5.41
Oc1ccccc1C(=O)Nc2ccc(cc2[N+](=O)[O-])C(F)(F)F	CHEMBL519785	pIC50=5.46
N#Cc1c([nH]c2cccnc12)N3CCCCCC3	CHEMBL61989	pEC50=5.48
Oc1ccccc1C(=O)n2nnc3cc(ccc23)c4ccccc4	CHEMBL481578	pIC50=5.48
CCOc1ccccc1C(=O)Nc2cc(Cl)ccc2O	CHEMBL481577	pIC50=5.51
Oc1ccccc1C(=O)Nc2ccccc2[N+](=O)[O-]	CHEMBL481576	pIC50=5.51
Oc1ccccc1C(=O)n2nnc3cc(F)ccc23	CHEMBL526140	pIC50=5.52
Oc1ccc(cc1n2nncc2c3ccccc3)[N+](=O)[O-]	CHEMBL465456	pIC50=5.58
Cc1ccc(NC(=O)c2ccccc2O)c(c1)[N+](=O)[O-]	CHEMBL499800	pIC50=5.6
Oc1ccccc1C(=O)n2nnc3cc(Cl)ccc23	CHEMBL465455	pIC50=5.61
Oc1ccccc1C(=O)n2nnc3cc(ccc23)C(F)(F)F	CHEMBL512408	pIC50=5.67
Oc1ccccc1C(=O)n2nnc3ccccc23	CHEMBL465454	pIC50=5.81
Oc1ccccc1C(=O)Nc2ccc(cc2O)[N+](=O)[O-]	CHEMBL465109	pIC50=5.84
COc1cc(ccc1NC(=O)c2cc(Cl)ccc2O)[N+](=O)[O-]	CHEMBL464249	pIC50=6.16
Oc1ccc(Cl)cc1n2cc(nn2)C(=O)c3ccccc3	CHEMBL465950	pIC50=6.19
COc1ccc(cc1NC(=O)c2ccccc2O)[N+](=O)[O-]	CHEMBL453712	pIC50=6.35
Oc1ccc(Cl)cc1NC(=O)c2cc(Cl)ccc2O	CHEMBL455306	pIC50=6.43
COc1ccc(Cl)cc1[C@]2(F)C(=O)Nc3cc(ccc23)C(F)(F)F	CHEMBL266510	pEC50=6.45
CCOC(=O)c1nnn(c2ccc(Cl)cc2[N+](=O)[O-])c1c3ccc(cc3)[N+](=O)[O-]	CHEMBL517012	pIC50=6.55
Cc1cccc(c1NC(=O)c2ccccc2O)[N+](=O)[O-]	CHEMBL464057	pIC50=6.6
COc1cc(ccc1NC(=O)c2ccccc2O)[N+](=O)[O-]	CHEMBL506373	pIC50=6.72
Oc1ccc(Cl)cc1n2cc(Cc3ccccc3)nn2	CHEMBL511200	pIC50=6.75
Cc1ccc2c(c1)nnn2C(=O)c3ccccc3O	CHEMBL504160	pIC50=6.84
Oc1ccc(Cl)cc1NC(=O)c2ccccc2O	CHEMBL524902	pIC50=6.87
COc1ccc(Cl)cc1C(=O)Nc2cc(C)ccc2O	CHEMBL448335	pIC50=7.56
Oc1ccccc1Cn2cc(Cc3ccccc3)nn2	CHEMBL465922	pIC50=7.56
COc1ccc(Cl)cc1C(=O)Nc2cc(Cl)ccc2O	CHEMBL445346	pIC50=8.49
