COc1ccc(cc1)n2nc(cc2c3ccccc3)C(=O)O	CHEMBL1402320	pKd=6.05
CC(C)C[C@H](NC(=O)[C@H](C)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@@]4(C)CCC\C=C/CCC[C@@](C)(NC(=O)[C@H](C)NC(=O)[C@@H](NC(=O)[C@H](Cc5ccccc5)NC(=O)[C@H](CC(=O)O)NC(=S)Nc6ccc(C7=C8C=CC(=O)C=C8Oc9cc(O)ccc79)c(c6)C(=O)O)[C@@H](C)O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)O)C(=O)N4)C(=O)O	CHEMBL3236302	pKd=6.24
Cc1cccc(c1)n2nc(cc2c3ccccc3)C(=O)O	CHEMBL3088227	pKd=6.24
OC(=O)c1cc(c2ccc(Cl)cc2)n(n1)c3ccc(Cl)cc3Cl	CHEMBL3422434	pKd=6.39
OC(=O)c1oc(cc1)c2ccc(C(=S)NCc3ccc(cc3)c4cc(nn4c5ccc(Cl)c(Cl)c5)C(=O)O)c(Cl)c2	CHEMBL3088230	pKd=6.49
OC(=O)c1cc(c2ccc(cc2)C#N)n(n1)c3ccc(Cl)c(Cl)c3	CHEMBL3422449	pKd=6.51
OC(=O)c1cc(c2ccc(Cl)cc2)n(n1)c3ccc(Cl)cc3	CHEMBL1576514	pKd=6.59
Nc1ccc(cc1)c2cc(nn2c3ccc(Cl)c(Cl)c3)C(=O)O	CHEMBL3422451	pKd=6.64
COc1ccc(cc1)c2cc(nn2c3cccc(Br)c3)C(=O)O	CHEMBL3422438	pKd=6.85
OC(=O)c1cccc(c1)c2cc(nn2c3ccc(Cl)c(Cl)c3)C(=O)O	CHEMBL3422447	pKd=6.89
OC(=O)c1cc(c2ccccc2)n(n1)c3ccc(Cl)c(Cl)c3	CHEMBL3422444	pKd=6.91
OC(=O)c1cc(c2ccc(O)cc2)n(n1)c3ccc(Cl)c(Cl)c3	CHEMBL3422452	pKd=6.98
Cc1cccc(c1)c2cc(nn2c3ccc(Cl)c(Cl)c3)C(=O)O	CHEMBL3422445	pKd=7.05
OC(=O)c1cc(c2ccc(CNC(=O)c3ccccc3)cc2)n(n1)c4ccc(Cl)c(Cl)c4	CHEMBL3421641	pKd=7.05
OC(=O)c1cc(c2ccc(cc2)C(=O)NCc3ccccc3)n(n1)c4ccc(Cl)c(Cl)c4	CHEMBL3422455	pKd=7.08
COc1ccc(cc1)c2cc(nn2c3ccc(Cl)c(Cl)c3)C(=O)O	CHEMBL3422442	pKd=7.1
COc1ccc(cc1)C(=O)NCc2ccc(cc2)c3cc(nn3c4ccc(Cl)c(Cl)c4)C(=O)O	CHEMBL3422457	pKd=7.14
Cc1ccc(cc1)c2cc(nn2c3ccc(Cl)c(Cl)c3)C(=O)O	CHEMBL3422446	pKd=7.14
OC(=O)c1cc(c2ccc(CNS(=O)(=O)c3ccccc3)cc2)n(n1)c4ccc(Cl)c(Cl)c4	CHEMBL3422462	pKd=7.16
OC(=O)c1cc(c2ccc(Cl)cc2)n(n1)c3ccc(Cl)c(Cl)c3	CHEMBL3422435	pKd=7.17
OC(=O)c1ccc(cc1)c2cc(nn2c3ccc(Cl)c(Cl)c3)C(=O)O	CHEMBL3422448	pKd=7.23
OC(=O)c1oc(cc1)c2ccc(CNCc3cccc(c3)c4cc(nn4c5ccc(Cl)c(Cl)c5)C(=O)O)cc2	CHEMBL3422464	pKd=7.24
OC(=O)c1cc(c2ccc(CNS(=O)(=O)c3ccc(OC(F)(F)F)cc3)cc2)n(n1)c4ccc(Cl)c(Cl)c4	CHEMBL3422463	pKd=7.25
