[H][C@]12CC(=O)N[C@]([H])(C(C)C)C(=O)N[C@]([H])(CSSCC\C=C\1)C(=O)N\C(=C/C)C(=O)N[C@@]([H])(C(C)C)C(=O)O2	romidepsin	pIC50=7.4
CC1=C(CCNCC2=CC=C(\C=C\C(=O)NO)C=C2)C2=CC=CC=C2N1	panobinostat	pKi=7.66	pKi=7.66	pKi=7.66	pIC50=6.55
ONC(=O)C=CC1=CC(=CC=C1)S(=O)(=O)NC1=CC=CC=C1	belinostat	pKi=7.66	pKi=7.66	pKi=7.66	pKi=7.6
CC(C)C[C@H]1CC(=O)N[C@@H](CCCCNC(=O)C)C(=O)N[C@@H](CCCCCC(=O)O)C(=O)N[C@@H](Cc2cccc3ccccc23)C(=O)N1	CHEMBL569674	pIC50=6.0
CCCC[C@H]1NC(=O)C[C@H](OC(=O)C[C@H](O)[C@H](NC(=O)[C@@H](CS)NC1=O)[C@@H](C)CC)\C=C\CCS	CHEMBL1836042	pIC50=6.0
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)Cc4ccc(cc4)c5cn(CCCCCCC(=O)NO)nn5)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O	CHEMBL506834	pIC50=6.0
CN(c1ccc(OCCCCCC(=O)NO)cc1)c2nc(C)nc3CCCc23	CHEMBL3775072	pIC50=6.0
COc1ccc(NC(=O)[C@@H]2Cc3ccc(OCC(=O)NO)cc3CN2C(=O)OC(C)(C)C)cc1	CHEMBL600072	pIC50=6.0
COc1ccc(cn1)c2ccnc(NC3CCc4ccc(cc4C3)C(=O)NO)n2	CHEMBL3694301	pIC50=6.0
ONC(=O)CCCCCCC(=O)Nc1ccccc1	vorinostat	pIC50=6.0
ONC(=O)CCCCCCC(=O)Nc1cccnc1	CHEMBL353581	pKi=6.0
ONC(=O)CCCc1ccc(NS(=O)(=O)c2ccccc2)cc1	CHEMBL97860	pIC50=6.0
ONC(=O)\C=C\c1ccc2c(c1)nc(CCc3ccccc3)n2CCc4ccccc4	CHEMBL489124	pIC50=6.0
ONC(=O)c1ccc(CCCc2ccccc2)cc1	CHEMBL2235666	pIC50=6.0
ONC(=O)c1ccc2CCC(Cc2c1)NC(=O)\C=C\c3cccnc3	CHEMBL3694309	pIC50=6.0
CC1Sc2ccc(cc2NC1=O)C(=O)NO	CHEMBL3800287	pIC50=6.01
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)Cc4ccc(cc4)c5cn(CCCC(=O)NO)nn5)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O)OC	CHEMBL3735629	pIC50=6.01
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@](O)(CN(C)Cc3ccc(cc3)c4cn(CCCCCC(=O)NO)nn4)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]5O[C@H](C)C[C@@H]([C@H]5O)N(C)C)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O)OC	CHEMBL3735660	pIC50=6.01
C[C@@H](NC(=O)C1=CC=CC(=S)N1O)C(=O)O	CHEMBL3260857	pIC50=6.01
ONC(=O)c1ccc(s1)c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2	CHEMBL1630118	pIC50=6.01
ONC(=O)c1ccc2NCC(Cc2c1)NS(=O)(=O)c3cccc(Cl)c3	CHEMBL3694329	pIC50=6.01
CC(C)(C)OC(=O)NCCCC(=O)N1CC2(C[C@H]1C(=O)NCCCCCC(=O)NO)SCCS2	CHEMBL1833988	pIC50=6.02
