Cc1cc(cc(C)c1CC2=NCCN2)C(C)(C)C	xylometazoline	pKi=5.98000002	pKi=5.98000002	pKi=5.98000002
C(C1=NCCN1)C1=CC=CC2=CC=CC=C12	naphazoline	pKi=6.38999987	pKi=6.38999987	pKi=6.38999987
CC(COC1=CC=CC=C1)N(CCCl)CC1=CC=CC=C1	phenoxybenzamine	pKi=8.45593166	pKi=8.45593166	pKi=8.45593166
NC1=CC(Cl)=C(NC2=NCCN2)C(Cl)=C1	apraclonidine	pKi=7.93839359	pKi=7.93839359	pKi=7.93839359
CC1=CC(=C(O)C(C)=C1CC1=NCCN1)C(C)(C)C	oxymetazoline	pKi=5.8499999	pKi=5.8499999	pKi=5.8499999
C[C@H](c1c[nH]cn1)c2cccc(C)c2C	dexmedetomidine	pKi=8.6	pKi=8.6	pKi=8.6
CNC[C@H](O)C1=CC=C(O)C(O)=C1	epinephrine	pKi=6.40120949	pKi=6.40120949	pKi=6.40120949
NC(=N)N\N=C\c1c(Cl)cccc1Cl	guanabenz	pKi=7.16749109	pKi=7.16749109	pKi=7.16749109	pKi=7.17
[H]C1(CCCC2=CC=CC=C12)C1=NCCN1	tetryzoline
N[C@@H]([C@H](O)C1=CC(O)=C(O)C=C1)C(O)=O	droxidopa
ClC1=CC=CC(Cl)=C1NC1=NCCN1	clonidine	pKi=7.5	pKi=7.5	pKi=7.5	pIC50=7.08
Cc1ccc(cc1)N(CC2=NCCN2)c3cccc(O)c3	phentolamine	pKi=8.12	pKi=8.12	pKi=8.12	pKi=7.32
C(C1=NCCN1)C1=CC=CC=C1	tolazoline	pKi=5.5	pKi=5.5	pKi=5.5
ClC1=C(NC2=NCCN2)C2=NSN=C2C=C1	tizanidine
CNCC(O)C1=CC(OC(=O)C(C)(C)C)=C(OC(=O)C(C)(C)C)C=C1	dipivefrine
BrC1=C(NC2=NCCN2)C=CC2=NC=CN=C12	brimonidine	pEC50=7.2596	pEC50=7.2596	pEC50=7.2596	pKi=7.46
[H][C@@]12CC[C@H](O)[C@H](C(=O)OC)[C@@]1([H])C[C@]1([H])N(CCC3=C1NC1=C3C=CC=C1)C2	yohimbine	pKi=8.7	pKi=8.7	pKi=8.7	pKi=7.54
CCOC(=O)[C@@](C)(N)CC1=CC(O)=C(O)C=C1	methyldopate
C[C@H](N)[C@H](O)c1ccc(O)c(O)c1	corbadrine
C1CC(c2c[nH]cn2)c3ccsc3C1	CHEMBL284213	pKi=7.0
C1CN=C(N1)C2COc3ccccc3O2	CHEMBL10316	pKi=7.0
CN(C)CCCN1c2ccccc2CCc3ccc(Cl)cc13	clomipramine	pIC50=7.0
CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24	clozapine	pKi=7.0
CN1CCN(CC1)C2=Nc3ccccc3Nc4sc(C)cc24	olanzapine	pKi=7.0
Cc1sc(C)c2C(=CCCc12)c3c[nH]cn3	CHEMBL284795	pKi=7.0
Fc1ccc(cc1)C(=O)CCCN2CCC(=CC2)N3C(=O)Nc4ccccc34	droperidol	pKi=7.0
OCCOCCN1CCN(CC1)C2=Nc3ccccc3Sc4ccccc24	quetiapine	pIC50=7.0
CN1CCN(CC1)c2ccc(Nc3c(Cc4ccccc4)c(C)nc5ccccc35)cc2	CHEMBL384925	pKi=7.02
COc1cc2OC[C@H]3[C@H](CN4CCN(Cc5ccc6ccccc6c5)CC4)ON=C3c2cc1OC	CHEMBL92860	pKi=7.02
CNCCC=C1c2ccccc2CCc3ccccc13	nortriptyline	pIC50=7.03
COc1ccccc1OCCNCC(O)COc2cccc3[nH]c4ccccc4c23	carvedilol	pIC50=7.03
CCC[C@H]1C2CCC(C2)[C@H]1NC3=NCCO3	CHEMBL296660	pKi=7.04
CO\C(=C/1\C(C(=C(C)N=C1C)C(=O)NCCCN2CCC(CC2)c3ccccc3)c4ccc(Cl)c(c4)[N+](=O)[O-])\O	CHEMBL327931	pKi=7.04
[Na+].CC[Hg]Sc1ccccc1C(=O)[O-]	CHEMBL508338	pKi=7.07
CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c3ccccc13	CHEMBL809	pKi=7.08
C1CNC(=Nn2ncc3ccccc23)N1	CHEMBL1186220	pKi=7.1
CC1=C(CCN2CCc3oc4ccc(Cl)cc4c3C2)C(=O)N5C=CC=CC5=N1	CHEMBL165677	pIC50=7.1
S(Sc1nc2ccccc2s1)c3nc4ccccc4s3	CHEMBL508112	pKi=7.13
C(C1CCc2ccccc2O1)N3CCN(Cc4ccccc4)CC3	CHEMBL179648	pKi=7.14
Fc1ccc2cnn(N=C3NCCN3)c2c1	CHEMBL3343699	pKi=7.14
C1CN=C(NC(C2CC2)C3CC3)O1	CHEMBL289480	pKi=7.15
