O=S(=O)(N1CCCNCC1)C1=CC=CC2=C1C=CN=C2	fasudil	pKd=7.11	pKd=7.11	pKd=7.11
[H][C@]1(C)CNCCCN1S(=O)(=O)C1=CC=CC2=C1C(F)=CN=C2	ripasudil	pIC50=7.72124624	pIC50=7.72124624	pIC50=7.72124624
Nc1cc(CN2CCCC(C2)Nc3ccc4[nH]ncc4c3)ccc1Cl	CHEMBL3689429	pIC50=7.53
C(N1C2CCC1CC(C2)Nc3ccc4[nH]ncc4c3)c5ccccc5	CHEMBL3647974	pKi=7.54
CN(C)CCOc1cc(c(F)cc1NC(=O)[C@H]2Cc3ccccc3CN2CC4CC4)c5cn[nH]c5	CHEMBL1215527	pIC50=7.54
COc1ccc(cc1C)C(=O)N[C@H](C)c2cccc(c2)C(=O)Nc3nc4CCN(C)Cc4s3	CHEMBL3700967	pIC50=7.54
Cc1nc(sc1C(=O)N2CCC[C@@H]2c3cccc(c3)C(=O)Nc4nc5CC[C@@H](Cc5s4)N6CCOCC6)c7ccncc7	CHEMBL3704377	pIC50=7.54
C(c1ccccc1)c2cc(on2)c3ccc4[nH]ncc4c3	CHEMBL1682357	pKi=7.55
CN1CCc2ccc(NC(=O)c3cccc(CNC(=O)c4cccc(c4)c5cccnc5)c3)cc2C1	CHEMBL3680726	pIC50=7.55
COc1ccc2CN[C@H](Cc2c1)C(=O)Nc3ccc(c(F)c3OCCN(C)C)c4cn[nH]c4	CHEMBL1215453	pIC50=7.55
Clc1cc2C(=O)NC=Cc2cc1NC(=O)C3CCNCC3	CHEMBL1085082	pIC50=7.55
NCC1CCN(CC1)c2nc(cnc2N3CCCC3)c4ccncc4	CHEMBL591285	pIC50=7.55
Nc1nccc(n1)c2ccc3nc(oc3c2)C4COc5ccc(F)cc5C4	CHEMBL517561	pIC50=7.55
CN1CCc2ccc(NC(=O)c3cccc(CNC(=O)c4ccc5C(=O)NC=Cc5n4)c3)cc2C1	CHEMBL3680761	pIC50=7.56
C1Oc2ccccc2CC1c3nc4ccc(cc4[nH]3)c5cn[nH]c5	CHEMBL455659	pIC50=7.57
CCCCOC(=O)c1cccc(NC(=O)c2cccc(c2)c3cc(ccc3CN)C(=O)Nc4ccncc4F)c1	CHEMBL3426631	pIC50=7.57
CN(CCO)c1nc(nc2ccc(cc12)c3cn[nH]c3)[C@@H](N)Cc4cccc(F)c4	CHEMBL2333891	pIC50=7.57
CN(CCO)c1nc(nc2ccc(cc12)c3cn[nH]c3)[C@H](N)Cc4cccc(F)c4	CHEMBL2333889	pIC50=7.57
NCCCC[C@@H](NC(=O)CCCCCCCN1CCCN(CC1)S(=O)(=O)c2cccc3cnccc23)C(=O)NCCCCCC(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N	CHEMBL2023842	pKd=7.57
Nc1nccc(n1)c2ccc3nc(oc3c2)C4COc5ccccc5C4	CHEMBL454624	pIC50=7.57
O=C(Nc1ccc(cc1)C#N)OCc2cccc(c2)C(=O)Nc3nc4CC[C@@H](Cc4s3)NCCC#N	CHEMBL3704385	pIC50=7.57
CCN(Cc1cccc(OC)c1)C(=O)c2nc3ccc(cc3s2)c4cn[nH]c4	CHEMBL1081196	pIC50=7.59
CN(C)C(C(=O)Nc1cc2C=CNC(=O)c2cc1Cl)c3ccccc3	CHEMBL1084107	pIC50=7.59
CN1CCc2ccc(NC(=O)c3cccc(CNC(=O)c4ccc(cc4)c5ocnc5)c3)cc2C1	CHEMBL3680723	pIC50=7.59
CN1CCc2ccc(NC(=O)c3cccc(CNC(=O)c4nnn(c4C)c5nonc5N)c3)cc2C1	CHEMBL3680764	pIC50=7.59
CN1CCc2nc(NC(=O)c3cccc(c3)[C@H]4CCCN4C(=O)c5cn6cc(ccc6n5)C#N)sc2C1	CHEMBL3704392	pIC50=7.59
COc1ccccc1CNC(=O)Nc2ccc(cc2)c3cn[nH]c3	CHEMBL3402441	pIC50=7.59
Clc1cc2C(=O)NC=Cc2cc1NC(=O)C3CNCC3c4ccncc4	CHEMBL1084105	pIC50=7.59
NC(=O)Cn1ccc2ccc(CN3CCCC(C3)Nc4ccc5[nH]ncc5c4)cc12	CHEMBL3689439	pIC50=7.59
NC(C(=O)Nc1cc2C=CNC(=O)c2cc1Cl)c3ccccc3	CHEMBL1085141	pIC50=7.59
NCCNc1nc(cc2cnccc12)c3ccncc3	CHEMBL1214929	pIC50=7.59
