CCCCCCCCC1=CC=C(CCC(N)(CO)CO)C=C1	fingolimod	pEC50=9.52	pEC50=9.52	pEC50=9.52	pEC50=8.14
CC(C)(C)c1ccc(cc1)c2oc(nn2)c3ccc(CN4CC(C4)C(=O)O)cc3	CHEMBL196149	pIC50=7.0
CC(C)Oc1ccc(cc1C#N)c2nnc(s2)n3nc4CCN(CC(=O)O)Cc4c3C	CHEMBL3770368	pEC50=7.0
CC(C)Oc1ccc(cc1C#N)c2nnc(s2)n3nc4CCNCc4c3C	CHEMBL3770578	pEC50=7.0
CC(C)Oc1ccc(cc1Cl)c2nnc(s2)N3CCc4cc(CCC(=O)O)ccc34	CHEMBL3770821	pEC50=7.0
CC(C)Oc1ncc(cc1Cl)c2nnc(s2)c3cc(F)c(OC[C@H](N)CO)cc3Cl	CHEMBL3754354	pEC50=7.0
CC(C)\N=C\1/S\C(=C/c2ccc(CCCO)cc2)\C(=O)N1c3ccccc3	CHEMBL1097800	pEC50=7.01
CCc1cc(cc(C)c1OC[C@@H](O)CNC(=O)CO)c2noc(n2)c3ccc(C)c(CN(C)CC(C)C)c3	CHEMBL3797452	pEC50=7.01
CC(C)\N=C\1/S\C(=C/c2ccc(OCCO)cc2)\C(=O)N1c3ccccc3	CHEMBL1097801	pEC50=7.02
CCCCCCCCOc1ccc(NC(=O)[C@@](C)(N)CC(=O)O)cc1C(F)(F)F	CHEMBL2315819	pIC50=7.02
CCc1cc(cc(C)c1OC[C@@H](O)CNC(=O)CO)c2noc(n2)c3cc(C)nc(CN4CCCC4)c3	CHEMBL3799964	pEC50=7.02
CCCCCn1cc(nn1)c2ccc(CCC(N)(CO)COP(=O)(O)O)cc2	CHEMBL3341916	pEC50=7.03
C\C(=N/OCc1ccc(c2ccc(C)cc2)c(c1)C(F)(F)F)\c3ccc(CNCCC(=O)O)cc3	CHEMBL2336081	pEC50=7.03
CCCCCCCCOc1ccc(NC(=O)[C@@H](N)CCC(=O)O)cc1	CHEMBL2315815	pIC50=7.04
CCc1ccc(CCc2ccc(CCC(N)(CO)COP(=O)(O)O)cc2)cc1	CHEMBL3132869	pEC50=7.04
COc1ccccc1c2noc(n2)c3ccc(CC(C)C)cc3	CHEMBL3699117	pKi=7.04
N[C@@H](CO)COc1cc(Cl)c(cc1F)c2onc(n2)N3CCN(CC3)C(=O)c4ccccn4	CHEMBL3344417	pEC50=7.04
CCCCCCCCCCCCCCN1CCCC1CCP(=O)(O)O	CHEMBL185447	pIC50=7.05
CCc1cc(CN2CC(C2)C(=O)O)sc1c3oc(cn3)c4ccc(Oc5ccccc5)cc4	CHEMBL2022708	pEC50=7.05
CCc1occ(n1)c2ccc(Oc3ccc(CCC(N)(CO)COP(=O)(O)O)cc3)cc2	CHEMBL3133595	pEC50=7.05
CC(C)Nc1cc(cc(C)n1)c2nnc(s2)c3cc(F)c(OC[C@H]4COC(=O)N4)cc3Cl	CHEMBL3752093	pEC50=7.07
CCCCCCCCCCCCCCCC(N)CCP(=O)(O)O	CHEMBL334144	pIC50=7.07
NC(CO)(CCc1ccc(Oc2ccc(Cc3ccccc3)cc2)cc1)COP(=O)(O)O	CHEMBL3133613	pEC50=7.07
CCCCCCCCCCCCCCNC1CCCC(C1)P(=O)(O)O	CHEMBL186921	pIC50=7.09
CCCCCCCCc1ccc(NC(=O)[C@@H](N)COP(=O)(O)O)cc1.OC(=O)C(F)(F)F	CHEMBL332050	pEC50=7.09
C[C@](N)(CC(=O)O)c1nc(c[nH]1)c2ccc(OCc3ccc(cc3)c4ccccc4)c(c2)C(F)(F)F	CHEMBL2315820	pIC50=7.09
CCc1sc(C(=O)CCc2cc(C)c(OCC(O)CO)c(C)c2)c3CC[C@](C)(O)Cc13	CHEMBL3121983	pEC50=7.1
CC(C)\N=C\1/S\C(=C/c2ccc(O)c(Cl)c2)\C(=O)N1c3ccc(C)cc3	CHEMBL1098142	pEC50=7.11
CCCCCCCCOc1ccc(NC(=O)[C@@](C)(N)CCC(=O)O)cc1	CHEMBL2315816	pIC50=7.11
FC(F)(F)c1sc(cc1c2ccccc2)c3onc(n3)c4ccc(Cl)cc4Cl	CHEMBL374614	pIC50=7.11
C(c1ccc(cc1)c2noc(n2)c3cnn(C4CCCCC4)c3c5ccncc5)c6nnn[nH]6	CHEMBL3701844	pKi=7.12
CC(C)Cc1ccc(cc1)c2onc(n2)c3ccc(cc3)[C@H]4CC[C@H](N4)C(=O)O	CHEMBL207580	pIC50=7.13
