O=C1NC(=O)C(N1)(C1=CC=CC=C1)C1=CC=CC=C1	phenytoin
CCOC(=O)C1=CC=C(N)C=C1	benzocaine
CCCN1CCCC[C@H]1C(=O)NC1=C(C)C=CC=C1C	ropivacaine
CN(C)CCOC(C1=CC=CC=C1)C1=C(C)C=CC=C1	orphenadrine	pIC50=4.7645	pIC50=4.7645	pIC50=4.7645
[H]C1(CCCCN1C)C(=O)NC1=C(C)C=CC=C1C	mepivacaine
NC1=NN=C(C(N)=N1)C1=C(Cl)C(Cl)=CC=C1	lamotrigine
CC(N)COC1=C(C)C=CC=C1C	mexiletine	pKi=4.89	pKi=4.89	pKi=4.89
CCN1C(=O)NC(C1=O)C1=CC=CC=C1	ethotoin
NC1=NC(N)=C(C=C1)\N=N\C1=CC=CC=C1	phenazopyridine
CCC1(NC(=O)N(C)C1=O)C1=CC=CC=C1	mephenytoin
CCN(CC)CC(=O)NC1=C(C)C=CC=C1C	lidocaine	pIC50=4.54	pIC50=4.54	pIC50=4.54
NC(=O)N1C2=CC=CC=C2C=CC2=C1C=CC=C2	carbamazepine	pIC50=4.66	pIC50=4.66	pIC50=4.66
NC(=O)C1=CN(CC2=C(F)C=CC=C2F)N=N1	rufinamide
CCCCNC1=CC=C(C=C1)C(=O)OCCN(C)C	tetracaine	pKi=6.3	pKi=6.3	pKi=6.3	pIC50=5.12
CC(=O)O[C@H]1CC2=C(C=CC=C2)N(C(N)=O)C2=CC=CC=C12	eslicarbazepine acetate
COC[C@@H](NC(=O)C)C(=O)NCc1ccccc1	lacosamide	pIC50=6.74	pIC50=6.74	pIC50=6.74	pIC50=6.74
CCN(CC)CCNC(=O)C1=CC=C(N)C=C1	procainamide
CC(N)C(=O)NC1=C(C)C=CC=C1C	tocainide
CC(=O)Nc1cccc(Nc2ncnc(n2)N3CCC(O)(CC3)c4ccccc4)c1	CHEMBL1813029	pIC50=5.0
CC(C)(C)OC(=O)N1CCC(CCOc2cc(F)c(cc2F)C(=O)NS(=O)(=O)C)CC1	CHEMBL3654181	pIC50=5.0
CC(C)(C)OC(=O)N1CCCC(COc2cc(F)c(cc2F)C(=O)NS(=O)(=O)C)C1	CHEMBL3654176	pIC50=5.0
CC(C)(C)n1ccc(n1)c2c(F)cccc2Oc3ccc(cc3C#N)S(=O)(=O)Nc4ncns4	CHEMBL2325278	pIC50=5.0
CC(C)c1nsc(NS(=O)(=O)c2ccc(Oc3ccccc3c4ccccc4)c(c2)C#N)n1	CHEMBL2325565	pIC50=5.0
CC(CC#N)N1C(C(=O)NCc2ccc(OC(F)(F)F)cc2)c3ccccc3C1=O	CHEMBL2164380	pIC50=5.0
CC1(C)C(COc2cc(F)c(cc2Cl)C(=O)NS(=O)(=O)C)C1(C)C	CHEMBL3657823	pIC50=5.0
CCc1nsc(NS(=O)(=O)c2ccc(Oc3ccccc3c4ccccc4)c(c2)C#N)n1	CHEMBL2325559	pIC50=5.0
CCn1nc(cc1c2ccc(Oc3ccc(cc3C#N)S(=O)(=O)Nc4ccc(cn4)C#N)cc2)C(F)(F)F	CHEMBL2325273	pIC50=5.0
CN(C(=O)c1cc(F)c(cc1Cl)C(=O)NS(=O)(=O)C)C23CC4CC(CC(C4)C2)C3	CHEMBL3657829	pIC50=5.0
CN(Cc1ccc(cc1Cl)C(=O)NS(=O)(=O)C)C23CC4CC(CC(C4)C2)C3	CHEMBL3657827	pIC50=5.0
