CCN(CC)C(=S)SSC(=S)N(CC)CC	disulfiram
CCCCC(Oc1ccc2C(=O)C(=COc2c1)c3ccc(O)cc3)C(=O)O	CHEMBL324628	pIC50=6.0
Cc1cc(Br)c2NC(=O)C(=O)c2c1	CHEMBL3128208	pKi=6.0
Fc1cccc(F)c1C(=O)NCc2ccc(cc2)C3=CC(=O)NC=C3	CHEMBL3667544	pIC50=6.05
Oc1ccc(cc1)C2=COc3cc(OCC=C)ccc3C2=O	CHEMBL112165	pIC50=6.1
OCCCCCCCCCOc1ccc2C(=O)C(=COc2c1)c3ccc(O)cc3	CHEMBL111989	pIC50=6.16
CS(=O)(=O)Nc1ccc(cc1)C2=COc3cc(ccc3C2=O)C#CC4(N)CCCCC4	CHEMBL3660718	pIC50=6.28
Cc1cc(CNC(=O)c2c(Cl)cccc2Cl)ccc1C3=CC(=O)NC=C3	CHEMBL3667542	pIC50=6.32
Fc1ccc(F)c(C(=O)NCc2ccc(cc2)C3=CC(=O)NC=C3)c1Cl	CHEMBL3667541	pIC50=6.33
COc1cc(O)c2C(=O)C(=COc2c1)c3ccc(O)cc3	CHEMBL491174	pKi=6.35
Clc1ccc2N(CCc3ccccc3)C(=O)C(=O)c2c1	CHEMBL3128206	pIC50=6.39
Oc1ccc(cc1)C2=COc3cc(OCCC4OCCCO4)ccc3C2=O	CHEMBL134275	pIC50=6.4
CS(=O)(=O)NCc1ccc(cc1)C2=COc3cc(ccc3C2=O)C#CC4(O)CCCC4	CHEMBL3660720	pIC50=6.41
Fc1cccc(Cl)c1C(=O)NCc2ccc(cc2)C3=CC(=O)NC=C3	CHEMBL3667545	pIC50=6.42
CS(=O)(=O)Nc1ccc(cc1)C2=COc3cc(ccc3C2=O)C#Cc4ccccc4	CHEMBL3660713	pIC50=6.48
CCOC(=O)C(C)Oc1ccc2C(=O)C(=COc2c1)c3ccc(O)cc3	CHEMBL326236	pIC50=6.5
Fc1cc(ccc1CNC(=O)c2c(Cl)cccc2Cl)C3=CC(=O)NC=C3	CHEMBL3667546	pIC50=6.52
Oc1ccc(cc1)C2=COc3cc(OCCCCCCBr)ccc3C2=O	CHEMBL112437	pIC50=6.52
CCOC(=O)CCCCCOc1ccc2C(=O)C(=COc2c1)c3ccc(O)cc3	CHEMBL112070	pIC50=6.55
Oc1ccc(cc1)C2=COc3cc(OCCCCBr)ccc3C2=O	CHEMBL113617	pIC50=6.57
CS(=O)(=O)Nc1ccc(cc1)C2=COc3cc(ccc3C2=O)C#CC4CNC4	CHEMBL3660734	pIC50=6.58
Oc1ccc(cc1)C2=COc3cc(OCCCBr)ccc3C2=O	CHEMBL115314	pIC50=6.59
NCCCCOc1ccc2C(=O)C(=COc2c1)c3ccc(O)cc3	CHEMBL109868	pIC50=6.6
CCOC(=O)CCCCOc1ccc2C(=O)C(=COc2c1)c3ccc(O)cc3	CHEMBL112865	pIC50=6.62
Fc1cccc(C(=O)NCc2ccc(cc2)C3=CC(=O)NC=C3)c1Cl	CHEMBL3667537	pIC50=6.67
CS(=O)(=O)Nc1ccc(cc1)C2=COc3cc(ccc3C2=O)C#CC4CCNCC4	CHEMBL3660729	pIC50=6.76
Cc1cccc(C)c1C(=O)NCc2ccc(cc2)C3=CC(=O)NC=C3	CHEMBL3667539	pIC50=6.78
CS(=O)(=O)Nc1ccc(cc1)C2=COc3cc(ccc3C2=O)C#CC4(O)CCCC4	CHEMBL3660724	pIC50=6.81
CC1=C(C(=O)OC2CC(Cl)CCC12)c3ccccc3	CHEMBL111984	pIC50=6.82
Oc1ccc(cc1)C2=COc3cc(OCCCCC=C)ccc3C2=O	CHEMBL109649	pIC50=6.82
CCOC(=O)COc1ccc2C(=O)C(=COc2c1)c3ccc(O)cc3	CHEMBL326803	pIC50=6.89
OC(=O)CCCCCCCCCCCOc1ccc2C(=O)C(=COc2c1)c3ccc(O)cc3	CHEMBL262662	pIC50=6.89
OCCCCCCOc1ccc2C(=O)C(=COc2c1)c3ccc(O)cc3	CHEMBL113058	pIC50=6.92
CC(C)CN1CC(C1)C#Cc2ccc3C(=O)C(=COc3c2)c4ccc(CNS(=O)(=O)C)cc4	CHEMBL3660737	pIC50=6.96
