COC1=CC2=C(C=C1C(N)=O)C(OC1=CC=C(NC(=O)NC3CC3)C(Cl)=C1)=CC=N2	lenvatinib	pIC50=7.0	pIC50=7.0	pIC50=7.0
COC1=CC2=NC=CC(OC3=CC=C(NC(=O)C4(CC4)C(=O)NC4=CC=C(F)C=C4)C=C3)=C2C=C1OC	cabozantinib	pIC50=8.33724213	pIC50=8.33724213	pIC50=8.33724213
CCN(CC)CCNC(=O)c1c(C)[nH]c(\C=C\2/C(=O)Nc3ccc(F)cc23)c1C	sunitinib	pKd=9.68	pKd=9.68	pKd=9.68	pIC50=7.82
CN(C1=CC2=NN(C)C(C)=C2C=C1)C1=NC(NC2=CC(=C(C)C=C2)S(N)(=O)=O)=NC=C1	pazopanib	pKd=8.74	pKd=8.74	pKd=8.74	pKd=8.19
CNC(=O)C1=CC(OC2=CC=C(NC(=O)NC3=CC=C(Cl)C(=C3)C(F)(F)F)C=C2)=CC=N1	sorafenib	pKd=7.8	pKd=7.8	pKd=7.8	pKd=7.55
CC1=NC(NC2=NC=C(S2)C(=O)NC2=C(C)C=CC=C2Cl)=CC(=N1)N1CCN(CCO)CC1	dasatinib	pKd=9.24	pKd=9.24	pKd=9.24	pIC50=7.89
CN1CCN(CC2=CC=C(C=C2)C(=O)NC2=CC=C(C)C(NC3=NC=CC(=N3)C3=CN=CC=C3)=C2)CC1	imatinib	pKd=7.89	pKd=7.89	pKd=7.89	pIC50=7.67
Cc1ccc(cc1C#Cc2cnc3ccnn3c2)C(=O)Nc4ccc(Cl)cc4	CHEMBL2336038	pIC50=7.53
CC(C)(C)c1cc(NC(=O)Nc2cccc(Nc3ncnc4ccccc34)c2)n(n1)c5cccc(c5)[N+](=O)[O-]	CHEMBL2403874	pIC50=7.54
COC(=O)c1ccc2\C(=C(\Nc3ccc(cc3)N(C)C(=O)CN4CCN(C)CC4)/c5ccccc5)\C(=O)Nc2c1	nintedanib	pKd=7.54
COc1cc(cc(OC)c1OC)c2cnc3c(snc3c2)N4CCOCC4	CHEMBL3425865	pKd=7.54
COc1cc2c(ncnc2cc1OCCCN3CCCCC3)N4CCN(CC4)C(=O)Nc5ccc(OC(C)C)cc5	CHEMBL124660	pKd=7.54
COc1ccc(c(OC)c1)c2cnc3[nH]cc(c4ccc(OC)c(OC)c4)c3c2	CHEMBL3102946	pIC50=7.54
COc1ccc(cc1OC)c2c[nH]c3ncc(cc23)c4cccc(c4)N(C)C	CHEMBL3319394	pIC50=7.54
COc1cccc(c1)c2cnc3[nH]cc(c4ccc(OC)c(OC)c4)c3c2	CHEMBL3319476	pIC50=7.54
CC1=CN(C=N1)C1=CC(=CC(NC(=O)C2=CC(NC3=NC=CC(=N3)C3=CN=CC=C3)=C(C)C=C2)=C1)C(F)(F)F	nilotinib	pKd=7.54
Cc1sc2ncnc(N)c2c1c3ccc(NC(=O)Nc4ccc(Cl)cc4)cc3	CHEMBL372174	pIC50=7.54
FC(F)(F)Oc1ccc(NC(=O)c2sccc2NCc3ccnc4ccccc34)cc1	CHEMBL1614710	pIC50=7.54
CC1=C(C(=O)N(C=C1)c2cccc(c2)C(F)(F)F)c3ccc4nc(N)ncc4c3	CHEMBL504805	pIC50=7.55
CCCCc1ccc(Nc2noc3c(C(=O)Nc4cncnc4)c(Cl)ccc23)cc1	CHEMBL521788	pIC50=7.55
CCc1sc2ncnc(N)c2c1c3ccc(NC(=O)Nc4cccc(C)c4)cc3	CHEMBL366241	pIC50=7.55
CN(Cc1ccc(s1)c2[nH]nc3c2Cc4ccc(CN5CCN(C)CC5)cc34)C(=O)Nc6ccc(Cl)c(Cl)c6	CHEMBL215948	pIC50=7.55
CN1CCN(Cc2ccc(Nc3ncc4C(=O)C(=CN(c5ccc6CCCc6c5)c4n3)C(=O)N)cc2)CC1	CHEMBL256893	pIC50=7.55
COc1cc(ccc1NC(=O)Nc2cccc(C)c2)c3csc4ncnc(N)c34	CHEMBL370545	pIC50=7.55
COc1ccc(c2ccc(NC(=O)Nc3cccc(C)c3)cc2)c4c(N)n[nH]c14	CHEMBL219998	pIC50=7.55
COc1cccc(c1)N2C=CC(=C(C2=O)c3ccc4nc(N)ncc4c3)C	CHEMBL496916	pIC50=7.55
Nc1ncnc2NCCC(=Nc12)c3ccc(NC(=O)Nc4cccc(c4F)C(F)(F)F)cc3	CHEMBL410731	pIC50=7.55
Nc1ncnc2snc(c3ccc(NC(=O)Nc4cc(ccc4F)C(F)(F)F)cc3)c12	CHEMBL214258	pIC50=7.55
COc1ccc(cc1)c2n[nH]c3c2Cc4sc(cc34)c5ccc(N)nc5	CHEMBL3644449	pIC50=7.56
Nc1ncc(c2cnn(CCO)c2)c3scc(c4ccc(NC(=O)Nc5cccc(F)c5)cc4)c13	CHEMBL1980297	pIC50=7.56
CC(C)(C)c1ccc(cc1)C(=O)NC2=CC(=CNC2=O)c3ccncc3	CHEMBL1765770	pKi=7.57
CN1CCN(Cc2ccc3Cc4c(n[nH]c4c3c2)c5ccc(CNC(=O)Nc6ccc(C)cc6)s5)CC1	CHEMBL2096839	pIC50=7.57
CN1CCN(Cc2ccc3c(Cc4c(n[nH]c34)c5ccc(CNC(=O)Nc6cc(C)cc(C)c6)s5)c2)CC1	CHEMBL209919	pIC50=7.57
C[C@H](O)Cn1cc(cn1)c2cnc(N)c3c(csc23)c4ccc(NC(=O)Nc5cccc(C)c5)cc4	CHEMBL3646210	pIC50=7.57
Cc1cccc(NC(=O)Nc2ccc(c(F)c2)c3csc4ncnc(N)c34)c1	CHEMBL425749	pIC50=7.57
Cc1sc2ncnc(N)c2c1c3ccc(NC(=O)Nc4cccc(F)c4)cc3	CHEMBL196747	pIC50=7.57
NC(=S)c1cc(CNc2ccccc2C(=O)Nc3ccc4OC(F)(F)Oc4c3)ccn1	CHEMBL248258	pIC50=7.57
Nc1noc2cccc(c3ccc(NC(=O)Nc4ccc(cc4)C(F)(F)F)cc3)c12	CHEMBL269886	pIC50=7.57
COc1cc(N)cc(c1)c2cnc3[nH]cc(c4ccc(OC)c(OC)c4)c3c2	CHEMBL3319474	pIC50=7.58
CCN1CCN(CC1)C2CCc3cc(ccc23)C(=O)Nc4ccc(C)c(Nc5nccc(n5)c6cccnc6)c4	CHEMBL3690075	pIC50=7.59
CN1CCN(CC1)c2ccc3nc([nH]c3c2)C4=C(N)c5c(F)cccc5NC4=O	CHEMBL522892	pKd=7.59
CN1CCN(Cc2ccc3c(Cc4c(n[nH]c34)c5csc(c5)C#CCOc6ccccc6)c2)CC1	CHEMBL390156	pIC50=7.59
COc1cc(ccc1Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)N4CCC(CC4)N5CCN(C)CC5	CHEMBL509032	pKd=7.59
