c1ccc2c(c1)[nH]c3cn[nH]c23	CHEMBL3797549	pIC50=6.0
Fc1cc(c2ccccc2)c3cn[nH]c3c1	CHEMBL3798664	pIC50=6.02
Cc1cc(ncc1c2cc(cc3[nH]ncc23)C(F)(F)F)C(=O)NCCO	CHEMBL3797699	pEC50=6.11
COc1cc(c2ccccc2)c3cn[nH]c3c1	CHEMBL3799625	pIC50=6.14
CC(C)c1cc(c2ccccc2)c3cn[nH]c3c1	CHEMBL3799684	pIC50=6.26
CS(=O)(=O)c1cc(c2ccccc2)c3cn[nH]c3c1	CHEMBL3799532	pIC50=6.44
Cc1c(cnc2[nH]cnc12)n3c4ccc(F)cc4c5[nH]ncc35	CHEMBL3797780	pEC50=6.6
OCCNC(=O)c1ccc(c(F)c1)c2cc(cc3[nH]ncc23)C(F)(F)F	CHEMBL3798871	pEC50=6.63
Cc1cc(c2ccccc2)c3cn[nH]c3c1	CHEMBL3798111	pIC50=6.66
Cc1nc(ncc1c2cc(cc3[nH]ncc23)C(F)(F)F)N4CC[C@H](O)C4	CHEMBL3800596	pEC50=6.92
Fc1ccc2c(c1)c3[nH]ncc3n2c4cccnc4	CHEMBL3797386	pEC50=7.0
FC(F)(F)Oc1cc(c2ccccc2)c3cn[nH]c3c1	CHEMBL3798443	pIC50=7.04
Clc1cc(c2ccccc2)c3cn[nH]c3c1	CHEMBL3799496	pIC50=7.1
Fc1ccc2[nH]c3cn[nH]c3c2c1	CHEMBL3797789	pIC50=7.1
Cc1nc(ccc1c2cc(cc3[nH]ncc23)C(F)(F)F)N4CC[C@H](O)C4	CHEMBL3799242	pEC50=7.19
N#Cc1cc(c2ccccc2)c3cn[nH]c3c1	CHEMBL3798100	pIC50=7.21
Cc1cc(ccc1c2cc(cc3[nH]ncc23)C(F)(F)F)C(=O)NCCO	CHEMBL3800090	pEC50=7.22
FC(F)(F)c1ccc2cn[nH]c2c1	CHEMBL3797508	pIC50=7.3
Cc1nc(ccc1c2cc(cc3[nH]ncc23)C(F)(F)F)N4CC[C@@H](O)C4	CHEMBL3798702	pEC50=7.42
COc1cc(ccc1c2cc(cc3[nH]ncc23)C(F)(F)F)C(=O)NCCO	CHEMBL3798047	pEC50=7.43
Nc1ncc(cc1Cl)n2c3ccc(F)cc3c4[nH]ncc24	CHEMBL3800236	pEC50=7.5
Cc1nc2c(cc1n3c4ccc(F)cc4c5[nH]ncc35)ncn2C	CHEMBL3799796	pEC50=7.6
Cc1cc(ccc1n2c3ccc(F)cc3c4[nH]ncc24)C(=O)NCCO	CHEMBL3799090	pEC50=7.7
FC(F)(F)c1cc(c2ccccc2)c3cn[nH]c3c1	CHEMBL3798509	pIC50=7.7
CNC(=O)c1ccc(c(OC)c1)c2cc(cc3[nH]ncc23)C(F)(F)F	CHEMBL3798381	pIC50=7.82
Cc1nc(ncc1c2cc(cc3[nH]ncc23)C(F)(F)F)N4CC[C@@H](O)C4	CHEMBL3799512	pEC50=7.82
Cc1nc2[nH]cnc2cc1n3c4ccc(F)cc4c5[nH]ncc35	CHEMBL3797399	pEC50=7.9
CO[C@@H]1[C@@H](CC[C@]2(CO2)[C@H]1[C@@]3(C)O[C@@H]3C[C@@H]4OC4(C)C)OC(=O)N[C@@H](C(=O)N)C(C)(C)O	CHEMBL3527219	pEC50=7.93
Cc1cnccc1c2cc(cc3[nH]ncc23)C(F)(F)F	CHEMBL3798034	pIC50=7.96
COc1nc(N)ncc1c2cc(cc3[nH]ncc23)C(F)(F)F	CHEMBL3797707	pIC50=8.0
Cn1nccc1c2cc(cc3[nH]ncc23)C(F)(F)F	CHEMBL3799467	pIC50=8.05
CO[C@@H]1[C@@H](CC[C@]2(CO2)[C@H]1[C@@]3(C)O[C@@H]3C[C@H]4OC4(C)C)OC(=O)N[C@@H](C(=O)N)C(C)(C)O	CHEMBL3527218	pEC50=8.06
COc1cnccc1c2cc(cc3[nH]ncc23)C(F)(F)F	CHEMBL3799449	pIC50=8.1
COc1ncc(c(OC)n1)c2cc(cc3[nH]ncc23)C(F)(F)F	CHEMBL3800534	pIC50=8.1
Fc1cc2c(cc1F)n(c3cccnc3)c4cn[nH]c24	CHEMBL3798844	pIC50=8.1
Fc1cnccc1c2cc(cc3[nH]ncc23)C(F)(F)F	CHEMBL3800546	pIC50=8.1
CO[C@@H]1[C@@H](CC[C@]2(CO2)[C@H]1[C@@]3(C)O[C@@H]3C\C=C(/C)\CO)OC(=O)N[C@H](C(C)C)C(=O)N	CHEMBL3527383	pEC50=8.15
CO[C@@H]1[C@@H](CC[C@]2(CO2)[C@H]1[C@@]3(C)O[C@@H]3C[C@@H]4OC4(C)C)OC(=O)N[C@H](C(C)C)C(=O)N	CHEMBL3527328	pEC50=8.19
OCCNC(=O)c1ccc(cc1)n2c3ccc(F)cc3c4[nH]ncc24	CHEMBL3797259	pIC50=8.2
FC(F)(F)c1cc(c2cncnc2)c3cn[nH]c3c1	CHEMBL3797663	pIC50=8.22
