CN(C1=CC2=NN(C)C(C)=C2C=C1)C1=NC(NC2=CC(=C(C)C=C2)S(N)(=O)=O)=NC=C1	pazopanib
CCNCc1ccc(cc1)C(=O)Nc2ncc(Sc3cc(C(=O)N4CCN(CC4)C(=O)C)c(OC)cc3C)s2	CHEMBL210985	pIC50=7.54
CC1(C)CCc2c(C1)[nH]nc2C(=O)Nc3cnn(c3)[C@@H](C4CC[S+]([O-])CC4)c5ccccc5	CHEMBL3426305	pIC50=7.55
CC(CN(C)C)Nc1ccc2[nH]nc(c3cc4ccc(C)cc4[nH]3)c2c1	CHEMBL1684656	pIC50=7.57
CCN(C(=O)c1ccccc1)c2ccc3c(c2)nc(NC(=O)c4oncc4)n3CCC(=O)N	CHEMBL517901	pIC50=7.57
CN(C(=O)c1ccncc1)c2ccc3c(c2)nc(NC(=O)c4ccc(cc4)C#N)n3CCC(=O)N	CHEMBL485201	pIC50=7.57
CN(Cc1ccc2c(c1)nc(NC(=O)c3ccc(cc3)C#N)n2CCCO)C4CCCCC4	CHEMBL486334	pIC50=7.57
CNc1cc(cc(c1)C2=CNC(=O)C(=C2)NC(=O)c3ccc(cc3)N4CCC[C@H]4CN5CCCC5)C#N	CHEMBL1765784	pKi=7.57
O=C(Nc1cnn(Cc2ccc(cc2)C#N)c1)c3n[nH]c4ccccc34	CHEMBL3263046	pKi=7.57
CN(C(=O)c1ccccc1)c2ccc3N(CCC(=O)N)\C(=N\C(=O)c4ccc(Br)cc4)\Nc3c2	CHEMBL481361	pIC50=7.59
Cc1ccc2cc([nH]c2c1)c3n[nH]c4ccc(NS(=O)(=O)c5cn(C)cn5)cc34	CHEMBL1684524	pIC50=7.59
CC1(C)CCc2c(C1)[nH]nc2C(=O)Nc3cnn(c3)[C@@H](C4CCS(=O)(=O)C4)c5ccccc5	CHEMBL3426301	pIC50=7.6
CN(C(=O)C1CCCCC1)c2ccc3c(c2)nc(NC(=O)c4cccs4)n3CCCN	CHEMBL233338	pIC50=7.6
CN(C(=O)C1CCCCC1)c2ccc3c(c2)nc(NC(=O)c4ccncc4)n3CCC(=O)N	CHEMBL485402	pIC50=7.6
CN(C(=O)c1ccccc1)c2ccc3c(c2)nc(NC(=O)c4cccs4)n3CCC(=O)N	CHEMBL457886	pIC50=7.6
CN(C)CC[C@@H](c1ccccc1)n2cc(NC(=O)c3n[nH]c4cc(ccc34)c5cn[nH]c5)cn2	CHEMBL3263053	pIC50=7.6
CN(C(=O)c1ccccc1)c2ccc3c(c2)nc(NC(=O)c4ccc(nc4)C#N)n3CCC(=O)N	CHEMBL457705	pIC50=7.64
CNc1cncc(c1)C2=CNC(=O)C(=C2)NC(=O)c3ccc(cc3)N4CCCCC4	CHEMBL1765780	pKi=7.64
Cc1ccc2cc([nH]c2c1)c3n[nH]c4ccc(NC5CCN(Cc6ccccc6)CC5)cc34	CHEMBL1684543	pIC50=7.64
CC1CCc2c(C1)[nH]nc2C(=O)Nc3cnn(Cc4ccccc4)c3	CHEMBL3298287	pKi=7.66
CC(C)C(=O)c1ccc(s1)C(=O)\N=C\2/Nc3cc(ccc3N2CCC(=O)N)N(C)C(=O)c4ccccc4	CHEMBL480554	pIC50=7.7
CC(C)CN(C)C(=O)c1ccc2cc([nH]c2c1)c3n[nH]c4ccccc34	CHEMBL1684679	pIC50=7.7
CC(C)c1ccc(NC(=O)c2cccc(c2)c3nn(C4CCCN(C4)C(=O)C=C)c5ncnc(N)c35)cc1	CHEMBL2179788	pIC50=7.7
CN(C(=O)c1ccccc1)c2ccc3N(CCC(=O)N)\C(=N\C(=O)c4ccc(C=O)s4)\Nc3c2	CHEMBL482169	pIC50=7.7
CN(C(=O)c1ccccc1)c2ccc3c(c2)nc(NC(=O)c4ccc(cc4)C#N)n3CCC(=O)N	CHEMBL460824	pIC50=7.7
CNc1cc(F)cc(c1)C2=CNC(=O)C(=C2)NC(=O)c3ccc(cc3)N4CCC[C@H]4CN5CCCC5	CHEMBL1765783	pKi=7.7
CNc1cncc(c1)C2=CNC(=O)C(=C2)NC(=O)c3ccc(cc3)N4CCC[C@H]4CN5CCCC5	CHEMBL1765782	pKi=7.7
COCCCn1c(NC(=O)c2cccc(c2)C#N)nc3cc(CN(C)C4CCCCC4)ccc13	CHEMBL519088	pIC50=7.7
COCc1ccc(cc1)C(=O)Nc2ncc(Sc3cc(C(=O)N4CCN(CC4)C(=O)C)c(OC)cc3C)s2	CHEMBL211291	pIC50=7.7
COc1ccc2nc(Nc3cc(nc(N[C@@H]4CC[C@@H](O)CC4)n3)C(F)(F)c5ccc(F)cc5)sc2c1	CHEMBL2441286	pKi=7.7
C[C@@H](N(C)Cc1ccc2N(CC(C)(C)O)\C(=N\C(=O)c3ccc(s3)c4cn[nH]c4)\Nc2c1)C(C)(C)C	CHEMBL495181	pIC50=7.7
