COC1=CC=C(CN([C@@H](C)C2=NC(=CN2)C2=CC=CC=C2)C(=O)[C@@H](N)CC2=C(C)C=C(C=C2C)C(N)=O)C=C1C(O)=O	eluxadoline	pKi=8.76955128	pKi=8.76955128	pKi=8.76955128	pEC50=9.0
CC[C@H]([C@@H](C)CN(C)C)C1=CC(O)=CC=C1	tapentadol	pKi=7.01772881	pKi=7.01772881	pKi=7.01772881
[H][C@@]12CC3=CC=C(O)C=C3[C@@](C)(CCCCC1)[C@H]2N	dezocine	pEC50=7.42	pEC50=7.42	pEC50=7.42
CCOC(=O)C1(CCN(C)CC1)c2ccccc2	pethidine	pKi=6.04	pKi=6.04	pKi=6.04
[H][C@@]12CC3=C(C=C(O)C=C3)[C@]3(CCCC[C@@]13[H])CCN2C	levorphanol	pKi=9.68	pKi=9.68	pKi=9.68	pKi=9.68
COC1=CC=CC(=C1)[C@@]1(O)CCCC[C@@H]1CN(C)C	tramadol	pKi=5.8	pKi=5.8	pKi=5.8
[H][C@@]12CC3=C(C=C(O)C=C3)[C@]3(CCCC[C@@]13[H])CCN2CC=C	levallorphan	pKi=9.32	pKi=9.32	pKi=9.32	pKi=8.77
[H][C@@]12OC3=C4C(C[C@@]5([H])N(C)CC[C@@]14[C@@]5([H])CCC2=O)=CC=C3O	hydromorphone	pKi=9.55	pKi=9.55	pKi=9.55	pKi=9.55
[H][C@@]12OC3=C4C(C[C@@]5([H])N(C)CC[C@@]14[C@@]5([H])CCC2=O)=CC=C3OC	hydrocodone	pKi=8.02	pKi=8.02	pKi=8.02	pKi=8.02
[H][C@@]12OC3=C4C(C[C@@]5([H])N(C)CC[C@@]14[C@@]5([H])C=C[C@@H]2O)=CC=C3OC	codeine	pKi=6.14	pKi=6.14	pKi=6.14
[H][C@@]12OC3=C4C(C[C@@]5([H])N(C)CC[C@@]14[C@@]5([H])CC[C@@H]2O)=CC=C3OC	dihydrocodeine
[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CC[N+](C)(CC3CC3)[C@]([H])(C4)[C@]1(O)CCC2=O	methylnaltrexone	pKi=7.55	pKi=7.55	pKi=7.55
CCC(=O)N(C1=CC=CC=C1)C1(COC)CCN(CCC2=CC=CS2)CC1	sufentanil	pEC50=8.13	pEC50=8.13	pEC50=8.13
CCC(=O)N(C1=CC=CC=C1)C1(CCN(CCC(=O)OC)CC1)C(=O)OC	remifentanil
[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@H](C4)[C@]1(O)CCC2=O	oxymorphone	pKi=9.4437	pKi=9.4437	pKi=9.4437
[H][C@@]12OC3=C4C(C[C@@]5([H])N(C)CC[C@@]14[C@@]5(O)CCC2=O)=CC=C3OC	oxycodone	pKi=7.7959	pKi=7.7959	pKi=7.7959
[H][C@@]12OC3=C4C(C[C@@]5([H])N(CC=C)CC[C@@]14[C@@]5(O)CCC2=O)=CC=C3O	naloxone	pKi=8.81	pKi=8.81	pKi=8.81	pIC50=7.7
[H][C@@]12OC3=C4C(C[C@@]5([H])N(CC6CCC6)CC[C@@]14[C@@]5(O)CC[C@@H]2O)=CC=C3O	nalbuphine	pKi=8.8	pKi=8.8	pKi=8.8	pIC50=7.62
[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(C)[C@]([H])(C4)[C@]1([H])C=C[C@@H]2O	morphine	pEC50=7.86	pEC50=7.86	pEC50=7.86	pKi=7.42
[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(CC3CC3)[C@]([H])(C4)[C@]1(O)CCC2=O	naltrexone	pKi=9.38	pKi=9.38	pKi=9.38	pIC50=7.81
CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c2ccccc2	methadone	pKi=8.78	pKi=8.78	pKi=8.78	pIC50=8.39
CN(C)C(=O)C(CCN1CCC(O)(CC1)c2ccc(Cl)cc2)(c3ccccc3)c4ccccc4	loperamide	pKi=8.8239	pKi=8.8239	pKi=8.8239	pIC50=8.84
CC[C@H](OC(=O)C)C(C[C@H](C)N(C)C)(c1ccccc1)c2ccccc2	levomethadyl acetate
CCC(=O)N(C1CCN(CCC2=CC=CC=C2)CC1)C1=CC=CC=C1	fentanyl	pEC50=9.0014	pEC50=9.0014	pEC50=9.0014
CCOC(=O)C1(CCN(CCC(C#N)(C2=CC=CC=C2)C2=CC=CC=C2)CC1)C1=CC=CC=C1	diphenoxylate	pIC50=7.1674	pIC50=7.1674	pIC50=7.1674
[H][C@@](C)(CN(C)C)[C@](CC1=CC=CC=C1)(OC(=O)CC)C1=CC=CC=C1	dextropropoxyphene
CO[C@@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]4Cc5ccc(O)c6O[C@@H]2[C@]3(CCN4CC7CC7)c56	buprenorphine	pKi=8.29	pKi=8.29	pKi=8.29	pKi=8.82
CCOC(=O)C1(CCN(CCC2=CC=C(N)C=C2)CC1)C1=CC=CC=C1	anileridine
C[C@H]1CN(C[C@H](CC2=CC=CC=C2)C(=O)NCC(O)=O)CC[C@@]1(C)C1=CC(O)=CC=C1	alvimopan	pKi=9.3979	pKi=9.3979	pKi=9.3979	pKi=9.33
CCN1N=NN(CCN2CCC(COC)(CC2)N(C(=O)CC)C2=CC=CC=C2)C1=O	alfentanil	pEC50=8.5	pEC50=8.5	pEC50=8.5
[H]C1(C=CCCC1(C(=O)OCC)C1=CC=CC=C1)N(C)C	tilidine	pEC50=5.1	pEC50=5.1	pEC50=5.1
CCC(=O)N(C(C)CN1CCCCC1)C1=CC=CC=N1	propiram
CCC1(CCCCN(C)C1)C1=CC(O)=CC=C1	meptazinol	pEC50=8.06	pEC50=8.06	pEC50=8.06
[H][C@@]12CC3=C(C=C(O)C=C3)[C@]3(CCCC[C@@]13O)CCN2CC1CCC1	butorphanol	pKi=9.92	pKi=9.92	pKi=9.92	pKi=9.66
[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(CC3CC3)[C@]([H])(C4)[C@]1(O)CCC2=C	nalmefene	pKd=9.53	pKd=9.53	pKd=9.53	pKi=9.04
[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(CC=C)[C@]([H])(C4)[C@]1(O)CC[C@@H]2OCCOCCOCCOCCOCCOCCOCCOC	naloxegol
OC(=O)C1(CCN(CCC(C#N)(C2=CC=CC=C2)C2=CC=CC=C2)CC1)C1=CC=CC=C1	difenoxin
[H][C@@]1(CCCC[C@H]1O)[C@@H](N(C)C)C1=CC(O)=CC=C1	ciramadol
CCC(OC(C)=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C1=CC=CC=C1	acetylmethadol
[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(CC3CC3)[C@]([H])(C4)[C@]1(O)CC(C(=O)NC(C)(C)C1=NC(=NO1)C1=CC=CC=C1)=C2O	naldemedine
CCC1C(=O)N(C2CCN(CC2)C(C)CC(c3ccccc3)c4ccccc4)c5ccccc15	CHEMBL3262550	pKi=7.0
CCNC(=O)c1ccc(cc1)C(=C2CC3CCC(C2)N3Cc4c[nH]cn4)c5ccccc5	CHEMBL416680	pKi=7.0
CN(C)CCNCc1ccc(cc1)c2ccccc2S(=O)(=O)N3CCCC3	CHEMBL1818331	pKi=7.0
COCCN(C1C(C=Cc2ccccc12)N3CCN(CC3)c4ccccc4)C(=O)c5sccc5Cl	CHEMBL460631	pIC50=7.0
COc1ccc(C)c(OC(CCN2CCC(CC2)N3C(=O)N(CC(=O)NCC4CC4)c5ccccc35)C(C)C)c1	CHEMBL393138	pKi=7.0
COc1ccc(C)c(OC(CCN2CCC(CC2)N3C(=O)N(Cc4ncn(C)n4)c5ccccc35)C(C)C)c1	CHEMBL406409	pKi=7.0
COc1ccc(C)c(OC(CCN2CCC(CC2)N3C(=O)N(Cc4ncsn4)c5ccccc35)C(C)C)c1	CHEMBL261839	pKi=7.0
Cc1cc(C)cc(c1)[C@H]2CCCN2Cc3ccc(Oc4ccc(cc4F)C(=O)N)cc3	CHEMBL1921848	pKi=7.0
Cc1nn(c2CC(C)(C)CC(=O)c12)c3ccc(Cl)cc3Br	CHEMBL3325715	pEC50=7.0
Cc1nn(c2CC(C)(C)CC(O)c12)c3ccc(Br)cc3Br	CHEMBL3325841	pEC50=7.0
Clc1ccccc1C(N2C3CCC2CC(C3)(c4ccccc4)c5nc[nH]n5)c6ccccc6Cl	CHEMBL513660	pKi=7.0
N[C@@H](Cc1ccc(O)cc1)C(=O)N2CCC[C@H]2C(=O)NC[C@H](Cc3ccccc3)C(=O)NC[C@H](Cc4ccccc4)C(=O)N.OC(=O)C(F)(F)F	CHEMBL2409172	pKi=7.0
O=C(CCCCCCCCCCC(=O)Oc1ccc2C[C@@H]3[C@@H]4CCCC[C@]4(CCN3CC5CCC5)c2c1)Oc6ccc7C[C@@H]8[C@@H]9CCCC[C@]9(CCN8CC%10CCC%10)c7c6	CHEMBL424328	pIC50=7.0
CCCCO[C@@]1(CCCC[C@@H]1CN(C)C)c2cccc(O)c2	CHEMBL270570	pIC50=7.01
CCCC[C@@]12CCN(C)C[C@@H]1Oc3ccc(O)cc23	CHEMBL2386892	pKi=7.01
CC[C@H](NC(=O)c1c(CN2CCN(CC2)C(C)C)c(nc3ccccc13)c4ccccc4)c5ccccc5	CHEMBL47713	pKi=7.01
CC1(C)CCC(N2CCC3(CC2)N(CN(CCNC4CCCC4)C3=O)c5ccccc5)c6ccccc16	CHEMBL515091	pKi=7.02
CCNC(=O)c1ccc(cc1)C(=C2CC3CCC(C2)N3)c4cccc(OC)c4	CHEMBL64933	pKi=7.02
CN([C@H]1CC[C@@]2(CCCO2)C[C@@H]1N3CCCC3)C(=O)Cc4ccc(Cl)c(Cl)c4	CHEMBL70586	pKi=7.02
CN1CC[C@]2(CCc3ccccc3F)[C@H](C1)Oc4ccc(O)cc24	CHEMBL2386895	pKi=7.02
COc1ccc(C)c(OC(CCN2CCC(CC2)N3C(=O)N(Cc4onc(C)n4)c5ccccc35)C(C)C)c1	CHEMBL259157	pKi=7.02
COc1ccc2C[C@H]3N(CC4CC4)CC[C@@]56[C@@H](Oc1c25)[C@@]7(CC[C@@]36C[C@@H]7COCc8ccc(cc8)C(F)(F)F)OC	CHEMBL3664529	pKi=7.02
Cc1cc(O)cc(C)c1C[C@H](N)C(=O)N2Cc3ccccc3C[C@H]2CN=[N+]=[N-]	CHEMBL76846	pIC50=7.02
C(Nc1ccc2C[C@@H]3[C@@H]4CCCC[C@]4(CCN3CC5CCC5)c2c1)c6ccc7OCOc7c6	CHEMBL2048764	pIC50=7.03
CC1(O)CCN(Cc2ccc(cc2)c3ccccc3S(=O)(=O)N4CCCC4)CC1	CHEMBL1818233	pKi=7.03
CCNC(=O)c1ccc(cc1)C(=C2CC3CCC(C2)N3CCOc4ccccc4)c5ccccc5	CHEMBL67088	pKi=7.03
C[C@H]1CN2C[C@@H](N(C[C@H]2C[C@@]1(C)c3cccc(O)c3)C(=O)C)c4ccccc4	CHEMBL218706	pKi=7.03
OC1(CC2CCC(C1)N2C(c3ccccc3)c4ccccc4)c5ccccc5	CHEMBL511920	pKi=7.03
Oc1ccc2O[C@H]3CN(CCc4cccc(c4)C(F)(F)F)CC[C@@]3(CCCc5ccccc5)c2c1	CHEMBL3409108	pKi=7.03
CC(C)C1CCC(CC1)N2CCC(CC2)N3c4ccccc4CN(CC(=O)N)S3(=O)=O	CHEMBL186822	pKi=7.04
CCCCC[C@@]12CCN(C)C[C@@H]1Oc3ccc(O)cc23	CHEMBL2386893	pKi=7.04
CC[C@]12CCN(CC3CC3)C([C@@H]1C)C(=O)c4ccc(N)cc24	CHEMBL169346	pEC50=7.04
NC(=O)c1ccc(Oc2ccc3CCN(CCc4ccccc4)CCc3c2)nc1	CHEMBL237294	pKi=7.04
O=C1Cc2ccccc2N1C3CCN(Cc4ccccc4)CC3	CHEMBL320874	pKi=7.04
O=S1(=O)NCc2ccccc2N1C3CCN(CC3)C4CCC5CCCCC5C4	CHEMBL184234	pKi=7.04
CC(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@H](CC1CCCCC1)C(=O)N[C@H]2CC[C@H]3CCC[C@H](N3C2=O)C(=O)N[C@H](CCCN=C(N)N)C(=O)N[C@H](Cc4ccc(Cl)cc4)C(=O)N	CHEMBL3144469	pKi=7.05
CC(C)C1CCC(CC1)N2CCC(CC2)N3c4ccccc4CNS3(=O)=O	CHEMBL184127	pKi=7.05
CC(C)C[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc2ccccc2)N(C)C(=O)CNC(=O)[C@@H](C)NC(=O)[C@@H](N)Cc3ccc(O)cc3)C(=O)N[C@@H](Cc4c[nH]c5ccccc45)C(=O)NCc6cc(cc(c6)C(F)(F)F)C(F)(F)F	CHEMBL3736285	pIC50=7.05
CN1CC[C@]23[C@H]4Oc5c(O)ccc(CC1[C@]2(O)Cc6c7CCCCc7n(Cc8ccccc8)c46)c35	CHEMBL221421	pKi=7.05
COC1CCN(Cc2ccc(cc2)c3ccccc3S(=O)(=O)N4CCCC4)CC1	CHEMBL1818330	pKi=7.05
COc1ccc2C[C@H]3N(C)CC[C@@]45[C@@H](Oc1c24)[C@@]6(CC[C@@]35C[C@@H]6COCC7CCCCC7)OC	CHEMBL3664514	pKi=7.05
COc1ccc2C[C@H]3N(CC4CC4)CC[C@@]56[C@@H](Oc1c25)[C@@]7(CC[C@@]36C[C@@H]7COc8ccccc8)OC	CHEMBL3664521	pKi=7.05
C[C@H]1CN2CCN(Cc3ccc4ccccc4c3)C[C@H]2C[C@@]1(C)c5cccc(O)c5	CHEMBL218136	pKi=7.05
Clc1cccc(Cl)c1CN2CCC3(CC2)N(CN(CCNCC4CC4)C3=O)c5ccccc5	CHEMBL472669	pKi=7.05
O=C(CCCCCCC(=O)Oc1ccc2C[C@@H]3[C@@H]4CCCC[C@]4(CCN3CC5CCC5)c2c1)Oc6ccc7C[C@@H]8[C@@H]9CCCC[C@]9(CCN8CC%10CCC%10)c7c6	CHEMBL405131	pIC50=7.05
O=C(CCCCCCCCC(=O)Oc1ccc2C[C@@H]3[C@@H]4CCCC[C@]4(CCN3CC5CC5)c2c1)Oc6ccc7C[C@@H]8[C@@H]9CCCC[C@]9(CCN8CC%10CC%10)c7c6	CHEMBL358104	pIC50=7.05
CC(C)C(Oc1cc(C)ccc1Cl)C(O)CN2CCC(CC2)n3c(O)nc4ccccc34	CHEMBL182144	pKi=7.06
CCN(CC)C(=O)c1ccc(cc1)N(C2CCN(C)CC2)c3cccc(O)c3	CHEMBL571324	pKi=7.06
CCN(CC)C(=O)c1ccc(cc1)N(C2CCN(CCc3ccccc3)CC2)c4cccc(O)c4	CHEMBL569755	pKi=7.06
CCN(CC)C(=O)c1ccc(cc1)N(C2CCN(Cc3ccccc3)CC2)c4cccc(O)c4	CHEMBL567604	pKi=7.06
CN1C[C@@H]2CN(c3ccccc3)C4(CCN(CC4)C5CCCCCCCCC5)[C@@H]2C1	CHEMBL315551	pKi=7.06
