CC(OC(C)=O)C(=O)OCC[N+](C)(C)C	aclatonium
C[N+]1(C)CCC(C1)OC(=O)C(O)(C1CCCC1)C1=CC=CC=C1	glycopyrronium bromide	pKi=9.68999958	pKi=9.68999958	pKi=9.68999958	pIC50=9.9
CN1[C@H]2C[C@H](C[C@@H]1[C@H]1O[C@@H]21)OC(=O)[C@H](CO)C1=CC=CC=C1	scopolamine	pKi=9.0	pKi=9.0	pKi=9.0	pKi=8.13
CC[N+](C)(CC)CCOC(=O)C(O)(C1CCCCC1)C1=CC=CC=C1	oxyphenonium
CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)[C@H](CO)C1=CC=CC=C1	hyoscyamine	pKi=9.0	pKi=9.0	pKi=9.0
CCN(CC)C(C)CN1C2=CC=CC=C2SC2=C1C=CC=C2	profenamine
OC(CCN1CCCCC1)(C1CCCC1)C1=CC=CC=C1	cycrimine
CC1OC2(CS1)CN1CCC2CC1	cevimeline	pEC50=7.6383	pEC50=7.6383	pEC50=7.6383
CN1[C@@H]2CC[C@H]1C[C@H](C2)OC(c3ccccc3)c4ccccc4	benzatropine	pKi=9.6364	pKi=9.6364	pKi=9.6364	pIC50=9.26
[H][C@]12CC[C@]([H])(C[C@@]([H])(C1)OC(=O)C(CO)C1=CC=CC=C1)N2C	atropine	pKi=9.31	pKi=9.31	pKi=9.31	pKi=8.7
OC(CCN1CCCC1)(C1CCCCC1)C1=CC=CC=C1	procyclidine	pKi=8.33724213	pKi=8.33724213	pKi=8.33724213
CCCC(CCC)C(=O)O[C@@H]1C[C@@H]2CC[C@H](C1)[N+]2(C)C	octatropine methylbromide
CC(C)[N+](C)(CCOC(=O)C1C2=CC=CC=C2OC2=C1C=CC=C2)C(C)C	propantheline	pKi=9.69999981	pKi=9.69999981	pKi=9.69999981
C[N+]1(C)CCN(CC(O)(C2CCCCC2)C2=CC=CC=C2)CC1	hexocyclium	pKi=8.60000038	pKi=8.60000038	pKi=8.60000038
OC(CCCN1CCCCC1)(c2ccccc2)c3ccccc3	diphenidol	pKi=7.1079054	pKi=7.1079054	pKi=7.1079054	pKi=7.11
CCN(CC)CCOC(=O)C1(CCCCC1)C2CCCCC2	dicycloverine	pKi=9.07883395	pKi=9.07883395	pKi=9.07883395	pIC50=8.46
C[N+]1(C)CCC(CC1)=C(C1=CC=CC=C1)C1=CC=CC=C1	diphemanil
OC(CCN1CCCCC1)(C2CCCCC2)c3ccccc3	trihexyphenidyl	pIC50=8.89	pIC50=8.89	pIC50=8.89	pIC50=8.25	pIC50=8.89
CN1CCCC(CC2C3=CC=CC=C3SC3=C2C=CC=C3)C1	metixene
C[N+]1(C)[C@H]2C[C@@H](C[C@@H]1[C@H]1O[C@@H]21)OC(=O)[C@H](CO)C1=CC=CC=C1	methscopolamine	pIC50=8.75
CC[N+](CC)(CC)CCC(O)(C1CCCCC1)C1=CC=CC=C1	tridihexethyl
CN1CCN(CC(=O)N2C3=CC=CC=C3C(=O)NC3=C2N=CC=C3)CC1	pirenzepine	pKi=7.68	pKi=7.68	pKi=7.68	pIC50=7.31
C[N+]1(C)CCCC(C1)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1	mepenzolate
CN1CCCN=C1COC(=O)C(O)(C1CCCCC1)C1=CC=CC=C1	oxyphencyclimine
C[N+]12CCC(CC1)C(C2)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1	clidinium
CC(C)[N+](C)(CCC(C(N)=O)(C1=CC=CC=C1)C1=CC=CC=C1)C(C)C	isopropamide
CCN(CC)CC#CCOC(=O)C(O)(C1CCCCC1)c2ccccc2	oxybutynin	pKi=9.0	pKi=9.0	pKi=9.0	pIC50=8.45
[H]C1(CC2CC1C=C2)C(O)(CCN1CCCCC1)C1=CC=CC=C1	biperiden	pKd=9.3199997	pKd=9.3199997	pKd=9.3199997
CC[N+](C)(CC)CCOC(=O)C1C2=CC=CC=C2OC2=C1C=CC=C2	methantheline
CC[N+](C)(CC)CCOC(=O)C1C2=CC=CC=C2OC2=C1C=CC=C2	methanthelinium
C1CN2CCC1C(=C2)c3oc4ccccc4n3	CHEMBL144751	pKi=7.0
CC(C)(C)c1ccc(cc1)C(=O)CCCN2CCC(CC2)OC(c3ccccc3)c4ccccc4	CHEMBL305660	pKi=7.0
CCN1CCC(=C(C1)C(=O)OCCc2ccc(F)cc2)c3ccccc3	CHEMBL2312392	pKi=7.0
CN1CCN(CC1)C2=Nc3cc(Cl)ccc3Nc4ccccc24	clozapine	pKi=7.0
CN1CCN(CC1)C2=Nc3ccccc3Nc4sc(C)cc24	olanzapine	pKi=7.0
CO\N=C(/C#N)\C12CCCN(CC1)C2	CHEMBL135645	pIC50=7.0
COc1nsnc1OCCCOCCCOCCCOc2nsnc2c3cccnc3	CHEMBL376295	pKi=7.0
OCCCCCCCC1CCN(CCCN2C(=O)CCc3ccccc23)CC1	CHEMBL3354074	pEC50=7.0
OCCOCCN1CCN(CC1)C2=Nc3ccccc3Sc4ccccc24	quetiapine	pKi=7.0
O[C@H]1CCCC[C@@H]1NC(=O)c2cn(Cc3ccc(cc3)n4cccn4)c5cccnc25	CHEMBL3745973	pEC50=7.0
