CCOC1=CC2=C(C=C1)N=C(S2)S(N)(=O)=O	ethoxzolamide	pKi=7.6	pKi=8.7	pKi=7.6	pKi=8.7	pKi=7.6	pKi=8.7	pKi=7.6
CC(=O)Nc1nnc(s1)S(=O)(=O)N	acetazolamide	pKd=6.0
CCN(CC)c1ccc2c(Oc3cc(ccc3C24N(CCc5ccc(cc5)S(=O)(=O)N)C(=O)c6ccccc46)N(CC)CC)c1	CHEMBL1822702	pKi=6.0
Cc1ccc2c(SCc3cnn(c4ccc(cc4)S(=O)(=O)N)c23)n1	CHEMBL2179304	pKi=6.0
NS(=O)(=O)C(F)(F)c1ccc(Br)cc1	CHEMBL370854	pKi=6.01
Oc1ccc(\C=C\C(=O)OCc2ccccc2)cc1	CHEMBL1095574	pKi=6.01
CC1(C)O[C@@H]2CO[C@@]3(CNC(=S)Nc4ccc(cc4Cl)S(=O)(=O)N)OC(C)(C)O[C@H]3[C@@H]2O1	CHEMBL232816	pKi=6.03
COc1cc(\C=C\C(=O)OCCc2cccc(O)c2)ccc1O	CHEMBL3628210	pKi=6.03
COc1ccc2c(SCc3cnn(c4ccc(cc4)S(=O)(=O)N)c23)c1	CHEMBL2179308	pKi=6.04
Cc1onc(c2ccccc2)c1c3ccc(cc3)S(=O)(=O)N	CHEMBL865	pKi=6.04
NS(=O)(=O)c1cc(ccc1Cl)C2(O)NC(=O)c3ccccc23	CHEMBL1055	pKi=6.04
NS(=O)(=O)c1ccc(CCNc2nc(F)nc(NCC(=O)O)n2)cc1	CHEMBL2443318	pKi=6.04
ONC(=O)Nc1ccc(Cl)c(Cl)c1	CHEMBL213348	pKi=6.04
CC1Cc2ccccc2N1NC(=O)c3ccc(Cl)c(c3)S(=O)(=O)N	CHEMBL406	pKi=6.05
COc1cc(\C=C\C(=O)OCc2ccccc2)ccc1O	CHEMBL457076	pKi=6.06
CC1(C)O[C@@H]2CO[C@@]3(CNC(=S)Nc4ccc(cc4F)S(=O)(=O)Nc5nnc(s5)S(=O)(=O)N)OC(C)(C)O[C@H]3[C@@H]2O1	CHEMBL395981	pKi=6.07
CNc1nc(NC)nc(Nc2ccc(cc2)S(=O)(=O)N)n1	CHEMBL186716	pKi=6.07
Oc1ccc(CCOC(=O)\C=C\c2ccc(O)cc2)cc1	CHEMBL3628211	pKi=6.07
Oc1cccc(CCOc2cccc(CCOC(=O)\C=C\c3ccc(O)c(O)c3)c2)c1	CHEMBL3628132	pKi=6.07
NCCCNCCCCNCCCN	CHEMBL23194	pKi=6.08
O=S1(=O)Oc2cc(OCc3ccccc3)ccc2C=C1	CHEMBL2407304	pKi=6.08
CCCCCCCCCCOS(=O)(=O)N	CHEMBL153094	pKi=6.09
CNc1nc(F)nc(Nc2ccc(cc2)S(=O)(=O)N)n1	CHEMBL2443316	pKi=6.09
COc1cc(\C=C\C(=O)OCCc2ccc(O)cc2)ccc1O	CHEMBL481245	pKi=6.09
Cc1ccc(cc1)c2cc(nn2c3ccc(cc3)S(=O)(=O)N)C(F)(F)F	CHEMBL118	pKi=6.1
Oc1ccc(CCOc2ccc(CCOC(=O)\C=C\c3ccc(O)c(O)c3)cc2)cc1	CHEMBL3628131	pKi=6.1
Oc1ccc2C=CS(=O)(=O)Oc2c1	CHEMBL2407310	pKi=6.1
NS(=O)(=O)C(F)(F)c1ccccc1	CHEMBL371870	pKi=6.11
NS(=O)(=O)c1cccc(c1)[N+](=O)[O-]	CHEMBL367035	pIC50=6.11
NS(=O)(=O)Oc1ccc2C3=C(CCCCC3)C(=O)Oc2c1	CHEMBL286738	pKi=6.12
NS(=O)(=O)c1cc2c(NC(NS2(=O)=O)C(Cl)Cl)cc1Cl	CHEMBL1054	pKi=6.12
CC(CCc1ccc(O)cc1)NCCc2ccc(O)c(O)c2	CHEMBL926	pKi=6.14
Oc1ccc(\C=C\C(=O)OCCc2cccc(O)c2)cc1	CHEMBL3628212	pKi=6.14
CC(=O)Oc1ccc2C=CS(=O)(=O)Oc2c1	CHEMBL2407316	pKi=6.15
