[H][C@]12O[C@](O)([C@H](C)C[C@@H]1OC)C(=O)C(=O)N1CCCC[C@@]1([H])C(=O)O[C@@H]([C@@H](C)[C@@H](O)CC(=O)[C@H](CC=C)\C=C(C)\C[C@H](C)C[C@@H]2OC)C(\C)=C\[C@@H]1CC[C@@H](O)[C@@H](C1)OC	tacrolimus	pKd=9.398	pKd=9.398	pKd=9.398	pIC50=6.0
[H][C@@](C)(C[C@]1([H])CC[C@@]([H])(O)[C@@]([H])(C1)OC)[C@]1([H])CC(=O)[C@]([H])(C)\C=C(C)\[C@@]([H])(O)[C@@]([H])(OC)C(=O)[C@]([H])(C)C[C@]([H])(C)\C=C\C=C\C=C(C)\[C@]([H])(C[C@]2([H])CC[C@@]([H])(C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@@]2([H])C(=O)O1)OC	sirolimus	pKd=8.96	pKd=8.96	pKd=8.96	pIC50=8.8
[H][C@]12O[C@](O)([C@H](C)C[C@@H]1OC)C(=O)C(=O)N1CCCC[C@@]1([H])C(=O)O[C@@H]([C@H](C)[C@@H](O)CC(=O)[C@H](CC)\C=C(C)\C[C@H](C)C[C@@H]2OC)C(\C)=C\[C@@H]1CC[C@H](Cl)[C@@H](C1)OC	pimecrolimus	pKd=9.0	pKd=9.0	pKd=9.0
[H][C@@](C)(C[C@]1([H])CC[C@@]([H])(OCCO)[C@@H](C1)OC)[C@]1([H])CC(=O)[C@H](C)\C=C(C)\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\C=C\C=C\C=C(C)\[C@H](C[C@]2([H])CC[C@@]([H])(C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@@]2([H])C(=O)O1)OC	everolimus	pIC50=8.25964	pIC50=8.25964	pIC50=8.25964
[H][C@@](C)(C[C@]1([H])CC[C@@]([H])(OC(=O)C(C)(CO)CO)[C@@]([H])(C1)OC)[C@]1([H])CC(=O)[C@]([H])(C)\C=C(C)\[C@@]([H])(O)[C@@]([H])(OC)C(=O)[C@]([H])(C)C[C@]([H])(C)\C=C\C=C\C=C(C)\[C@]([H])(C[C@]2([H])CC[C@@]([H])(C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@@]2([H])C(=O)O1)OC	temsirolimus
CCN(CC)c1ccc(cc1)C(=O)C(=O)N2C3CCCC2C(=O)N4CCc5cc(OC)cc(OC)c5C34	CHEMBL202357	pKi=6.0
COc1ccc(CC[C@@H](OC(=O)[C@@H]2CCCCN2C(=O)[C@H](CC=C)C3CCCCC3)c4cccc(OCC(=O)O)c4)cc1OC	CHEMBL3623616	pKi=6.0
COc1ccc(CC[C@@H](OC(=O)[C@@H]2CCCCN2S(=O)(=O)c3cc(F)cc(F)c3)c4cccc(OCC(=O)O)c4)cc1OC	CHEMBL2058238	pIC50=6.0
O=C(OCCCc1ccccc1)[C@@H]2CCCN2C(=O)NC34C[C@@H]5C[C@@H](C[C@@H](C5)C3)C4	CHEMBL287680	pKi=6.0
CC(C)(C)CC(=O)C(=O)N1CCCC[C@H]1C(=O)OCCC\N=C(/S)\N=C\2/C=CC(=C3c4ccc(O)cc4Oc5cc(O)ccc35)C(=C2)C(=O)O	CHEMBL152022	pIC50=6.01
COc1ccc(CC[C@@H](OC(=O)[C@@H]2CCCCN2C(=O)[C@@H](C3CCCCC3)c4ccccc4)c5cccc(OCC(=O)O)c5)cc1OC	CHEMBL3623615	pKi=6.05
COc1cc2CCN3C(=O)[C@@H]4CCCC(N4S(=O)(=O)c5cc(Cl)cc(Cl)c5)[C@@]3(C)c2c(OC)c1	CHEMBL2348607	pKi=6.06
Oc1c(Cl)cc(cc1Cl)S(=O)(=O)N2CCCC[C@H]2C(=O)OC(CCCc3cccnc3)CCCc4cccnc4	CHEMBL2058800	pIC50=6.06
Fc1ccc(CCCOC(=O)[C@@H]2CCCN2\C(=N\C34C[C@@H]5C[C@@H](C[C@@H](C5)C3)C4)\S)cc1	CHEMBL285079	pKi=6.07
CCC(C)(C)C(=O)C(=O)N1CCC[C@H]1C(=O)NCCCc2cccnc2	CHEMBL326317	pKi=6.09
O=C(OCCCc1ccccc1)[C@@H]2CCCN2C(=O)Nc3ccccc3	CHEMBL285557	pKi=6.09
CC(C)(C)CNC(=O)N1CCCC[C@H]1C(=O)OCc2ccccc2	CHEMBL293294	pKi=6.1
CCC(C)(C)C(=O)C(=O)N1CCC[C@H]1C(=O)O[C@H](CCc2ccc(OC)c(OC)c2)c3cccc(OCC(=O)O)c3	CHEMBL2058801	pIC50=6.1
COc1ccc(CC[C@@H](OC(=O)[C@@H]2CCCCN2S(=O)(=O)c3cc(Cl)cc(Cl)c3)c4cccc(OCC(=O)O)c4)cc1OC	CHEMBL2058234	pIC50=6.1
COc1cc2CCN3C(C4CCCC(N4C(=O)N(c5ccc(cc5)[N+](=O)[O-])c6ccc(cc6)[N+](=O)[O-])C3=O)c2c(OC)c1	CHEMBL370344	pKi=6.11
O=C(OCCCC1CCCCC1)C2CCCCN2C(=O)C(=O)C3CCCCC3	CHEMBL146804	pKi=6.12
CCC(C)(C)NC(=O)N1CCCC1C(=O)OCCCc2cccnc2	CHEMBL148555	pKi=6.13
COc1ccc(CC[C@@H](OC(=O)[C@@H]2CCCCN2S(=O)(=O)c3ccc4NC(=O)Oc4c3)c5cccc(OCC(=O)O)c5)cc1OC	CHEMBL2058789	pIC50=6.13
Fc1ccc(CCCOC(=O)C2CCCCN2S(=O)(=O)c3ccccc3)cc1	CHEMBL285482	pKi=6.13
O=C(NCCCc1ccccc1)C2CCCCN2S(=O)(=O)c3ccccc3	CHEMBL286152	pKi=6.14
O=C(OCCCc1cccnc1)C2CCCCN2C(=O)C(=O)c3ccccc3	CHEMBL6714	pKi=6.14
COc1ccc(CC[C@@H](OC(=O)[C@@H]2CCCCN2S(=O)(=O)c3cc(Cl)c(O)c(Cl)c3)c4cccc(OCC(=O)O)c4)cc1OC	CHEMBL2058494	pIC50=6.17
COc1ccc(CC[C@@H](OC(=O)[C@@H]2CCCCN2S(=O)(=O)c3ccc4NC(=O)Cc4c3)c5cccc(OCC(=O)O)c5)cc1OC	CHEMBL2058788	pIC50=6.18
