Cc1ccc(CN2C(=O)COc3ccc(\C=C\4/SC(=S)NC4=O)cc23)cc1	CHEMBL241708	pIC50=7.53
CC(=O)Nc1nc(C)c(s1)c2onc(n2)N3CCCC(O)C3	CHEMBL3092376	pIC50=7.54
COC(=O)c1ccc(c(O)c1)c2oc(\C=C\3/SC(=O)NC3=O)cc2	CHEMBL377152	pIC50=7.54
COc1ccc(Nc2ncccc2c3nc(C)nc(N)n3)cn1	CHEMBL2165269	pKi=7.54
Oc1c(F)cc(F)cc1c2ccc(\C=C\3/SC(=O)NC3=O)s2	CHEMBL209159	pIC50=7.54
Oc1c(F)cc(F)cc1c2oc(\C=C\3/SC(=O)NC3=O)cc2	CHEMBL3325884	pIC50=7.54
CC(=O)Nc1nc(C)c(s1)c2onc(CC(F)(F)F)n2	CHEMBL3092367	pIC50=7.55
CC(C)n1nc(c2ccc(C#N)c(O)c2)c3c(N)ncnc13	CHEMBL1241944	pIC50=7.55
COc1ccc(CCCO)c(Nc2nc3ccccc3nc2NS(=O)(=O)c4cn(C)c(CN(C)C)n4)c1	CHEMBL3652162	pIC50=7.55
Cc1c(nc2cc(F)ccc2c1N3CC(C)(C)c4ncc(cc34)c5ccnc(N)n5)c6ccccn6	CHEMBL2171930	pKi=7.55
Cc1ccc(cn1)c2ccc3OCCN(c3c2)c4nc5CC(C)(C)NC(=O)c5s4	CHEMBL469202	pIC50=7.55
O=C(Nc1ccncc1)Nc2ccc(cc2)c3nc(nc(n3)N4CCOCC4)N5CCOCC5	CHEMBL596597	pIC50=7.55
COc1ccc(CCN2C(=O)COc3ccc(\C=C\4/SC(=S)NC4=O)cc23)cc1	CHEMBL398988	pIC50=7.56
FC(F)(F)c1ccc(CN2C(=O)COc3ccc(\C=C\4/SC(=S)NC4=O)cc23)cc1	CHEMBL240620	pIC50=7.56
COc1ccc(CC2CCOCC2)c(Nc3nc4ccccc4nc3NS(=O)(=O)c5cccnc5)c1	CHEMBL3652125	pIC50=7.57
COc1ccc(CCO)c(Nc2nc3ccccc3nc2NS(=O)(=O)c4ccc(NC(=O)CN(C)C)cc4)c1	CHEMBL3652184	pIC50=7.57
CS(=O)(=O)N1CCN(Cc2cn3cc(nc(N4CCOCC4)c3n2)c5cnc(N)nc5C(F)(F)F)CC1	CHEMBL2087479	pKi=7.57
O=C(Nc1ccccc1)Nc2ccc(cc2)c3nc(nc(n3)N4CCOCC4)N5CCOCC5	CHEMBL604908	pIC50=7.57
CNC(=O)c1nc(cnc1N)c2ccc(Cl)c(c2)S(=O)(=O)N	CHEMBL2152132	pIC50=7.59
CNC(=O)c1nc(cnc1N)c2ccc(Cl)c(c2)S(=O)(=O)Nc3ccc(Cl)cc3	CHEMBL2152146	pIC50=7.59
CNC(=O)c1oc(Nc2nc3ccccc3n2c4nc(C)nc(N)n4)cc1	CHEMBL1760165	pIC50=7.59
COc1ccc(CC2CCC(O)CC2)c(Nc3nc4ccccc4nc3NS(=O)(=O)c5ccc(CN(C)C)cc5)c1	CHEMBL3652198	pIC50=7.59
COc1ccc(CCCO)c(Nc2nc3ccccc3nc2NS(=O)(=O)C4CCNCC4)c1	CHEMBL3652213	pIC50=7.59
COc1ccc(CCO)c(Nc2nc3ccccc3nc2NS(=O)(=O)c4ccc(CN(C)C)cc4)c1	CHEMBL3652203	pIC50=7.59
OCc1ccc(NC(=O)Nc2ccc(cc2)c3nc(N4CCOCC4)c5ncccc5n3)cc1	CHEMBL3109142	pIC50=7.59
Oc1cccc(c1)c2nc(N3CCOCC3)c4oc5ncccc5c4n2	CHEMBL573339	pIC50=7.59
CC(=O)Nc1nc(C)c(s1)c2oc(nc2)C(C)(C)O	CHEMBL2204790	pIC50=7.6
CC(C)(C)NS(=O)(=O)c1cncc(c1)c2cc(F)c3nc(N)nn3c2	CHEMBL2064571	pIC50=7.6
CC(C)(C)NS(=O)(=O)c1cncc(c1)c2ccc3nc(N)nn3c2	CHEMBL2059909	pIC50=7.6
CC(C)(C)NS(=O)(=O)c1cncc(c1)c2ccc3nc(NC(=O)NCCn4cccn4)nn3c2	CHEMBL2057364	pIC50=7.6
CC(C)NS(=O)(=O)c1cncc(c1)c2ccn3nc(N)nc3c2	CHEMBL2205765	pIC50=7.6
CC(C)n1c(C)nc2c(nc(nc12)N3CCOCC3)c4cnc(N)nc4	CHEMBL3393066	pIC50=7.6
