[H][C@@]12CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@]3([H])[C@]1([H])OC(C)(C)O2	topiramate
O=C1N(C=C(C=C1C1=C(C=CC=C1)C#N)C1=CC=CC=N1)C1=CC=CC=C1	perampanel
CNC1(CCCCC1=O)C1=C(Cl)C=CC=C1	ketamine
CC(C)(C)c1onc(O)c1C[C@H](N)C(=O)O	CHEMBL27130	pEC50=5.1
N[C@@H](CC1=CCCCc2onc(O)c12)C(=O)O	CHEMBL28472	pEC50=5.14
CC(C)n1nnc(n1)c2onc(O)c2CC(N)C(=O)O	CHEMBL193087	pKi=5.43
CC(C)S(=O)(=O)NCC(C)C1CCC(CC1)c2ccc(cc2)C#N	CHEMBL1097939	pEC50=5.78
CC(C)S(=O)(=O)NCC(C)c1ccc(cc1)c2ccc(cc2)C#N	CHEMBL435582	pEC50=5.78
CCCn1nnc(n1)c2onc(O)c2CC(N)C(=O)O	CHEMBL372643	pKi=5.93
N[C@H](Cc1nsnc1O)C(=O)O	CHEMBL402444	pKi=5.97
NS(=O)(=O)c1cccc2c3nc(O)c(O)nc3cc(c12)[N+](=O)[O-]	CHEMBL222519	pKi=6.05
N[C@@H](CCCNC(=N)N)C(=O)NCCCNCCCNCCCCCNC(=O)[C@H](CC(=O)N)NC(=O)Cc1ccc(O)cc1O	CHEMBL1098240	pIC50=6.64
N[C@@H](Cc1nsnc1O)C(=O)O	CHEMBL429594	pKi=6.8
CCn1nnc(n1)c2onc(O)c2CC(N)C(=O)O	CHEMBL370941	pKi=7.35
NCCCNCCCCNCCC(=O)NCCCCCNC(=O)[C@H](CC(=O)N)NC(=O)Cc1ccc(O)cc1O	CHEMBL313747	pIC50=7.52
Cc1onc(O)c1CC(N)C(=O)O	CHEMBL13378	pKi=7.68
Cc1onc(O)c1C[C@H](N)C(=O)O	CHEMBL276815	pKi=7.69
Cn1nnc(n1)c2onc(O)c2C[C@H](N)C(=O)O	CHEMBL370038	pKi=8.65
