[H][C@@]12CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@]3([H])[C@]1([H])OC(C)(C)O2	topiramate
COc1ccc(NC(=O)Nc2cc(Cl)ccc2C(=O)O)cc1	CHEMBL153851	pIC50=5.0
Cl.Cc1ccc(O[C@H]2CC[C@H]3CN[C@@H](C[C@H]3C2)C(=O)O)c(c1)C(=O)O	CHEMBL2440516	pKi=5.0
OC(=O)[C@@H]1C[C@H]2C[C@H](CC[C@H]2CN1)Oc3cc(ccc3c4nnn[nH]4)c5cccnc5	CHEMBL3088073	pKi=5.0
OC(=O)c1ccc(Cl)cc1NC(=O)Nc2ccccc2	CHEMBL155261	pIC50=5.0
OC(=O)c1ccc(F)cc1NC(=O)Nc2cccc(c2)C(F)(F)F	CHEMBL346339	pIC50=5.0
Cl.OC(=O)[C@@H]1C[C@H]2C[C@H](CC[C@H]2CN1)Oc3cccc(F)c3C(=O)O	CHEMBL2440686	pKi=5.01
OC(=O)c1ccc(Cl)cc1NC(=O)Nc2cccc3ccccc23	CHEMBL155535	pIC50=5.03
OC(=O)[C@@H]1C[C@H]2C[C@H](CC[C@H]2CN1)Nc3cccc(c3)C(=O)O	CHEMBL2440693	pKi=5.1
OC(=O)c1ccc(Cl)cc1NC(=O)Nc2cccc(F)c2	CHEMBL157012	pIC50=5.12
CC(C)COC(=O)[C@@H]1C[C@H]2C[C@H](CC[C@H]2CN1)Oc3ccccc3c4nn[nH]n4	CHEMBL189721	pKi=5.13
NC(Cc1onc(O)c1Cl)C(=O)O	CHEMBL72366	pKi=5.17
Cl.COc1ccc(C(=O)O)c(O[C@H]2CC[C@H]3CN[C@@H](C[C@H]3C2)C(=O)O)c1	CHEMBL2440700	pKi=5.21
Cl.OC(=O)[C@@H]1C[C@H]2C[C@H](CC[C@H]2CN1)Oc3cccc(c3)C(=O)O	CHEMBL2440691	pKi=5.22
N[C@@H](C\C(=C/C1CCCCC1)\C(=O)O)C(=O)O	CHEMBL53702	pKi=5.22
OC(=O)c1ccc(Br)cc1NC(=O)Nc2cccc(c2)C(F)(F)F	CHEMBL346968	pIC50=5.22
Cl.Cc1ccc(C(=O)O)c(O[C@H]2CC[C@H]3CN[C@@H](C[C@H]3C2)C(=O)O)c1	CHEMBL2440701	pKi=5.23
CCCn1nnc(n1)c2onc(O)c2CC(N)C(=O)O	CHEMBL372643	pKi=5.26
N[C@@H](CC(=C1CCCCC1)C(=O)O)C(=O)O	CHEMBL54238	pKi=5.29
OC(=O)c1ccc(Cl)cc1NC(=O)Nc2cccc(c2)C(F)(F)F	CHEMBL154696	pIC50=5.3
OC(=O)c1ccc(Cl)cc1NC(=O)Nc2ccccc2I	CHEMBL155081	pIC50=5.3
NC(Cc1onc(O)c1Br)C(=O)O	CHEMBL73698	pKi=5.32
OC(=O)c1ccc(Cl)cc1NC(=O)Nc2ccc(cc2)C(F)(F)F	CHEMBL422698	pIC50=5.32
OC(=O)c1ccc(Cl)cc1NC(=O)Nc2cccc(Br)c2	CHEMBL154700	pIC50=5.32
OC(=O)c1ccc(Cl)cc1NC(=O)Nc2ccc(I)cc2	CHEMBL155101	pIC50=5.33
OC(=O)c1ccc(Cl)cc1NC(=O)Nc2ccccc2Cl	CHEMBL154202	pIC50=5.33
C\C=C\C[C@H](C[C@H](N)C(=O)O)C(=O)O	CHEMBL294139	pEC50=5.35
OC(=O)c1ccc(Cl)cc1NC(=O)Nc2ccccc2Br	CHEMBL155190	pIC50=5.35
OC(=O)c1ccc(Cl)cc1NC(=O)Nc2ccccc2C(F)(F)F	CHEMBL155492	pIC50=5.35
N[C@@H](C[C@@H](CC=C)C(=O)O)C(=O)O	CHEMBL62057	pEC50=5.36
OC(=O)[C@@H]1C[C@H]2C[C@@H](CCc3nnn[nH]3)CC[C@H]2CN1	CHEMBL14935	pKi=5.38
CCn1c(c(C)c2cc(OC)ccc12)c3ccc(OC)cc3	CHEMBL3104225	pIC50=5.4
COc1cccc(NC(=O)Nc2cc(Cl)ccc2C(=O)O)c1	CHEMBL152120	pIC50=5.43
Cl.OC(=O)[C@@H]1C[C@H]2C[C@H](CC[C@H]2CN1)Sc3ccc(Cl)cc3C(=O)O	CHEMBL2440684	pKi=5.43
CC1(C)CCC/C/1=C(\C[C@H](N)C(=O)O)/C(=O)O	CHEMBL54291	pKi=5.44
CCCC#CC[C@H](C[C@H](N)C(=O)O)C(=O)O	CHEMBL302402	pKi=5.44
