CNC(=O)C1=CC(OC2=CC=C(NC(=O)NC3=CC=C(Cl)C(=C3)C(F)(F)F)C=C2)=CC=N1	sorafenib	pKi=8.22	pKi=8.22	pKi=8.22	pIC50=7.61
OCCN(CCO)S(=O)(=O)c1ccc2NC(=O)\C(=C/c3cc(Br)c(O)c(Br)c3)\c2c1	CHEMBL311402	pIC50=7.54
CNC(=O)c1cc(Oc2ccc3CCC(Cc3c2)C(=O)Nc4ccc(Cl)c(c4)C(F)(F)F)ccn1	CHEMBL1688864	pIC50=7.55
CNC(=O)c1cc(Oc2ccc3c(c2)nc(NCC4CCCCC4)n3C)ccn1	CHEMBL472652	pIC50=7.55
CCNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Br)c(c3)C(F)(F)F)cc2)ccn1	CHEMBL168186	pIC50=7.57
CCn1nc(C#Cc2cc(ccc2C)C(=O)Nc3ccc(CN4CCN(C)CC4)c(c3)C(F)(F)F)c5c(N)ncnc15	CHEMBL3426225	pIC50=7.57
CNC(=O)c1cc(Oc2ccc3oc(Nc4cccc(c4)C(F)(F)F)nc3c2)ccn1	CHEMBL1778391	pIC50=7.57
Oc1ccccc1C2CC(=NN2C(=O)c3ccc(s3)c4ccccn4)c5cccnc5	CHEMBL1778666	pIC50=7.57
CCNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)cc2)ccn1	CHEMBL350129	pIC50=7.59
CN(C)C(=O)Oc1cc2OC(=O)C(=C(C)c2cc1Cl)Cc3cccc(NS(=O)(=O)N)c3	CHEMBL3086064	pIC50=7.59
CNc1nccc(n1)c2[nH]c(nc2c3cccc(NS(=O)(=O)Cc4ccc(Cl)c(Cl)c4)c3)C5CC5	CHEMBL402029	pIC50=7.59
CN(C)Cc1ccc(cc1)c2cnn3c(ccnc23)c4cccc(NC(=O)c5cccc(c5)C(F)(F)F)c4	CHEMBL1087397	pIC50=7.6
CNS(=O)(=O)Nc1cccc(CC2=C(C)c3cc(I)c(OC(=O)N(C)C)cc3OC2=O)c1	CHEMBL3092178	pIC50=7.6
Oc1c(Br)cc(\C=C\2/C(=O)Nc3ccc(cc23)C(=O)C4CC4)cc1Br	CHEMBL75988	pIC50=7.6
CN(c1ccc(F)c(NC(=O)c2cccc(OC(C)(C)C#N)c2Cl)c1)c3ccc4nc(NC(=O)C5CC5)sc4n3	CHEMBL2204532	pIC50=7.64
CNS(=O)(=O)Nc1cccc(CC2=C(C)c3ccc(Oc4ncccn4)cc3OC2=O)c1F	CHEMBL3092195	pIC50=7.64
CSc1cccc(Nc2ncc3C=C(C(=O)N(C)c3n2)c4c(Cl)cccc4Cl)c1	CHEMBL386051	pKd=7.64
Oc1cccc(c1)c2nc([nH]c2c3ccncc3)c4ccccc4	CHEMBL304624	pIC50=7.64
COc1ccc(Cn2ncc(NC(=O)c3cc(NC(=O)c4cccc(c4)C(F)(F)F)ccc3C)c2N)cc1	CHEMBL1684784	pIC50=7.65
FC(F)(F)c1cnc([nH]1)c2cc(Oc3ccc(NC(=O)Nc4ccc(Cl)c(c4)C(F)(F)F)c(Cl)c3)ccn2	CHEMBL2047992	pIC50=7.66
CNS(=O)(=O)Nc1nccc(CC2=C(C)c3ccc(Oc4ccccc4)cc3OC2=O)c1F	CHEMBL3263999	pIC50=7.68
Cc1cccc(C)c1\C=C\n2cnc3c(Nc4ccc(cc4)P(=O)(C)C)ncnc23	CHEMBL488840	pIC50=7.68
CNC(=O)c1cc(Oc2ccc3[nH]c(Nc4ccc(cc4)C(F)(F)F)nc3c2)ccn1	CHEMBL472450	pIC50=7.7
Clc1ccc(cc1Cl)c2[nH]c(nc2c3ccncc3)c4ccccc4	CHEMBL69929	pIC50=7.7
FC(F)(F)c1nc(c2cccc(NC(=O)Cc3ccc(Cl)cc3)c2)c([nH]1)c4ccnc(NCCN5CCNC5=O)n4	CHEMBL254965	pIC50=7.7
CNC(=O)c1cc(Oc2ccc3[nH]c(Nc4ccc(Br)cc4)nc3c2)ccn1	CHEMBL472448	pIC50=7.72
CNC(=O)c1cc(Oc2ccc3oc(Nc4ccc(Cl)cc4)nc3c2)ccn1	CHEMBL1162958	pIC50=7.72
Cn1c(Nc2ccc(cc2)C(F)(F)F)nc3cc(Oc4ccnc(c4)c5ncc([nH]5)C(F)(F)F)ccc13	CHEMBL558752	pIC50=7.72
CCn1c(Nc2ccc(Br)cc2)nc3cc(Oc4ccnc(c4)C(=O)NC)ccc13	CHEMBL470149	pIC50=7.75
Oc1c(Br)cc(\C=C\2/C(=O)Nc3ccc(cc23)C(=O)c4ccccc4)cc1Br	CHEMBL73554	pIC50=7.75
Cn1c(Nc2ccc(Br)cc2)nc3cc(Oc4ccnc(c4)C(=O)NCCC5CNCCO5)ccc13	CHEMBL511119	pIC50=7.77
NC(=O)c1cccc(Nc2nccc(n2)c3[nH]c(nc3c4cccc(NC(=O)Cc5ccc(Cl)cc5)c4)C(F)(F)F)c1	CHEMBL256775	pIC50=7.77
FC(F)(F)c1cnc([nH]1)c2cc(Oc3ccc(NC(=O)Nc4ccc(Cl)c(Cl)c4)c(Cl)c3)ccn2	CHEMBL2047994	pIC50=7.78
CN(C)C(=O)Oc1cc2OC(=O)C(=C(C)c2cc1Cl)Cc3cccc(NS(=O)(=O)N4CCN(C)CC4)c3	CHEMBL3086076	pIC50=7.8
CNC(=O)c1cc(Oc2ccc3CCC(Cc3c2)C(=O)Nc4ccc(CN)c(c4)C(F)(F)F)ccn1	CHEMBL1688865	pIC50=7.8
Nc1nc2c3\C(=C\c4cc(Br)c(O)c(Br)c4)\C(=O)Nc3ccc2s1	CHEMBL418892	pIC50=7.8
CNC(=O)c1cc(Oc2ccc3[nH]c(Nc4ccc(cc4)C(C)(C)C)nc3c2)ccn1	CHEMBL471407	pIC50=7.82
CNC(=O)c1cc(Oc2ccc3c(c2)nc(Nc4ccc(Cl)c(c4)C(F)(F)F)n3C)ccn1	CHEMBL470364	pIC50=7.82
CNC(=O)c1cc(Oc2ccc3nc(NC(=O)Nc4ccc(Cl)c(Cl)c4)sc3c2)ccn1	CHEMBL3798983	pIC50=7.82
CCNC(=O)c1cc(Oc2ccc3c(c2)nc(Nc4ccc(Br)cc4)n3C)ccn1	CHEMBL470359	pIC50=7.85
FC(F)(F)c1cc(NC(=O)Nc2cccc(c2)c3nc([nH]c3c4ccnc(NCCN5CCNC5=O)n4)C6CC6)ccc1Cl	CHEMBL256921	pIC50=7.85
FC(F)(F)c1cnc([nH]1)c2cc(Oc3ccc(NC(=O)Nc4ccc(Cl)c(Cl)c4)cc3)ccn2	CHEMBL2047982	pIC50=7.88
CN(C)C(=O)Oc1ccc2C(=C(Cc3cccc(NS(=O)(=O)N)c3F)C(=O)Oc2c1)C	CHEMBL3092185	pIC50=7.89
COC(=O)c1ccc2NC(=O)C(=Cc3cc(Br)c(O)c(Br)c3)c2c1	CHEMBL1794052	pIC50=7.89
NC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)cc2)ccn1	CHEMBL403732	pIC50=7.89
CNC(=O)c1cc(Oc2ccc3oc(Nc4ccc(cc4)N(C)C)nc3c2)ccn1	CHEMBL1778399	pIC50=7.92
Fc1ccc(C(=O)NOCC2CC2)c(Nc3ccc(I)cc3Cl)c1F	CHEMBL105442	pIC50=7.92
CC(C)(C)c1cc(NC(=O)Nc2cccc(Cl)c2Cl)n(n1)c3cccc(CC(=O)N)c3	CHEMBL1271376	pIC50=7.96
CNC(=O)c1cc(Oc2ccc3CCC(Cc3c2)C(=O)Nc4cc(CN)cc(c4)C(F)(F)F)ccn1	CHEMBL1688866	pIC50=7.96
Cl.Oc1c(Br)cc(C=C2C(=O)Nc3ccc(cc23)c4cccnc4)cc1Br	CHEMBL1794050	pIC50=7.96
OC1Nc2ccc(I)cc2C1=Cc3cc(Br)c(O)c(Br)c3	CHEMBL1794051	pIC50=7.96
