Cc1cccc(n1)c2nc(NCc3cccc(F)c3F)sc2c4ccc5ncnn5c4	CHEMBL2087982	pIC50=7.53
CCN(C)C(=O)c1ccc2\C(=C(\Nc3ccc(cc3)N(C)C(=O)CN(C)C)/c4ccccc4)\C(=O)Nc2c1	CHEMBL1271470	pIC50=7.54
Cc1cccc(n1)c2nn(CC(=S)Nc3ccccc3F)cc2c4ccc5ncnn5c4	CHEMBL3261095	pIC50=7.54
CCCC(=O)N(C)Cc1nc(c2nc(C)cs2)c([nH]1)c3ccc4ncsc4c3	CHEMBL2208004	pIC50=7.55
Cc1ccc(cc1)c2cc(ccn2)c3c[nH]nc3c4ccccn4	CHEMBL205156	pIC50=7.55
COC(=O)c1ccc(cc1)c2cc(ccn2)c3c[nH]nc3c4ccccn4	CHEMBL203436	pIC50=7.57
Cc1cc(Oc2ccnc(Nc3ccc(cc3)S(=O)(=O)N)c2)c(nc1C)c4ccccn4	CHEMBL578235	pIC50=7.57
Cc1cccc(n1)c2[nH]c(CNC(=S)c3ccccc3F)nc2c4ccc5ncnn5c4	CHEMBL3261088	pIC50=7.57
Cc1cccc(n1)c2nn(CC(=O)Nc3cccc(c3)C#N)cc2c4ccc5ncnn5c4	CHEMBL3261093	pIC50=7.57
OC(=O)c1ccc(cc1)c2cc(ccn2)c3c[nH]nc3c4ccccn4	CHEMBL568357	pIC50=7.57
c1ccc(nc1)c2n[nH]cc2c3ccnc4ccccc34	CHEMBL261454	pIC50=7.57
CC(=O)NCCCc1nc(c2nc(C)cs2)c([nH]1)c3ccc4ncsc4c3	CHEMBL2208013	pIC50=7.59
Cc1cccc(n1)c2[nH]c(Cc3cccc(c3)C#N)nc2c4ccc5ncccc5c4	CHEMBL1165374	pIC50=7.59
Cc1cccc(n1)c2nc(NCc3ccc(cc3)C(=O)N)sc2c4ccc5ncnn5c4	CHEMBL2088220	pIC50=7.59
Cc1cccc(n1)c2nn(CC(=S)Nc3cccc(c3)C#N)cc2c4ccc5nccnc5c4	CHEMBL1824442	pIC50=7.59
Cc1csc(n1)c2nc(CN3CCCC3=O)[nH]c2c4ccc5ncsc5c4	CHEMBL2208003	pIC50=7.59
CC(=O)COc1ccc(cc1)c2cc(ccn2)c3c[nH]nc3c4ccccn4	CHEMBL202943	pIC50=7.6
CC(C)c1nc(c2cccc(C)n2)c([nH]1)c3ccnc(c3)c4ccc(cc4)C(=O)NC5CCOCC5	CHEMBL585505	pIC50=7.6
CCC(=O)NCCc1nc(c2nc(C)cs2)c([nH]1)c3ccc4ncsc4c3	CHEMBL2208012	pIC50=7.6
Cc1cccc(n1)c2[nH]c(CNc3ccc(CC#N)cc3)nc2c4ccc5ncnn5c4	CHEMBL3260609	pIC50=7.6
Cc1cccc(n1)c2nc(Nc3ccc4[nH]ncc4c3)c5ccccc5n2	CHEMBL537968	pIC50=7.6
Cc1cccc(n1)c2nc(Nc3ccncc3)c4ccccc4n2	CHEMBL570533	pIC50=7.6
Cc1cccc(n1)c2nn(CCC(=O)Nc3ccccc3)cc2c4ccc5ncccc5c4	CHEMBL1766450	pIC50=7.6
Cc1cccc(n1)c2sc(NCc3cccc(c3)C#N)nc2c4ccc5ncnn5c4	CHEMBL2088222	pIC50=7.6
Nc1nc(Nc2ccccc2)cc(n1)c3ccc4c(N)n[nH]c4c3	CHEMBL1765876	pIC50=7.6
COc1ccc(CNc2nc(c3cccc(C)n3)c(s2)c4ccc5ncnn5c4)cc1	CHEMBL2087975	pIC50=7.61
Cc1cccc(n1)c2sc(NCc3ccccc3)nc2c4ccc5ncnn5c4	CHEMBL2088221	pIC50=7.61
CCNC(=O)c1ccc2\C(=C(\Nc3ccc(CN4CCCCC4)cc3)/c5ccccc5)\C(=O)Nc2c1	CHEMBL1271472	pIC50=7.62
CN(C)CCOc1ccc2c(ccnc2c1)c3c4CCCn4nc3c5ccccn5	CHEMBL409525	pIC50=7.62
CN1N(C)C(=C(C1=O)c2cccc(CC#N)c2)c3ccc4nccnc4c3	CHEMBL593710	pKi=7.62
COc1ccc(cc1)c2cc(ccn2)c3c[nH]nc3c4ccccn4	CHEMBL202891	pIC50=7.62
Cc1cccc(n1)c2[nH]c(NCc3ccc(cc3)C#N)nc2c4ccc5OCOc5c4	CHEMBL445934	pIC50=7.62
Cc1cccc(n1)c2[nH]c(NCc3cccc(c3)C#N)nc2c4ccc5OCOc5c4	CHEMBL226734	pIC50=7.62
FC(F)(F)c1ccc(cc1)c2cc(ccn2)c3c[nH]nc3c4ccccn4	CHEMBL383523	pIC50=7.62
Cc1cccc(n1)n2nccc2c3cc4cnccc4s3	CHEMBL3704648	pIC50=7.63
Cc1cccc(n1)c2[nH]c(CNc3cccc(OC(F)(F)F)c3)nc2c4ccc5ncnn5c4	CHEMBL3260588	pIC50=7.64
Cc1csc(n1)c2nc([nH]c2c3ccc4ncsc4c3)C5CCC(=O)CC5	CHEMBL2208000	pIC50=7.64
Cc1cc(C)cc(CNc2nc(c3cccc(C)n3)c(s2)c4ccc5ncnn5c4)c1	CHEMBL2088215	pIC50=7.66
Cc1ccc(Oc2ccnc(Nc3ccc(cc3)S(=O)(=O)N)c2)c(C)n1	CHEMBL585367	pIC50=7.66
Cc1cccc(n1)c2[nH]c(CNC(=S)c3cccc(c3)C(=O)N)nc2c4ccc5ncnn5c4	CHEMBL3261090	pIC50=7.66
Cc1cccc(n1)c2[nH]c(CNc3cccc(CN4CCCC4)c3F)nc2c5ccc6ncnn6c5	CHEMBL3260630	pIC50=7.66
Cc1cccc(n1)c2cc(Nc3ccncc3)c4ccccc4n2	CHEMBL560815	pIC50=7.66
Cc1cccc(n1)c2nc(NCc3ccc(Cl)c(Cl)c3)sc2c4ccc5ncnn5c4	CHEMBL2087986	pIC50=7.66
Cc1cccc(n1)c2nc(NCc3cccc(C)c3C)sc2c4ccc5ncnn5c4	CHEMBL2088214	pIC50=7.66
Cc1cccc(n1)c2nc(Nc3ccncc3)c4sccc4n2	CHEMBL556871	pIC50=7.66
Cc1cccc(n1)c2nn(CC(=O)Nc3cccc(c3)C#N)cc2c4ccc5ncccc5c4	CHEMBL1766441	pIC50=7.66
Cc1cccc(n1)c2nn3CCCc3c2c4ccc5ncn(C)c5c4	CHEMBL204966	pIC50=7.66
Cc1cccc(n1)c2sc(NCc3ccccc3F)nc2c4ccc5ncnn5c4	CHEMBL2088224	pIC50=7.67
COc1cc(Nc2cc(Oc3ccc(C)nc3C)ccn2)cc(OC)c1OC	CHEMBL574415	pIC50=7.68
Cc1cccc(n1)c2[nH]c(CNc3ccc(cc3)C(=O)N)nc2c4ccc5OCOc5c4	CHEMBL229597	pIC50=7.68
Cc1cccc(n1)c2[nH]c(CNc3cccc(C#N)c3C#N)nc2c4ccc5ncnn5c4	CHEMBL3260618	pIC50=7.68
Cc1cccc(n1)c2[nH]c(CNc3cccc(c3)C(=O)N)nc2c4ccc5OCOc5c4	CHEMBL389078	pIC50=7.68
Cc1cccc(n1)c2[nH]c(CSc3ccccc3)nc2c4ccc5ncnn5c4	CHEMBL3260565	pIC50=7.68
Cc1csc(n1)c2nc([nH]c2c3ccc4ncsc4c3)C5CCOCC5	CHEMBL2208001	pIC50=7.68
Cc1cccc(n1)c2[nH]c(CNc3ccccc3F)nc2c4ccc5ncnn5c4	CHEMBL3260567	pKi=7.69
CN1N(C)C(=C(C1=O)c2cccc(C)c2)c3ccc4nccnc4c3	CHEMBL604261	pKi=7.7
