CC(C)Oc1cc(C2CCNCC2)c(C)cc1Nc3ncc(Cl)c(Nc4ccccc4S(=O)(=O)C(C)C)n3	ceritinib	pIC50=9.69896984	pIC50=9.69896984	pIC50=9.69896984	pIC50=7.54
CCc1cc2C(=O)c3c([nH]c4cc(ccc34)C#N)C(C)(C)c2cc1N5CCC(CC5)N6CCOCC6	alectinib	pIC50=8.72124672	pIC50=8.72124672	pIC50=8.72124672	pIC50=7.72
[H][C@](C)(OC1=C(N)N=CC(=C1)C1=CN(N=C1)C1CCNCC1)C1=C(Cl)C=CC(F)=C1Cl	crizotinib	pKi=9.13	pKi=9.13	pKi=9.13	pIC50=7.55
CCN1CCC(CC1)c2cc(OC(C)C)c(Nc3ncc(C)c(Nc4ccccc4S(=O)(=O)C(C)C)n3)cc2C	CHEMBL2403827	pIC50=7.53
CC(C)C(=O)c1cc(OC2CC2)c(Nc3ncc(Cl)c(Nc4cn(C)nc4S(=O)(=O)C(C)C)n3)cc1C	CHEMBL3604653	pIC50=7.54
CC(C)Oc1cc(C2CCN(CC2)C(=O)Cn3ccnc3)c(C)cc1Nc4nc(Nc5ccccc5S(=O)(=O)C(C)C)c6c(C)[nH]nc6n4	CHEMBL3651850	pIC50=7.54
CC(C)Oc1cc(C2CCN(C[C@@H](O)C(F)(F)F)CC2)c(C)cc1Nc3nc(Nc4ccccc4S(=O)(=O)C(C)C)c5c[nH]nc5n3	CHEMBL3651845	pIC50=7.54
CC(C)Oc1cc2CN(C3CCN(CC3)C(=O)[C@@H]4CCCN4)C(=O)c2cc1Nc5ncc(Cl)c(Nc6ccccc6S(=O)(=O)C(C)C)n5	CHEMBL3651836	pIC50=7.54
COc1cc2c(CC\C(=N/NC(=O)N)\C2(C)C)cc1Nc3ncc(Cl)c(Nc4ccccc4S(=O)(=O)C(C)C)n3	CHEMBL3786127	pIC50=7.54
COc1ccc(F)cc1c2c(CO)sc3cnc(Nc4ccc(cc4OC(C)C)N5CCN(C)CC5)nc23	CHEMBL3669151	pIC50=7.54
Cn1cc(cn1)c2cnc3[nH]cc(c4cnn(Cc5cc(F)ccc5F)c4)c3c2	CHEMBL2418761	pIC50=7.54
Cn1ncc2CCCOc3ccc(F)cc3COc4cc(cnc4N)c12	CHEMBL3286816	pKi=7.54
NC(=O)[C@H]1[C@H]2C[C@H](C=C2)[C@H]1Nc3c(Br)cnc4[nH]c(nc34)c5ccc(cc5)N6CCOCC6	CHEMBL3218860	pIC50=7.54
CC(C)Oc1cc(C2CCNCC2)c(C)cc1Nc3ncc(Cl)c(Nc4c[nH]nc4S(=O)(=O)C(C)C)n3	CHEMBL3786006	pIC50=7.55
CC(C)S(=O)(=O)c1ccccc1Nc2nc(Nc3cccc(NC(=O)[C@@H](N)Cc4c[nH]cn4)c3)ncc2Cl	CHEMBL3357448	pIC50=7.55
CC(C)c1cc(C2CCN(C)CC2)c(C)cc1Nc3ncc(Cl)c(Nc4cn(C)nc4S(=O)(=O)C(C)C)n3	CHEMBL3604640	pIC50=7.55
CCn1cc(Nc2nc(Nc3cc(C)c(cc3OC(C)C)C4CCNCC4)ncc2Cl)c(n1)S(=O)(=O)C(C)C	CHEMBL3787103	pIC50=7.55
COc1cc(Nc2nccc(n2)N3CCC[C@@H](C3)C(=O)NCc4cccc(c4)N5CCOCC5)cc(OC)c1OC	CHEMBL2024001	pIC50=7.55
COc1cc(ccc1Nc2ncc3sc(C(=O)N)c(c4ccccc4)c3n2)N5CCN(CC5)C(C)C	CHEMBL3669134	pIC50=7.55
COc1ccc(cc1Nc2ncc3ccc(c4ccccc4N(C)S(=O)(=O)C)n3n2)N5CCN(C)CC5	CHEMBL2158523	pIC50=7.55
Cn1cc(cn1)c2cnc3[nH]cc(c4cnn(Cc5cccc(N)c5)c4)c3c2	CHEMBL2418759	pIC50=7.55
CC1(C)c2cc(ccc2C(=O)c3c1[nH]c4cc(ccc34)C#N)N5CCN(CC5)C6COC6	CHEMBL1779201	pIC50=7.57
CCc1cc2C(=O)c3c([nH]c4cc(ccc34)C#N)C(C)(C)c2cc1c5cnn(CC(=O)N)c5	CHEMBL3735980	pIC50=7.57
COc1cc2CCC(N)C(C)(C)c2cc1Nc3ncc(Cl)c(Nc4ccccc4S(=O)(=O)C(C)C)n3	CHEMBL3786431	pIC50=7.57
Clc1cccc(Cl)c1CN2CCNc3ncc(cc23)c4ccc(cc4)C(=O)N5CCC[C@H]5CN6CCCC6	CHEMBL1165334	pIC50=7.57
CC1(C)c2cc(OCCNC(=O)N)ccc2C(=O)c3c1[nH]c4cc(ccc34)C#N	CHEMBL1779195	pIC50=7.58
CC(C)Oc1cc(C2CCN(CC2)C(=O)CN(C)C)c(C)cc1Nc3ncc(Cl)c(Nc4ccccc4S(=O)(=O)C(C)C)n3	CHEMBL2403842	pIC50=7.59
CC(C)S(=O)(=O)c1ccccc1Nc2nc(Nc3cccc(NC(=O)CN4C[C@@H](C)O[C@@H](C)C4)c3)ncc2Cl	CHEMBL3357454	pIC50=7.59
CCN1CCc2ccc(Nc3ncc(Cl)c(N[C@@H]4CCCC[C@H]4NC(=O)C(F)(F)F)n3)cc2CC1	CHEMBL1796246	pIC50=7.59
CN1CCN(CC1)c2ccc(C(=O)Nc3n[nH]c4ccc(Cc5cc(F)cc(F)c5)cc34)c(NCCO)c2	CHEMBL3805749	pIC50=7.59
Cc1nn(Cc2cc(F)cc(F)c2)c(C)c1c3c[nH]c4ncc(cc34)c5cnn(C)c5	CHEMBL2418749	pIC50=7.59
CC(C)Oc1cc(C2CCN(C)CC2)c(C)cc1Nc3ncc(Cl)c(Nc4ccccc4S(=O)(=O)N(C)C)n3	CHEMBL2403833	pIC50=7.6
CNC(=O)CCN1CCC(CC1)c2cc(OC(C)C)c(Nc3nc(Nc4ccccc4S(=O)(=O)C(C)C)c5c(C)[nH]nc5n3)cc2C	CHEMBL3651867	pIC50=7.6
Cn1cc(\C=C\2/C(=O)NN=C2c3nccs3)c4c(OCc5cccc(F)c5)cccc14	CHEMBL1922981	pIC50=7.6
CC(C)Oc1cc(ccc1Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)C(C)C)n2)N4CCC(CC4)N5CCN(C)CC5	CHEMBL2403844	pIC50=7.61
CC(C)S(=O)(=O)c1ccccc1Nc2nc(Nc3nc4CCN(CCc4s3)C(=O)C5CCOCC5)ncc2Cl	CHEMBL3330859	pIC50=7.62
CCN(CC)C(=O)[C@@H]1CC[C@@H](CC1)N2\C(=N\C(=O)c3ccccc3)\Nc4ccc(CN5CCCCC5)cc24	CHEMBL2172326	pIC50=7.62
CCc1cc2C(=O)c3c([nH]c4cc(ccc34)C#N)C(C)(C)c2cc1NC(=O)CN5CC6CN(C)CC6C5	CHEMBL3735802	pIC50=7.62
CNC(=O)c1ccccc1Nc2nc(Nc3ccc4CCN(C)CC(C)c4c3)ncc2Cl	CHEMBL3263971	pIC50=7.62
CNC(=O)c1nn(C)cc1Nc2nc(Nc3cc(C)c(cc3OC4CC4)C5CCN(C)CC5)ncc2Cl	CHEMBL3786830	pIC50=7.62
