Fc1ccccc1c2nccc(n2)c3cc4C(=O)NCC5(CCNCC5)c4[nH]3	CHEMBL1779349	pEC50=7.54
NCC1CNC(=O)c2cc3ccc(cc3n2C1)C(=O)Nc4cccnc4	CHEMBL272309	pIC50=7.54
C[C@@H]1CNc2c(sc3ccc4OCCc4c23)C(=O)N1	CHEMBL562754	pIC50=7.55
NCCn1nc(cc1C(=O)O)c2ccnc(c2)c3cnc4ccccc4c3	CHEMBL1738780	pEC50=7.55
O=C1NCC2(CCCNC2)c3[nH]c(cc13)c4ccnc(n4)c5ccc6OCOc6c5	CHEMBL1779369	pEC50=7.55
O=C1Nc2ccc(cc2Cc3cc(oc13)c4ccc(cc4)C#N)C5CCNCC5	CHEMBL2385538	pIC50=7.55
COc1ccc(cc1)c2cc3c(ccc4c5C(=O)NCc5[nH]c34)cn2	CHEMBL1801377	pIC50=7.57
Fc1ccc(cn1)c2cc3c(CCc4c3[nH]c5c4C(=O)NCC56CC6)cn2	CHEMBL1801283	pIC50=7.57
O=C(N(Cc1ccccc1c2cncnc2)c3ccc(cc3)N4CCNCC4)c5oc(cc5)c6ccc(cc6)C#N	CHEMBL1940650	pIC50=7.57
Clc1ccc(cc1)c2oc(cc2)c3nccn3c4ccc(cc4)C5CCCNC5	CHEMBL3314156	pIC50=7.59
Clc1ccc(cc1)c2oc(cc2)c3nccn3c4ccc(cc4)N5CCNCC5	CHEMBL3314140	pIC50=7.59
OC1(CCNCC1)c2ccc(cc2)n3ccnc3c4oc(cc4)c5ccc(Cl)cc5	CHEMBL3315290	pIC50=7.59
OC1(CCNCC1)c2ccc(cc2)n3ccnc3c4oc(cc4)c5ccc(cc5)C#N	CHEMBL3315292	pIC50=7.59
FC1(CCNCC1)c2ccc(cc2)n3ccnc3c4oc(cc4)c5ccc(cc5)C#N	CHEMBL3315291	pIC50=7.6
O=C1NOCc2[nH]c3c(ccc4cnc(\C=C\c5ccccc5)cc34)c12	CHEMBL1801315	pIC50=7.6
Oc1cccc(c1)c2cc(ccn2)c3cc4C(=O)NCCc4[nH]3	CHEMBL388619	pIC50=7.6
