O=C(N[C@@H]1CCN(C1)C#N)Nc2ccccc2	CHEMBL1672424	pIC50=6.0
F[C@@H]1CN[C@@H](C1)C(=O)NC2(CC2)C#N	CHEMBL1077640	pIC50=6.06
Fc1ccc2c(c1)C(=O)Nc3cccc(CC(NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)c23	CHEMBL3667266	pIC50=6.06
O=C(NC(Cc1ccc2cn[nH]c2c1)C#N)[C@H]3N[C@@H]4CC[C@H]3C4	CHEMBL3662641	pIC50=6.07
CC[C@H](N)C(=O)N[C@@H](CCc1ccccc1)C#N	CHEMBL212523	pIC50=6.09
CS(=O)(=O)c1cc(ccc1C#N)c2ccc(C[C@H](NC(=O)[C@H]3N[C@H]4CC[C@@H]3C4)C#N)c(F)c2	CHEMBL3667265	pIC50=6.09
NC(Cc1cncs1)C(=O)N[C@]2(C[C@H]2c3ccccc3)C#N.OC(=O)C(F)(F)F	CHEMBL1162478	pIC50=6.1
CC(C)C[C@H](NC(=O)[C@H]1O[C@@H]1C(=O)O)C(=O)NCCCCN=C(N)N	CHEMBL374508	pIC50=6.11
O=C(NC(Cc1ccc2[nH]ncc2c1)C#N)[C@H]3N[C@@H]4CC[C@H]3C4	CHEMBL3662523	pIC50=6.17
CS(=O)(=O)c1cc(ccc1C#N)c2ccc(C[C@H](NC(=O)[C@@]34CC[C@@H](CN3)C4)C#N)cc2	CHEMBL3702579	pIC50=6.19
CCSC[C@H](N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C#N	CHEMBL1082054	pIC50=6.2
O=C(NC(Cc1ccc2[nH]c3ccccc3c2c1)C#N)[C@H]4N[C@@H]5CC[C@H]4C5	CHEMBL3662726	pIC50=6.21
S=C1O[C@@H]2CN1CC[C@@H]2Oc3ccccc3	CHEMBL390643	pIC50=6.22
CCNc1nc(nc2c1ncn2c3cc(F)cc(F)c3)C#N	CHEMBL567134	pIC50=6.23
F[C@@H]1CN[C@@H](C1)C(=O)NC2(CC2Cc3ccccc3)C#N	CHEMBL1078356	pIC50=6.28
CN1Cc2cc(ccc2C1=O)c3ccc(C[C@H](NC(=O)[C@@]45CC[C@H](CN4)C5)C#N)cc3	CHEMBL3702578	pIC50=6.3
Cl[C@@H]1CN[C@@H](C1)C(=O)N[C@@H](Cc2ccccc2)C#N	CHEMBL1079536	pIC50=6.31
CCC[C@H](NC(=O)C(CC(C)C)NC(=O)c1ccc(cc1)c2ccc(I)cc2)C(=O)C=[N+]=[N-]	CHEMBL518284	pIC50=6.35
CN1C(=O)Cc2ccc(cc12)c3ccc(C[C@H](NC(=O)[C@]45CCC[C@@H](CN4)C5)C#N)cc3	CHEMBL3702577	pIC50=6.37
N[C@@H](Cc1ccccc1)C(=O)NC(Cc2ccccc2)C#N	CHEMBL377768	pIC50=6.38
F[C@@H]1C[C@@H]2C[C@H]1[C@H](N2)C(=O)N[C@@H](Cc3ccc(cc3)c4ccc(C#N)c(F)c4)C#N	CHEMBL3658519	pIC50=6.39
CCC(=O)N1CCC(CC1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)cc2	CHEMBL3658513	pIC50=6.4
O=C1O[C@@H]2CN1CC[C@@H]2OCc3ccccc3	CHEMBL390475	pIC50=6.4
Fc1cc(ccc1C#N)c2ccc(C[C@@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)cc2	CHEMBL3658607	pIC50=6.44
CS[C@@H]1CN[C@@H](C1)C(=O)NC2(CC2)C#N	CHEMBL1078067	pIC50=6.47
CC(C)[C@H](N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C#N	CHEMBL1079351	pIC50=6.48
O=S(=O)(N[C@@H]1CCN(C1)C#N)c2ccccc2	CHEMBL1672422	pIC50=6.5
O=S(=O)(N[C@H]1CCN(C1)C#N)c2ccccc2	CHEMBL1672421	pIC50=6.5
CCc1ccc(C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)cc1	CHEMBL3658482	pIC50=6.51
O=C(N[C@@H](Cc1ccc(cc1)C2CCOCC2)C#N)[C@H]3N[C@@H]4CC[C@H]3C4	CHEMBL3658473	pIC50=6.51
CC(C)Cc1ccc(C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)cc1	CHEMBL3658489	pIC50=6.52
O=C(NC(Cc1ccc2oc3ccccc3c2c1)C#N)[C@H]4N[C@@H]5CC[C@H]4C5	CHEMBL3662725	pIC50=6.53
Cn1cc2ccc(cc2n1)c3ccc(C[C@H](NC(=O)[C@H]4N[C@H]5C[C@@H]4[C@@H]6C[C@H]56)C#N)c(F)c3	CHEMBL3662649	pIC50=6.54
CCCC(=O)N1CCC(CC1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)cc2	CHEMBL3658517	pIC50=6.55
CS(=O)(=O)c1cc(ccc1C#N)c2ccc(C[C@H](NC(=O)[C@@]34CC[C@H](CN3)C4)C#N)cc2	CHEMBL3702575	pIC50=6.55
Fc1cc(ccc1C#N)c2ccc(C[C@H](NC(=O)C34CCC(CC3)N4)C#N)cc2	CHEMBL3702576	pIC50=6.55
Cc1cnn(C)c1c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3662640	pIC50=6.56
Cn1cnc2cc(cnc12)c3ccc(C[C@H](NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)cc3	CHEMBL3658537	pIC50=6.56
CC(C)C(=O)N1CCC(CC1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)cc2	CHEMBL3658508	pIC50=6.57
CCS[C@@H]1CN[C@@H](C1)C(=O)N[C@@H](Cc2ccccc2)C#N	CHEMBL1078064	pIC50=6.57
CC(C)NC(=O)N1CCC(CC1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)cc2	CHEMBL3658507	pIC50=6.59
CC(=O)N1CCC(CC1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)cc2	CHEMBL3658514	pIC50=6.6
O=C(N[C@@H](Cc1ccc2ccccc2c1)C#N)[C@H]3N[C@@H]4CC[C@H]3C4	CHEMBL3667270	pIC50=6.6
Fc1cc(cc(F)c1F)c2ccc(C[C@H](NC(=O)[C@H]3NC4CCC3CC4)C#N)cc2	CHEMBL3695349	pIC50=6.61
O=C(N[C@@H](Cc1ccc(cc1)c2ccnc(c2)C#N)C#N)[C@H]3NC4CCC3CC4	CHEMBL3695350	pIC50=6.61
CN1C(=O)Cc2ccc(cc12)c3ccc(C[C@H](NC(=O)C45CCOC(CCN4)C5)C#N)cc3	CHEMBL3640014	pIC50=6.64
CN1C(=O)Cc2ccc(cc12)c3ccc(C[C@H](NC(=O)[C@@]45CC[C@H](CN4)C5)C#N)cc3	CHEMBL3702574	pIC50=6.66
CC(C)[C@H](NC(=O)[C@@H](N)Cc1cccs1)C#N	CHEMBL1079352	pIC50=6.67
CN1CCN(CC1)c2ccc(F)c(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c2	CHEMBL3667367	pIC50=6.67
CN1C(=O)Cc2ccc(cc12)c3ccc(C[C@H](NC(=O)[C@@]45CC[C@@H](CN4)C5)C#N)cc3	CHEMBL3702573	pIC50=6.69
CN1CCN(C(=O)C1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3662639	pIC50=6.69
CS(=O)(=O)c1cc(ccc1C#N)c2ccc(C[C@H](NC(=O)[C@]34CCO[C@@H](CN3)C4)C#N)cc2	CHEMBL3702572	pIC50=6.7
CSCC[C@H](N)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C#N	CHEMBL1081329	pIC50=6.7
O=C(N[C@@H](Cc1ccc(cc1)C2CCN(Cc3ccccc3)CC2)C#N)[C@H]4N[C@@H]5CC[C@H]4C5	CHEMBL3658500	pIC50=6.7
CC(C)CO[C@H]1CCN2C[C@H]1OC2=O	CHEMBL230478	pIC50=6.72
CS[C@@H]1CN[C@@H](C1)C(=O)NC2(CC2Cc3ccccc3)C#N	CHEMBL1077666	pIC50=6.72
CC(C)OCc1cn(nn1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3662638	pIC50=6.73
O=C(NC(Cc1ccc2c(NC(=O)c3ccccc23)c1)C#N)[C@H]4N[C@@H]5CC[C@H]4C5	CHEMBL3662637	pIC50=6.73
CCNC(=O)N1CCC(CC1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)cc2	CHEMBL3658516	pIC50=6.74
CN1C(=O)Cc2ccc(cc12)c3ccc(CC(NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)c(OCc6ccccc6)c3	CHEMBL3662636	pIC50=6.74
CN1C(=O)Cc2ccc(cc12)c3oc(C[C@H](NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)cc3	CHEMBL3657564	pKi=6.75
O=C(N[C@@H](Cc1ccc(cc1)C2CCCCC2)C#N)[C@H]3N[C@@H]4CC[C@H]3C4	CHEMBL3658472	pIC50=6.75
CC[C@H](N)C(=O)N[C@@H](Cc1ccccc1)C#N	CHEMBL439145	pIC50=6.76
CCS(=O)(=O)c1ccc(cc1)c2ccc(C[C@H](NC(=O)[C@H]3NC4CCC3CC4)C#N)cc2	CHEMBL3695348	pIC50=6.78
COCCN1C(=O)Cc2ccc(cc12)c3ccc(C[C@H](NC(=O)[C@H]4NC5CCC4CC5)C#N)cc3	CHEMBL3639942	pIC50=6.8
C[C@H]1C[C@H](CN1C#N)NS(=O)(=O)c2cccc(Br)c2	CHEMBL1672432	pIC50=6.8
FC(F)CN1CCC(CC1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)cc2	CHEMBL3658515	pIC50=6.8
O=C(N[C@@H](Cc1ccc(cc1)c2ccccc2)C#N)[C@@H]3CCCCN3	CHEMBL3261918	pIC50=6.8
Cc1onc(C)c1c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)c(F)c2	CHEMBL3662635	pIC50=6.81
CN(C)C(=O)N1CCN(CC1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)cc2	CHEMBL3658497	pIC50=6.82
COc1ccccc1c2cn(nn2)c3ccc(C[C@H](NC(=O)[C@H]4N[C@@H]5CC[C@H]4C5)C#N)cc3	CHEMBL3658503	pIC50=6.82
Ic1ccc(C[C@H](NC(=O)[C@H]2N[C@@H]3CC[C@H]2C3)C#N)cc1	CHEMBL3658487	pIC50=6.82
CC(=O)Nc1ccc(cc1)c2ccc(C[C@H](NC(=O)[C@H]3N[C@H]4C[C@@H]3[C@@H]5C[C@H]45)C#N)c(F)c2	CHEMBL3662645	pIC50=6.86
CC[C@H](N)C(=O)N[C@@H](C\C=C\c1ccccc1)C#N	CHEMBL211388	pIC50=6.86
O=C(N[C@@H](Cc1ccc(cc1)c2ccc3C(=O)NCCc3c2)C#N)[C@H]4NC5CCC4CC5	CHEMBL3695347	pIC50=6.86
CN1C(=O)Cc2cc(ccc12)c3ccc(C[C@H](NC(=O)[C@H]4NC5CCC4CC5)C#N)cc3	CHEMBL3695346	pIC50=6.87
Cn1nccc1c2ccc(C[C@H](NC(=O)[C@H]3N[C@@H]4CC[C@H]3C4)C#N)cc2	CHEMBL3658534	pIC50=6.88
F[C@@H]1CN[C@@H](C1)C(=O)N[C@@H](Cc2ccccc2)C#N	CHEMBL1079537	pIC50=6.88
NC(=O)c1cccc(c1)c2ccc(C[C@H](NC(=O)[C@H]3NC4CCC3CC4)C#N)cc2	CHEMBL3695345	pIC50=6.88
COc1ccc(OC)c(c1)S(=O)(=O)N[C@@H]2C[C@H](C)N(C2)C#N	CHEMBL1672433	pIC50=6.9
CS(=O)(=O)Nc1ccc(cc1)c2ccc(C[C@H](NC(=O)[C@H]3NC4CCC3CC4)C#N)cc2	CHEMBL3695344	pIC50=6.91
