CCOCCN1C(=NC2=C1C=CC=C2)C1CCN(CCC2=CC=C(C=C2)C(C)(C)C(O)=O)CC1	bilastine	pKi=7.19382	pKi=7.19382	pKi=7.19382
CC(OCCN1CCCCCC1)(C1=CC=CC=C1)C1=CC=C(Cl)C=C1	setastine
CN(C)CCN1N=C(CC2=CC=CC=C2)C2=C(C=CC=C2)C1=O	talastine
CN(C)CCOC(C)(C1=CC=CC=C1)C1=CC=CC=C1	moxastine
CCOCCN1C(=NC2=C1C=CC=C2)N1CCCN(C)CC1	emedastine	pKi=8.8860569	pKi=8.8860569	pKi=8.8860569
CCC(=O)C1=CC=C2SC3=CC=CC=C3N(CC(C)N(C)C)C2=C1	propiomazine
CC(CN1c2ccccc2Sc3ccccc13)N(C)C	promethazine	pKi=9.6198	pKi=9.6198	pKi=9.6198	pIC50=8.27
CN(C)CCOC(C1=CC=CC=C1)C1=C(C)C=CC=C1	orphenadrine	pKi=7.9586	pKi=7.9586	pKi=7.9586
CN(C)CC\C=C1\C2=CC=CC=C2COC2=C1C=C(CC(O)=O)C=C2	olopatadine	pKi=8.284	pKi=8.284	pKi=8.284
CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc4cccnc24)CC1	loratadine	pKi=6.97	pKi=6.97	pKi=6.97	pKi=7.43
OC(=O)COCCN1CCN(CC1)[C@H](C1=CC=CC=C1)C1=CC=C(Cl)C=C1	levocetirizine	pKi=7.95	pKi=7.95	pKi=7.95	pKi=7.3
[H][C@@]1(C)CN(CC[C@]1(C(O)=O)C1=CC=CC=C1)[C@@]1([H])CC[C@](CC1)(C#N)C1=CC=C(F)C=C1	levocabastine	pKi=7.279	pKi=7.279	pKi=7.279
CN1CCC(=C2c3ccccc3CC(=O)c4sccc24)CC1	ketotifen	pKi=9.5086	pKi=9.5086	pKi=9.5086	pIC50=8.93
OCCOCCN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=C(Cl)C=C1	hydroxyzine	pKi=8.699	pKi=8.699	pKi=8.699
CC(C)(C(O)=O)C1=CC=C(C=C1)C(O)CCCN1CCC(CC1)C(O)(C1=CC=CC=C1)C1=CC=CC=C1	fexofenadine	pKi=8.0	pKi=8.0	pKi=8.0	pIC50=7.11
[H]C12CN=C(N)N1C1=C(CC3=C2C=CC=C3)C=CC=C1	epinastine	pKi=8.9	pKi=8.9	pKi=8.9
CN(C)CCC=C1c2ccccc2COc3ccccc13	doxepin	pKi=9.75	pKi=9.75	pKi=9.75	pIC50=9.24
CN1CCC(CC1)OC(C1=CC=CC=C1)C1=CC=CC=C1	diphenylpyraline	pKi=8.0757	pKi=8.0757	pKi=8.0757
CN(C)CCOC(c1ccccc1)c2ccccc2	diphenhydramine	pKi=7.81	pKi=7.81	pKi=7.81	pKi=7.7
Clc1ccc2C(=C3CCNCC3)c4ncccc4CCc2c1	desloratadine	pKi=9.4	pKi=9.4	pKi=9.4	pIC50=8.0
CN1CCC(=C2c3ccccc3C=Cc4ccccc24)CC1	cyproheptadine	pKi=10.2218	pKi=10.2218	pKi=10.2218	pIC50=8.43
CN1CCC[C@@H]1CCO[C@](C)(c2ccccc2)c3ccc(Cl)cc3	clemastine	pKi=8.585	pKi=8.585	pKi=8.585	pIC50=9.38
CN(C)CCC(c1ccc(Cl)cc1)c2ccccn2	chlorphenamine	pKi=8.15	pKi=8.15	pKi=8.15	pIC50=7.18
OC(=O)COCCN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=C(Cl)C=C1	cetirizine	pKi=7.91	pKi=7.91	pKi=7.91	pKi=7.3
CN(C)CCOC(C1=CC=CC=C1)C1=CC=C(Br)C=C1	bromazine	pKi=8.8861	pKi=8.8861	pKi=8.8861
CN1CCCC(CC1)N2N=C(Cc3ccc(Cl)cc3)c4ccccc4C2=O	azelastine	pKi=8.1675	pKi=8.1675	pKi=8.1675
CC1=CC=C(C=C1)C(=C/CN1CCCC1)\C1=CC=CC(\C=C\C(O)=O)=N1	acrivastine	pIC50=7.16	pIC50=7.16	pIC50=7.16
NCCc1c[nH]cn1	histamine	pKi=4.1	pKi=4.1	pKi=4.1	pEC50=7.89
CN(C)CCC(c1ccc(Br)cc1)c2ccccn2	brompheniramine	pKi=8.21752739	pKi=8.21752739	pKi=8.21752739
CN(C)CC[C@@H](C1=CC=C(Br)C=C1)C1=CC=CC=N1	dexbrompheniramine
OC(=O)CCCN1CCC(CC1)O[C@@H](C1=CC=C(Cl)C=C1)C1=CC=CC=N1	bepotastine
CN1CCC(CC1)=C1C2=CC=CC=C2CCC2=C1N=CC=C2	azatadine
CN1CCN(CC1)C(c2ccccc2)c3ccccc3	cyclizine	pKi=8.35261703	pKi=8.35261703	pKi=8.35261703	pIC50=7.42
CN(C)CCOC(c1ccccc1)c2ccccc2.CN3C(=O)N(C)c4nc(Cl)[nH]c4C3=O	dimenhydrinate	pKi=7.43179828	pKi=7.43179828	pKi=7.43179828	pKi=7.43
[H]C(CCN(C)C)(C1=CC=CC=C1)C1=NC=CC=C1	pheniramine
CN(C)CCN(CC1=CC=CC=C1)C1=CC=CC=N1	tripelennamine	pIC50=7.4	pIC50=7.4	pIC50=7.4	pIC50=7.4
C(N(CC1=CC=CC=C1)C1=CC=CC=C1)C1=NCCN1	antazoline
CN(C)CCOC(C)(C1=CC=CC=C1)C1=NC=CC=C1	doxylamine
CC1=CC=C(C=C1)C(=C/CN1CCCC1)\C1=CC=CC=N1	triprolidine	pKi=9.9	pKi=9.9	pKi=9.9	pKi=8.8
COc1ccc(CN(CCN(C)C)c2ccccn2)cc1	mepyramine	pKi=9.1	pKi=9.1	pKi=9.1	pIC50=7.9
[H]C(OCCN(C)C)(C1=CC=C(Cl)C=C1)C1=CC=CC=N1	carbinoxamine
CN1CCC(CN2C3=CC=CC=C3SC3=C2C=CC=C3)C1	methdilazine
CC(CN(C)C)CN1C2=CC=CC=C2SC2=C1C=CC=C2	alimemazine
CC(C)(C)c1ccc(cc1)C(O)CCCN2CCC(CC2)C(O)(c3ccccc3)c4ccccc4	terfenadine	pKi=8.699	pKi=8.699	pKi=8.699	pKi=7.24
O=C1NC2=C(C=CC=C2)N1CCCN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=CC=C1	oxatomide	pKi=7.699	pKi=7.699	pKi=7.699
CN(C1CCN(CC1)c2nc3ccccc3n2Cc4ccc(F)cc4)C5=NC=CC(=O)N5	mizolastine	pKi=8.84	pKi=8.84	pKi=8.84	pKi=8.57
CN1CCC2=C(C1)C1=C(C=CC=C1)N2CC1=CC=CC=C1	mebhydrolin	pKi=7.1192	pKi=7.1192	pKi=7.1192
CC(C)(C)c1ccc(cc1)C(=O)CCCN2CCC(CC2)OC(c3ccccc3)c4ccccc4	ebastine	pKi=8.0	pKi=8.0	pKi=8.0	pIC50=7.55
COc1ccc(CCN2CCC(CC2)Nc3nc4ccccc4n3Cc5ccc(F)cc5)cc1	astemizole	pIC50=7.85
CC1=CC=CC(CN2CCN(CC2)C(C2=CC=CC=C2)C2=CC=C(Cl)C=C2)=C1	meclozine
CC1=CC(CN2CCC(CC2)=C2C3=CC=C(Cl)C=C3CCC3=C2N=CC=C3)=CN=C1	rupatadine	pIC50=8.41	pIC50=8.41	pIC50=8.41	pIC50=8.41
CN(C)CC[C@@H](c1ccc(Cl)cc1)c2ccccn2	dexchlorpheniramine	pKi=8.45000029	pKi=8.45000029	pKi=8.45000029	pIC50=8.2
CC(CN1C2=CC=CC=C2SC2=C1C=C(C=C2)C(C)=O)N(C)C	aceprometazine
CC(C)(C)C1=CC=C(CN2CCN(CC2)C(C2=CC=CC=C2)C2=CC=C(Cl)C=C2)C=C1	buclizine
CN1CCC(CC1)=C1C2=NC=C(C=O)N2CCC2=C1C=CC=C2	alcaftadine
CN(C)CCOC1=C(CC2=CC=CC=C2)C=CC=C1	phenyltoloxamine
CN(C)CC\C=C1/C2=C(SC=C2)SCC2=C1C=CC=C2	bisulepine
CN1CCC(CC1)N(CC1=CC=CC=C1)C1=CC=CC=C1	bamipine
Brc1ccc2[nH]cc(CCN(CC=C)CC=C)c2c1	CHEMBL3754166	pKi=7.0
CC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc4cccnc24)CC1	CHEMBL10971	pIC50=7.0
CC1=C(CCN2CCC(CC2)c3noc4cc(F)ccc34)C(=O)N5CCCCC5=N1	risperidone	pKi=7.0
COc1ccc(CN(CCN(C)CCN2CCN(CC2)C(=O)c3cc4cc(Cl)ccc4[nH]3)c5ccccn5)cc1	CHEMBL1910382	pKi=7.0
CS(=O)(=O)c1ccc(s1)C(=O)NC[C@@H](O)CN2CCC(CC2)Oc3ccc(Cl)c(Cl)c3	CHEMBL2208426	pKi=7.0
C[C@@](Cc1ccccc1)(N2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2)C(=O)O	CHEMBL2158786	pKi=7.0
Cc1cc(OC2CCN(CC3CCN(CC3)[C@@H](Cc4ccc(F)cc4)C(=O)O)CC2)ccc1Cl	CHEMBL2158782	pKi=7.0
Clc1ccc(OC2CCN(CC2)C3CCN(CC3)S(=O)(=O)NC(=O)c4ccccc4)cc1Cl	CHEMBL2171015	pKi=7.0
Clc1ccc2Oc3ccccc3N=C(N4CCNCC4)c2c1	amoxapine	pIC50=7.0
Clc1ccc2[nH]cc(CCN(CC=C)CC=C)c2c1	CHEMBL3752900	pKi=7.0
Clc1cccc(N2CCN(CCCCOc3ccc4CCC(=O)Nc4c3)CC2)c1Cl	aripiprazole	pKi=7.0
OC(=O)C(N1CCO[C@H](CN2CCC(CC2)Oc3ccc(Cl)c(Cl)c3)C1)c4ccccc4	CHEMBL2158818	pKi=7.0
OC(=O)COc1cccc(c1)C(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)c(Cl)c4	CHEMBL2171022	pKi=7.0
OC(=O)[C@@H](Cc1ccccc1)N2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2	CHEMBL2158836	pKi=7.0
OC(=O)[C@H](Cc1ccc(F)cc1)N2CCC(CN3CCC(CC3)Oc4ccc(Cl)cc4Cl)CC2	CHEMBL2158779	pKi=7.0
OC(=O)[C@H](N1CCC(CN2CCC(CC2)Oc3ccc(Cl)c(Cl)c3)CC1)c4ccccc4	CHEMBL2158821	pKi=7.0
CCCCCC(=O)c1ccc(OCCCN2CCN(CC2)C(=O)c3ccc(C)s3)cc1	CHEMBL60383	pKi=7.01
CN1CCN(CC1)c2nc(NCc3cocc3)c4cc(Cl)ccc4n2	CHEMBL454890	pKi=7.01
CC1=C([C@H](CC(=O)N1)c2ccc(F)c(F)c2)C(=O)NCCCN3CCC(CC3)(C#N)c4ccc(F)cc4C#N	CHEMBL42335	pKi=7.04
CN1C(=O)C=C(N2CCCN(CC\C=C/3\c4ccccc4COc5ccc(CC(=O)O)cc35)CC2)N(C)C1=O	CHEMBL1774502	pIC50=7.04
C[C@H](C1=C(CCN(C)CCC(F)(F)F)Cc2ccccc12)c3cnccn3	CHEMBL1669411	pKi=7.04
C[C@H](CC(=O)NC(=N)NCCCc1c[nH]cn1)C2CCCCC2	CHEMBL1096430	pEC50=7.05
CN1C(=O)C=C(N2CCCN(CCCN3c4ccccc4Sc5ccc(OCC(=O)O)cc35)CC2)N(C)C1=O	CHEMBL563271	pIC50=7.06
Cc1cc2C(=Nc3ccccc3Nc2s1)N4CC[N+](C)([O-])CC4	CHEMBL440512	pKi=7.06
Fc1ccc(cc1)C(=O)CCCN2CCc3ccccc3C2	CHEMBL3818994	pKi=7.06
CN(C)CCCN1c2ccccc2CCc3ccc(Cl)cc13	CHEMBL415	pIC50=7.07
CN(C)CCC1CC2N(O1)c3ccccc3Cc4ccccc24	CHEMBL313189	pIC50=7.08
CN1C(=O)C=C(N2CCN(CC\C=C/3\c4ccccc4COc5ccc(CC(=O)O)cc35)CC2)N(C)C1=O	CHEMBL1774500	pIC50=7.08
CCOC(=O)N1CCN(CCCOc2ccc(cc2)c3ccc(cc3)[N+](=O)[O-])CC1	CHEMBL318320	pKi=7.09
CN(C1CCN(CC1)c2nc3ccccc3n2Cc4ccc(F)cc4)c5ccccc5	CHEMBL561690	pIC50=7.09
CCCCCC(=O)c1ccc(OCCCN2CCN(CC2)C(=O)c3sccc3Cl)cc1	CHEMBL291882	pKi=7.1
CN(CCC=C1c2ccccc2CCc3ccccc13)Cc4ccc(OCCCN5CCCCC5)cc4	CHEMBL459350	pKi=7.1
C[C@@](Cc1ccc(F)cc1)(N2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2)C(=O)O	CHEMBL2158787	pKi=7.1
Cc1cc(Cl)ccc1OC2CCN(CC3CCN(CC3)[C@@H](Cc4ccc(F)cc4)C(=O)O)CC2	CHEMBL2158780	pKi=7.1
Cc1cc(Cl)ccc1OC2CCN(C[C@H](O)CNC(=O)C3=CNC(=O)c4cc(ccc34)S(=O)(=O)C)CC2	CHEMBL2207276	pKi=7.1
Cc1cc(F)ccc1OC2CCN(CC3CCN(CC3)[C@@](C)(Cc4ccc(F)cc4)C(=O)O)CC2	CHEMBL2158793	pKi=7.1
Cc1ccc(C[C@H](N2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2)C(=O)O)cc1	CHEMBL2158774	pKi=7.1
Fc1ccc2[nH]cc(CCN(CC=C)CC=C)c2c1	CHEMBL3754496	pKi=7.1
OC(=O)CCCS(=O)(=O)c1cccc(c1)C(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)c(Cl)c4	CHEMBL2171027	pKi=7.1
O[C@H](CNS(=O)(=O)c1cccc(c1)C#N)CN2CCC(CC2)Oc3ccc(Cl)c(Cl)c3	CHEMBL2208422	pKi=7.1
