[H]N[C@@H](CCC(O)=O)C(=O)N[C@@H](C)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CC1=CNC=N1)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@H]1CSSC[C@H](NC(=O)[C@H](CCSC)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCCN)NC(=O)[C@@H]2CSSC[C@@H]3NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@@H](NC(=O)[C@H](CC4=CC=CC=C4)NC(=O)[C@@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC4=CC=CC=C4)NC(=O)[C@H](CC4=CC=CC=C4)NC(=O)[C@H](CC4=CNC5=C4C=CC=C5)NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@@H]4CCCN4C(=O)[C@H](CC4=CNC=N4)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](CSSC[C@H](NC(=O)CNC(=O)CNC(=O)[C@H](CC4=CC=C(O)C=C4)NC(=O)[C@@H](NC(=O)[C@H](CC4=CC=CC=C4)NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CCC(O)=O)NC3=O)[C@@H](C)CC)C(=O)N[C@@H](CCC(O)=O)C(=O)NCC(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CC3=CC=CC=C3)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N2)NC(=O)[C@@H]2CCCN2C(=O)CNC(=O)[C@H](CC(O)=O)NC(=O)[C@H](CC(O)=O)NC(=O)[C@H](C)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](C)NC1=O)[C@@H](C)CC)[C@@H](C)O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CC(O)=O)C(O)=O	ecallantide	pKi=10.60206032	pKi=10.60206032	pKi=10.60206032
[H]N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@H]1CSSC[C@H](NC(=O)[C@@H](NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](CCSC)NC(=O)[C@@H]2CSSC[C@@H]3NC(=O)[C@H](CC(C)C)NC(=O)CNC(=O)[C@H](C)NC(=O)[C@H](CCCCN)NC(=O)[C@H](C)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC4=CC=C(O)C=C4)NC(=O)[C@H](CC4=CC=CC=C4)NC(=O)[C@H](CC4=CC=C(O)C=C4)NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](C)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CSSC[C@H](NC(=O)CNC(=O)CNC(=O)[C@H](CC4=CC=C(O)C=C4)NC(=O)[C@@H](NC(=O)[C@H](CC4=CC=CC=C4)NC(=O)[C@@H](NC(=O)[C@H](CCC(N)=O)NC3=O)[C@@H](C)O)C(C)C)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC3=CC=CC=C3)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CO)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC(O)=O)C(=O)N2)NC(=O)[C@@H]2CCCN2C(=O)CNC(=O)[C@@H](NC(=O)[C@H](CC2=CC=C(O)C=C2)NC(=O)[C@@H]2CCCN2C(=O)[C@@H]2CCCN2C(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CC(C)C)NC1=O)[C@@H](C)O)[C@@H](C)CC)[C@@H](C)CC)[C@@H](C)O)C(=O)NCC(=O)NCC(=O)N[C@@H](C)C(O)=O	aprotinin
CNCc1csc(C(=O)Nc2c(OC)cc(Cl)cc2C(=O)Nc3ccc(Cl)cn3)c1Cl	CHEMBL227222	pKi=6.0
NC(=N)c1ccc(CNC(=O)[C@@H]2Cc3ccc(NC(=O)CCN4CCN(CC4)CCC(=O)Nc5ccc(C[C@@H](NS(=O)(=O)Cc6ccccc6)C(=O)N2)cc5)cc3)cc1.OC(=O)C(F)(F)F	CHEMBL2315243	pKi=6.0
CC(C)C[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CC3CCN(CC3)C(=N)N)NC(=O)[C@H](CO)NC(=O)[C@H](Cc4ccc(O)cc4)NC(=O)[C@H](C)NC(=O)[C@@H]5CCCN5C(=O)[C@@H](N)CSSC[C@H](NC(=O)[C@H](CC(=O)O)NC1=O)C(=O)O	CHEMBL3735080	pKi=6.03
NC[C@@H]1CC[C@H](CC1)C(=O)N[C@@H](Cc2ccccc2)c3nc(c[nH]3)c4ccc(cc4)C#N.OC(=O)C(F)(F)F	CHEMBL3355665	pKi=6.03
NC[C@@H]1CC[C@H](CC1)C(=O)N[C@@H](Cc2ccccc2)c3nc(c[nH]3)c4cccc(CC(=O)O)c4.OC(=O)C(F)(F)F	CHEMBL3355677	pKi=6.04
NC[C@@H]1CC[C@H](CC1)C(=O)N[C@@H](Cc2ccccc2)c3nc(c[nH]3)c4cccc(c4)C(=O)N.OC(=O)C(F)(F)F	CHEMBL3355676	pKi=6.04
NC(=N)c1ccc(CNC(=O)[C@@H]2Cc3ccc(CNC(=O)Cc4ccc(CC(=O)NCc5ccc(C[C@@H](NS(=O)(=O)Cc6ccccc6)C(=O)N2)cc5)cc4)cc3)cc1	CHEMBL2016864	pKi=6.06
NC(=N)c1ccc2cc(ccc2c1)C(=O)Nc3ccc4CCN=C(C5CCCC5)c4c3	CHEMBL323387	pKi=6.07
CC(C)[C@@H]1NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CSCc4cc5CSC[C@H](NC(=O)[C@@H](CCCCN)NC(=O)CNC(=O)[C@H](Cc6ccccc6)NC(=O)[C@H](CC(=O)N)NC(=O)[C@@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CSCc(c5)c4)NC(=O)[C@H](CC(=O)N)NC(=O)[C@@H](NC(=O)[C@H](CCC(=O)N)NC1=O)C(C)C)C(C)C)C(=O)NCC(=O)N)NC(=O)[C@H](C)N	CHEMBL2304332	pIC50=6.1
CCCc1ccc(C[C@H](NC(=O)\C=C\c2cc(Cl)ccc2n3cnnn3)C(=O)Nc4ccc(cc4)C(=O)O)cc1	CHEMBL3752830	pKi=6.1
C\N=C(\N)/N(C)Cc1ccc(cc1)C(=O)Nc2ccc(Cl)cc2C(=O)Nc3ccc(Cl)cn3	CHEMBL369681	pIC50=6.1
NC(=N)c1cc2cc([nH]c2cc1Cl)c3cccc(c3O)c4ccccc4	CHEMBL339902	pKi=6.1
NC[C@@H]1CC[C@H](CC1)C(=O)N[C@@H](Cc2ccccc2)c3nc(c[nH]3)c4ccc(CC(=O)O)cc4.OC(=O)C(F)(F)F	CHEMBL3355674	pKi=6.12
NC[C@@H]1CC[C@H](CC1)C(=O)NC(Cc2ccc(Oc3ncccn3)cc2)C(=O)Nc4cccc(c4)C(=O)O	CHEMBL3084798	pIC50=6.15
CN(C)NCc1ccc(cc1)C(=O)Nc2ccc(Cl)cc2C(=O)Nc3ccc(Cl)cn3	CHEMBL176671	pIC50=6.19
COc1cc2[nH]c(cc2cc1C(=N)N)c3cccc(c3O)c4ccccc4	CHEMBL126707	pKi=6.22
CS(=O)(=O)O.NC(=N)c1ccc2cc(OC(=O)c3ccc(NC4=NCCN4)cc3)ccc2c1	CHEMBL1201881	pKi=6.24
Clc1ccc(NC(=O)c2cc(Cl)ccc2NC(=O)c3ccc(CN4CCOC4=N)cc3)nc1	CHEMBL367953	pIC50=6.25
NC(=N)c1ccc(CNC(=O)[C@@H]2Cc3ccc(CNC(=O)Cc4cccc(CC(=O)NCc5ccc(C[C@@H](NS(=O)(=O)Cc6ccccc6)C(=O)N2)cc5)c4)cc3)cc1	CHEMBL3666821	pKi=6.26
NC[C@@H]1CC[C@H](CC1)C(=O)N[C@@H](Cc2ccccc2)c3cc(ccn3)c4ccc5[nH]nc(O)c5c4	CHEMBL3780324	pKi=6.26
CC(C)(C)[C@@H](NC(=O)OC12CC3CC(CC(C3)C1)C2)C(=O)N[C@H](C(=O)NC(Cc4ccc(NC(=N)N)cc4)C(=O)C(F)(F)F)c5ccc6ccccc6c5	CHEMBL1160805	pKi=6.3
CN(C)Cc1ccc(cc1)C(=O)Nc2ccc(Cl)cc2C(=O)Nc3ccc(Cl)cn3	CHEMBL369086	pIC50=6.3
CN(Cc1ccc(cc1)C(=O)Nc2ccc(Cl)cc2C(=O)Nc3ccc(Cl)cn3)C(=N)C	CHEMBL176243	pIC50=6.3
C[C@@H]1CN2CC(=O)Nc3ccc(C[C@H](NC(=O)[C@@H](Cc4ccc(NC(=O)CN1C[C@@H]2C)cc4)NS(=O)(=O)Cc5ccccc5)C(=O)NCc6ccc(cc6)C(=N)N)cc3.OC(=O)C(F)(F)F	CHEMBL2315234	pKi=6.3
NC(=N)c1ccc(CNC(=O)[C@@H]2Cc3ccc(CNC(=O)CN4CCN(CC4)CC(=O)NCc5ccc(C[C@@H](NS(=O)(=O)Cc6ccccc6)C(=O)N2)cc5)cc3)cc1	CHEMBL2016867	pKi=6.31
CC(C)C1=NCCc2ccc(NC(=O)c3ccc4cc(ccc4c3)C(=N)N)cc12	CHEMBL109367	pKi=6.36
NC(=N)c1ccc(CNC(=O)[C@@H]2Cc3ccc(NC(=O)CN4CCCN(CC4)CC(=O)NCc5ccc(C[C@@H](NS(=O)(=O)Cc6ccccc6)C(=O)N2)cc5)cc3)cc1.OC(=O)C(F)(F)F	CHEMBL2315237	pKi=6.36
NC(=N)c1ccc(CNC(=O)[C@@H]2Cc3ccc(NC(=O)CCN4CCCN(CC4)CCC(=O)Nc5ccc(C[C@@H](NS(=O)(=O)Cc6ccccc6)C(=O)N2)cc5)cc3)cc1.OC(=O)C(F)(F)F	CHEMBL2315247	pKi=6.38
NC(=N)c1ccc2cc(ccc2c1)C(=O)Nc3ccc4CCNC(C5CCCC5)c4c3	CHEMBL111338	pKi=6.4
NC(=N)c1ccc(CNC(=O)[C@@H]2Cc3ccc(NC(=O)CN4CCCN(CC4)CC(=O)Nc5ccc(C[C@@H](NS(=O)(=O)Cc6ccccc6)C(=O)N2)cc5)cc3)cc1.OC(=O)C(F)(F)F	CHEMBL2315246	pKi=6.41
CN(Cc1ccc(cc1)C(=O)Nc2ccc(Cl)cc2C(=O)Nc3ccc(Cl)cn3)C(=N)N	CHEMBL174558	pIC50=6.42
COC(=O)Nc1cccc(NC(=O)[C@H](Cc2ccccc2)NC(=O)\C=C\c3cc(Cl)ccc3n4cnnn4)c1	CHEMBL3752735	pKi=6.46
COC(=O)Nc1ccc(cc1)C(=O)N[C@@H](Cc2ccccc2)C(=O)NCCc3cc(Cl)ccc3n4cnnn4	CHEMBL3752066	pKi=6.47
NC[C@@H]1CC[C@H](CC1)C(=O)N[C@@H](Cc2ccccc2)c3nc(c[nH]3)c4ccccc4.OC(=O)C(F)(F)F	CHEMBL3355664	pKi=6.48
NC(=N)c1ccc(CNC(=O)[C@@H]2Cc3ccc(NC(=O)CN4CCN(CC4)CC(=O)Nc5ccc(C[C@@H](NS(=O)(=O)Cc6ccccc6)C(=O)N2)cc5)cc3)cc1.OC(=O)C(F)(F)F	CHEMBL2315239	pKi=6.5
OC(=O)[C@@H]1Cc2ccc(NC(=O)CN3CCN(CC3)CC(=O)Nc4ccc(C[C@@H](NS(=O)(=O)Cc5ccccc5)C(=O)N1)cc4)cc2	CHEMBL3666825	pKi=6.5
OC(=O)c1ccc(NC(=O)[C@H](Cc2ccc(cc2)c3ccccc3)NC(=O)\C=C\c4cc(Cl)ccc4n5cnnn5)cc1	CHEMBL3754443	pKi=6.5
CC(C)(C)c1ccc(O)c(c1)C(=O)Nc2ccc(CN)cc2	CHEMBL2011840	pIC50=6.52
CN(Cc1ccc(cc1)C(=O)Nc2ccc(Cl)cc2C(=O)Nc3ccc(Cl)cn3)C4=NCCN4C	CHEMBL175130	pIC50=6.52
OC(=O)c1cccc(NC(=O)[C@H](Cc2ccccc2)NC(=O)\C=C\c3cc(Cl)ccc3n4cnnn4)c1	CHEMBL3753374	pKi=6.57
COC(=O)Nc1ccc(cc1)c2c[nH]c(n2)[C@H](Cc3ccccc3)NC(=O)\C=C\c4cc(Cl)ccc4n5cnnn5	CHEMBL3398642	pKi=6.62
C[C@H]1CN2CC(=O)Nc3ccc(C[C@@H](NS(=O)(=O)Cc4ccccc4)C(=O)N[C@@H](Cc5ccc(NC(=O)CN1C[C@@H]2C)cc5)C(=O)NCc6ccc(cc6)C(=N)N)cc3.OC(=O)C(F)(F)F	CHEMBL2315235	pKi=6.62
Clc1ccc(c(\C=C\C(=O)N[C@@H](Cc2ccccc2)C(=O)Nc3ccc(cc3)n4cnnn4)c1)n5cnnn5	CHEMBL3751935	pKi=6.62
NC(=N)c1ccc(CNC(=O)[C@@H]2Cc3ccc(NC(=O)CCN4CCN(CC4)CCC(=O)Nc5cccc(C[C@@H](NS(=O)(=O)Cc6ccccc6)C(=O)N2)c5)cc3)cc1.OC(=O)C(F)(F)F	CHEMBL2315245	pKi=6.62
CC(C)C1NCCc2ccc(NC(=O)c3ccc4cc(ccc4c3)C(=N)N)cc12	CHEMBL442201	pKi=6.64
CNC(=O)c1ccc(cc1)c2c[nH]c(n2)[C@H](Cc3ccccc3)NC(=O)[C@@H]4CC[C@@H](CN)CC4.OC(=O)C(F)(F)F	CHEMBL3355672	pKi=6.66
Clc1ccc(NC(=O)c2cc(Cl)ccc2NC(=O)c3ccc(CN4CCNC4=N)cc3)nc1	CHEMBL172360	pIC50=6.68
