Nc1nccc(OCC2(CO)CC2)n1	CHEMBL3780535	pIC50=6.07
COc1ccc2nc3[nH]nc(C)c3c(NCCOCCO)c2c1	CHEMBL3793901	pIC50=6.39
CC(C)(CO)CNc1ccnc(N)n1	CHEMBL3781282	pIC50=6.48
C[C@H](Oc1cc(cnc1N)c2cnn(c2)C3CCNCC3)c4c(Cl)ccc(F)c4Cl	CHEMBL1825141	pIC50=6.48
Cc1cc(OCC(C)(C)CO)nc(N)n1	CHEMBL3780652	pIC50=6.52
COCC(C)(C)CNc1ccnc(N)n1	CHEMBL3781662	pIC50=6.92
Cc1cc(OCC(C)(C)C)nc(N)n1	CHEMBL3781493	pIC50=6.95
CC(C)(C)CNc1ccnc(N)n1	CHEMBL3781861	pIC50=7.08
CC(C)(C)COc1ccnc(N)n1	CHEMBL3781387	pIC50=7.28
CC(C)(CO)COc1nc(N)ncc1Cl	CHEMBL3781296	pIC50=7.66
COc1cnc(N)nc1OCC(C)(C)CO	CHEMBL3780307	pIC50=8.0
Nc1nc(NC2CC2)cc(n1)c3cccc(Cl)c3Cl	CHEMBL3782004	pIC50=8.0
CN(C)C(=O)Cc1ccc(cc1)c2nc(N)nc3ccccc23	CHEMBL3794132	pIC50=8.05
CC(C)(CO)COc1nc(N)nc2CCCc12	CHEMBL3781015	pIC50=8.35
Cc1cnc(N)nc1NCC(C)(C)CO	CHEMBL3781917	pIC50=8.51
Cc1cnc(N)nc1CCC(C)(C)C	CHEMBL3780321	pIC50=8.75
CNc1cc(nc(N)n1)c2cccc(Cl)c2Cl	CHEMBL3781316	pIC50=8.8
Cc1cnc(N)nc1OCC(C)(C)CO	CHEMBL3780032	pIC50=9.22
CN(CC(C)(C)CO)c1nc(N)ncc1C	CHEMBL3780596	pIC50=9.3
CNC(=O)c1cnc2cc(OC)c(OC)cc2c1Nc3ccccc3	CHEMBL3792684	pIC50=9.3
CNc1nc2OCCOCCOc3cccc(CN4C(=O)Nc1c4n2)c3	CHEMBL3794167	pIC50=9.3
Cc1cnc(N)nc1NCC(C)(C)C	CHEMBL3780613	pIC50=9.3
CN(CC(C)(C)C)c1nc(N)ncc1C	CHEMBL3780962	pIC50=9.7
Cc1cnc(N)nc1OCC(C)(C)C	CHEMBL3781661	pIC50=9.7
