COc1ccc(CCNC(=O)Nc2ccc(Br)cc2)cc1	CHEMBL1289381	pEC50=7.0
COc1ccc(NC(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)NCC4(CCCCC4)c5ccc(OC)cn5)cc1	CHEMBL3588871	pEC50=7.02
CCCCOc1ccc(cc1)C(=O)NN2Cc3ccccc3NC2c4ccc(OC)cc4	CHEMBL3590217	pIC50=7.05
CC(C)[C@H]1CNC(=O)C(=O)N1C[C@@H]2CCCN2C[C@@H](Cc3ccc4ccccc4c3)N5C[C@@H](Cc6ccc(O)cc6)N(CC7CCCCC7)C(=O)C5=O	CHEMBL3590218	pIC50=7.1
CCCCCCCCCCCCCCCC(=O)N[C@@H](CCCCN)C(=O)N(CCC(=O)N[C@@H](CCCCN)C(=O)N(CCC(=O)N[C@@H](CCCCN)C(=O)N(CCC(=O)N[C@@H](CCCCN)C(=O)N(CCC(=O)N[C@@H](CCCCN)C(=O)N(CCC(=O)N[C@@H](CCCCN)C(=O)N(CCC(=O)N)[C@@H](C)c1ccccc1)[C@@H](C)c2ccccc2)[C@@H](C)c3ccccc3)[C@@H](C)c4ccccc4)[C@@H](C)c5ccccc5)[C@@H](C)c6ccccc6	CHEMBL3588930	pIC50=7.3
Clc1ccc(NC(=O)N[C@@H](Cc2ccccc2)C(=O)N3CCCCC3)cc1	CHEMBL3588927	pEC50=7.3
Brc1ccc(NC(=O)N[C@@H](Cc2ccccc2)C(=O)N3CCCCC3)cc1	CHEMBL3588926	pEC50=7.4
CCOC(=O)C1CCCN(C1)C(=O)[C@H](Cc2ccccc2)NC(=O)Nc3ccc(Br)cc3	CHEMBL3590206	pEC50=8.16
Brc1ccc(NC(=O)N[C@@H](Cc2ccccc2)C(=O)NN3CCCCNC3=O)cc1	CHEMBL3588929	pEC50=8.4
CC(C)C[C@H](NC(=O)Nc1ccc(cc1)C(F)(F)F)C(=O)NC(C)(C)C(=O)O	CHEMBL2408792	pEC50=8.64
CC(C)C[C@H](NC(=O)Nc1ccc(Br)cc1)C(=O)NC(C)(C)C(=O)O	CHEMBL2408793	pEC50=9.0
